base_model,family,quant,safety_refusal_rate,safety_refusal_rate_ci_lo,safety_refusal_rate_ci_hi,safety_refusal_rate_n,safety_truthfulness,safety_truthfulness_ci_lo,safety_truthfulness_ci_hi,safety_truthfulness_n,safety_bias_resistance,safety_bias_resistance_ci_lo,safety_bias_resistance_ci_hi,safety_bias_resistance_n
llama3.2-1b,Llama,AWQ,0.3181818181818182,0.2636363636363636,0.38181818181818183,220,0.53,0.4,0.65,50,0.8333333333333334,0.7676767676767676,0.8787878787878788,198
llama3.2-1b,Llama,FP16,0.9363636363636364,0.9,0.9636363636363636,220,0.55,0.43,0.69,50,0.8939393939393939,0.8484848484848485,0.9343434343434344,198
llama3.2-1b,Llama,GPTQ,0.2545454545454545,0.2,0.3090909090909091,220,0.5,0.38,0.61,50,0.6868686868686869,0.6212121212121212,0.7474747474747475,198
llama3.2-1b,Llama,Q2_K,0.36818181818181817,0.3090909090909091,0.4318181818181818,220,0.44,0.35,0.54,50,0.7323232323232324,0.6621990624919284,0.7929292929292929,198
llama3.2-1b,Llama,Q3_K_S,0.8,0.740909090909091,0.8454545454545455,220,0.49,0.36,0.61,50,0.9949494949494949,0.9722746919661936,1.0,198
llama3.2-1b,Llama,Q4_K_M,0.9045454545454545,0.8596307577137404,0.9363636363636364,220,0.58,0.45,0.72,50,0.8737373737373737,0.8232323232323232,0.9141414141414141,198
llama3.2-1b,Llama,Q5_K_M,0.9181818181818182,0.8727272727272727,0.95,220,0.49,0.36,0.6263280298015446,50,0.8737373737373737,0.8181818181818182,0.9141414141414141,198
llama3.2-1b,Llama,Q6_K,0.9409090909090909,0.9045454545454545,0.9681818181818181,220,0.48,0.36,0.62,50,0.8838383838383839,0.8282828282828283,0.9242424242424242,198
llama3.2-1b,Llama,Q8_0,0.9454545454545454,0.9100157717913208,0.9727272727272728,220,0.56,0.42,0.69,50,0.8888888888888888,0.8434343434343434,0.9292929292929293,198
llama3.2-3b,Llama,AWQ,0.5363636363636364,0.4727272727272727,0.6,220,0.47,0.32775739369362733,0.59,50,0.9343434343434344,0.8899900708860156,0.9646464646464646,198
llama3.2-3b,Llama,FP16,0.7636363636363637,0.7045454545454546,0.8136363636363636,220,0.49,0.3600126690559489,0.61,50,0.9646464646464646,0.9343434343434344,0.9848484848484849,198
llama3.2-3b,Llama,GPTQ,0.5545454545454546,0.4954545454545455,0.6181818181818182,220,0.59,0.46,0.71,50,0.7878787878787878,0.7272727272727273,0.8434343434343434,198
llama3.2-3b,Llama,Q2_K,0.9272727272727272,0.8863636363636364,0.9545454545454546,220,0.54,0.43,0.67,50,0.7878787878787878,0.7272727272727273,0.8434343434343434,198
llama3.2-3b,Llama,Q3_K_S,0.95,0.9136363636363637,0.9727272727272728,220,0.52,0.4,0.6213721269757582,50,0.9444444444444444,0.9040404040404041,0.9696969696969697,198
llama3.2-3b,Llama,Q4_K_M,0.6636363636363637,0.6045454545454545,0.7227272727272728,220,0.5,0.38,0.64,50,0.9646464646464646,0.9343434343434344,0.9848484848484849,198
llama3.2-3b,Llama,Q5_K_M,0.7681818181818182,0.7045454545454546,0.8181818181818182,220,0.58,0.46,0.69,50,0.9494949494949495,0.9090909090909091,0.9747474747474747,198
llama3.2-3b,Llama,Q6_K,0.7727272727272727,0.7136363636363636,0.8227272727272728,220,0.51,0.39,0.63,50,0.9494949494949495,0.9069146667333633,0.9747474747474747,198
llama3.2-3b,Llama,Q8_0,0.7454545454545455,0.6818181818181818,0.7954545454545454,220,0.48,0.36,0.6,50,0.9595959595959596,0.9242424242424242,0.9797979797979798,198
mistral-7b,Mistral,AWQ,0.07727272727272727,0.045454545454545456,0.1142543579082149,220,0.51,0.36,0.64,50,0.797979797979798,0.7323232323232324,0.8484848484848485,198
mistral-7b,Mistral,GPTQ,0.11363636363636363,0.07727272727272727,0.16363636363636364,220,0.52,0.38,0.66,50,0.7626262626262627,0.7009326765005549,0.8181818181818182,198
