model,runtime,scenario,run,speedup,efficiency,throughput_delta,ttft_delta_ms,contention,path
gemma3,python,baseline-vs-chimera,1,1.2023102168735598,60.11551084367799,10.15894863701277,35.2971,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_1\metrics.json
gemma3,python,baseline-vs-chimera,2,1.6814501219133204,84.07250609566603,16.051852121686373,0.6391999999999953,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_2\metrics.json
gemma3,python,baseline-vs-chimera,3,1.7502673338255397,87.51336669127699,11.430706471171433,-0.5030999999999999,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
gemma3,python,baseline-vs-chimera,4,1.6788204225712082,83.94102112856041,16.573567504337262,-0.9649000000000001,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
gemma3,python,baseline-vs-chimera,5,1.7107990116021243,85.53995058010622,13.991879744904018,,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_5\metrics.json
gemma3,python,chimera-homo,1,1.5950376502896337,79.7518825144817,12.492866117034275,-43.4897,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\chimera-homo_gpu80_ctx512_temp10\run_1\metrics.json
gemma3,python,chimera-homo,2,1.725097506104214,86.2548753052107,13.029030237094823,-0.5071999999999974,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\chimera-homo_gpu80_ctx512_temp10\run_2\metrics.json
gemma3,python,chimera-homo,3,1.7082137192998446,85.41068596499223,13.735337882442295,0.11090000000000089,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\chimera-homo_gpu80_ctx512_temp10\run_3\metrics.json
gemma3,python,chimera-homo,4,1.6842401877076962,84.21200938538482,15.312499540941232,,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\chimera-homo_gpu80_ctx512_temp10\run_4\metrics.json
gemma3,python,chimera-homo,5,1.77288447234848,88.644223617424,9.828419582655897,-0.17139999999999844,False,experiments/TR116/results/multi\python\gemma3_latest\gemma3_latest\chimera-homo_gpu80_ctx512_temp10\run_5\metrics.json
llama3.1,python,baseline-vs-chimera,1,1.2038779047676524,60.19389523838262,9.776721748658822,-5.145300000000006,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_1\metrics.json
llama3.1,python,baseline-vs-chimera,2,1.825789184518868,91.2894592259434,6.466818441107481,,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_2\metrics.json
llama3.1,python,baseline-vs-chimera,3,1.7514499466569593,87.57249733284796,10.07728104762667,-0.5751999999999953,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
llama3.1,python,baseline-vs-chimera,4,1.8265822609752458,91.3291130487623,6.309584754549661,0.5402000000000058,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
llama3.1,python,baseline-vs-chimera,5,1.772248359043774,88.61241795218871,9.173266627688704,0.7855999999999952,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_5\metrics.json
llama3.1,python,chimera-homo,1,1.3911054378267806,69.55527189133903,15.69831114651383,-72.9073,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\chimera-homo_gpu80_ctx512_temp10\run_1\metrics.json
llama3.1,python,chimera-homo,2,1.7873897794041043,89.36948897020521,8.434034543472734,-0.13879999999999626,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\chimera-homo_gpu80_ctx512_temp10\run_2\metrics.json
llama3.1,python,chimera-homo,3,1.805379841220449,90.26899206102244,7.1835943247917164,,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\chimera-homo_gpu80_ctx512_temp10\run_3\metrics.json
llama3.1,python,chimera-homo,4,1.833665113049034,91.6832556524517,5.906509287926916,0.5716999999999999,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\chimera-homo_gpu80_ctx512_temp10\run_4\metrics.json
llama3.1,python,chimera-homo,5,1.7599289447537152,87.99644723768576,9.842543009707288,0.5991999999999962,False,experiments/TR116/results/multi\python\llama3p1_8b_q4_0\llama3.1_8b-instruct-q4_0\chimera-homo_gpu80_ctx512_temp10\run_5\metrics.json
qwen2.5,python,baseline-vs-chimera,1,1.1062822478353682,55.31411239176841,14.320917735302874,-11.669899999999998,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_1\metrics.json
qwen2.5,python,baseline-vs-chimera,2,1.656789827210448,82.8394913605224,16.25738996842352,0.7582999999999984,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_2\metrics.json
qwen2.5,python,baseline-vs-chimera,3,1.6800243494237355,84.00121747118678,14.710629060883875,4.3337999999999965,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
qwen2.5,python,baseline-vs-chimera,4,1.63088775669164,81.544387834582,17.525457336621844,6.4848000000000035,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
qwen2.5,python,baseline-vs-chimera,5,1.682707415366096,84.1353707683048,15.152933104993423,0.1828000000000003,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_5\metrics.json
qwen2.5,python,chimera-homo,1,1.6308984508141917,81.54492254070959,13.176044572020512,-97.41550000000001,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\chimera-homo_gpu80_ctx512_temp10\run_1\metrics.json
qwen2.5,python,chimera-homo,2,1.6857973933629502,84.2898696681475,14.64415021088407,-5.318899999999999,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\chimera-homo_gpu80_ctx512_temp10\run_2\metrics.json
qwen2.5,python,chimera-homo,3,1.6565499393997372,82.82749696998685,16.262216739137493,6.506999999999998,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\chimera-homo_gpu80_ctx512_temp10\run_3\metrics.json
qwen2.5,python,chimera-homo,4,1.6784263224013831,83.92131612006915,15.00906738139841,0.5499999999999972,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\chimera-homo_gpu80_ctx512_temp10\run_4\metrics.json
qwen2.5,python,chimera-homo,5,1.7601165188857042,88.0058259442852,10.522953872766443,,False,experiments/TR116/results/multi\python\qwen2p5_7b\qwen2.5_7b\chimera-homo_gpu80_ctx512_temp10\run_5\metrics.json
gemma3,rust,baseline-vs-chimera,1,1.9492866830134628,97.46433415067314,0.4301757751873083,1270.3143999999998,False,experiments/TR116/results/multi\rust\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_1\metrics.json
gemma3,rust,baseline-vs-chimera,2,1.9689480944315836,98.44740472157918,2.2192672313567527,145.25855,False,experiments/TR116/results/multi\rust\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_2\metrics.json
gemma3,rust,baseline-vs-chimera,3,1.9139705874621917,95.69852937310958,-5.754247389677616,116.40620000000001,False,experiments/TR116/results/multi\rust\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
gemma3,rust,baseline-vs-chimera,4,1.9248024611469994,96.24012305734996,-4.959781185930609,173.92679999999996,False,experiments/TR116/results/multi\rust\gemma3_latest\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
