timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
14063.6380227,insight,0,8192,0.0000,0.2881
14063.6427144,collector,0,8192,0.0000,0.2159
14065.749388,insight,1,8192,2111.3653,0.1869
14065.7996789,collector,1,8192,2156.9645,0.1510
14067.8782704,insight,2,8192,2128.8824,0.1681
14067.9779881,collector,2,8192,2178.3092,0.2101
14069.9928566,insight,3,8192,2114.5862,0.1793
14070.1340394,collector,3,8192,2156.0513,0.2475
14072.0870034,insight,4,8192,2094.1468,0.1478
14072.2366948,collector,4,8192,2102.6554,0.1411
14072.706316,collector,5,5240,469.6212,0.1588
14073.2673876,insight,5,8192,1180.3842,0.2466
14074.0273838,insight,6,8192,759.9962,0.1421
14074.7982475,insight,7,8192,770.8637,0.1759
14075.2484947,insight,8,8192,450.2472,0.1260
14075.2489889,insight,9,956,0.4942,0.0903
14077.5621835,collector,0,8192,4855.8675,0.1326
14077.5649419,insight,0,8192,2315.9530,0.1372
14079.684793,insight,1,8192,2119.8511,0.1584
14079.7077993,collector,1,8192,2145.6158,0.1913
14081.8164335,insight,2,8192,2131.6405,0.1368
14081.891093,collector,2,8192,2183.2937,0.1425
14083.9513239,insight,3,8192,2134.8904,0.1527
14083.9886114,collector,3,8192,2097.5184,0.1670
14085.2959531,collector,4,8192,1307.3417,0.1427
14085.2964492,collector,5,46,0.4961,0.0648
14085.5738512,insight,4,8192,1622.5273,0.1532
14086.3204118,insight,5,8192,746.5606,0.1238
14087.0927288,insight,6,8192,772.3170,0.1809
14087.8445097,insight,7,8192,751.7809,0.1761
14088.6194759,insight,8,8192,774.9662,0.1589
14088.7435257,insight,9,6072,124.0498,0.1041
14091.0759263,insight,0,8192,2332.4006,0.2888
14091.09549,collector,0,8192,5799.0408,0.1689
14093.131345,insight,1,8192,2055.4187,0.1768
14093.2059771,collector,1,8192,2110.4871,0.1664
14095.2193537,insight,2,8192,2088.0087,0.2031
14095.3248885,collector,2,8192,2118.9114,0.1603
14097.3502491,insight,3,8192,2130.8954,0.1564
14097.4572076,collector,3,8192,2132.3191,0.2170
14099.0221369,collector,4,8192,1564.9293,0.1816
14099.0228227,collector,5,973,0.6858,0.0560
14099.1927243,insight,4,8192,1842.4752,0.2536
14099.9697359,insight,5,8192,777.0116,0.1688
14100.7182339,insight,6,8192,748.4980,0.2883
14101.4851247,insight,7,8192,766.8908,0.1889
14101.5359544,insight,8,4811,50.8297,0.1003
14103.8589773,insight,0,8192,2323.0229,0.2157
14103.8807938,collector,0,8192,4857.9711,0.1479
14105.9487429,insight,1,8192,2089.7656,0.1970
14106.0278576,collector,1,8192,2147.0638,0.2516
14108.0809815,insight,2,8192,2132.2386,0.1893
14108.2065995,collector,2,8192,2178.7419,0.1959
14110.1959064,insight,3,8192,2114.9249,0.2005
14110.3698379,collector,3,8192,2163.2384,0.1742
14112.3192856,insight,4,8192,2123.3792,0.1986
14112.5038472,collector,4,8192,2134.0093,0.2175
14112.8540692,collector,5,4622,350.2220,0.1517
14113.4482079,insight,5,8192,1128.9223,0.1735
14114.2031291,insight,6,8192,754.9212,0.1604
14114.7938539,insight,7,8192,590.7248,0.1472
14114.7943189,insight,8,2260,0.4650,0.0584
14117.1141823,insight,0,8192,2319.8634,0.1858
14117.1570886,collector,0,8192,4303.0194,0.2277
14119.233717,insight,1,8192,2119.5347,0.2446
14119.2867416,collector,1,8192,2129.6530,0.1653
14121.3756309,insight,2,8192,2141.9139,0.2073
14121.4688351,collector,2,8192,2182.0935,0.1657
14123.5249259,insight,3,8192,2149.2950,0.1612
14123.5849127,collector,3,8192,2116.0776,0.2087
14125.6225838,insight,4,8192,2097.6579,0.1677
14125.7230257,collector,4,8192,2138.1130,0.1657
14125.7234858,collector,5,3265,0.4601,0.0534
14126.4857515,insight,5,8192,863.1677,0.2470
14127.244703,insight,6,8192,758.9515,0.1593
14128.0142768,insight,7,8192,769.5738,0.1798
14128.1363197,insight,8,5631,122.0429,0.1392
