timestamp,lag_ms
14061.426852,8.9065
14061.5367246,9.7325
14061.6396873,2.7814
14061.7507109,10.9431
14061.8516549,0.7862
14061.9524596,0.6714
14062.0571463,4.5678
14062.1612354,4.0146
14062.2677387,6.4141
14062.3704942,2.5957
14062.4746299,3.9963
14062.5830001,8.1860
14062.6862634,3.0837
14062.7978385,11.4745
14062.905759,7.8260
14063.0114743,5.5920
14063.1132975,1.6944
14063.2196232,6.1950
14063.3260398,6.3456
14063.4279673,1.8407
14063.5320753,4.0440
14063.6383661,6.1883
14063.7400076,1.5916
14063.8440572,3.9369
14063.9473938,3.2533
14064.0543448,6.8082
14064.1606816,6.2366
14064.2695786,8.7926
14064.3714537,1.7236
14064.4796246,8.0757
14064.5810274,1.2749
14064.6839728,2.8593
14064.7891877,3.5971
14064.8949937,5.7282
14065.000485,5.4410
14065.1051143,4.5481
14065.207783,2.6237
14065.312539,4.6733
14065.4126811,0.0871
14065.5144635,1.6751
14065.6186304,4.0743
14065.7203248,1.6004
14065.8230724,2.6918
14065.9275654,4.4460
14066.0343663,6.7317
14066.1374201,2.9823
14066.2385198,1.0437
14066.3468813,8.2692
14066.4556619,8.6752
14066.5633673,7.6058
14066.6718298,8.3718
14066.7783976,6.4679
14066.8861001,7.6397
14066.9940605,7.8826
14067.1007565,6.6421
14067.2075169,6.6565
14067.3140123,6.4348
14067.4193929,5.3237
14067.5304211,10.9430
14067.6356001,5.1391
14067.7404387,4.7802
14067.8484396,7.9436
14067.9532831,4.7882
14068.0551363,1.8011
14068.1600193,4.8358
14068.2672087,7.0880
14068.3722513,4.9695
14068.4831675,10.8708
14068.5902184,6.9508
14068.6969815,6.6778
14068.8047118,7.6361
14068.9115717,6.8027
14069.0197551,8.1292
14069.1228016,2.9750
14069.2268055,3.9608
14069.3291299,2.2668
14069.4335382,4.2872
14069.5415455,7.9137
14069.6484392,6.7233
14069.752481,3.9774
14069.8590322,6.5105
14069.966051,6.9467
14070.0724823,6.3675
14070.1789204,6.3855
14070.2815273,2.5456
14070.386051,4.4669
14070.4903426,4.2342
14070.5946614,4.2659
14070.6984232,3.6703
14070.8002029,1.6976
14070.9079435,7.6260
14071.0128295,4.7438
14071.121953,9.0459
14071.2313074,9.2909
14071.3367365,5.3718
14071.4398334,3.0385
14071.544638,4.7639
14071.6475382,2.8448
14071.7542945,6.7095
14071.8616367,7.2750
14071.9688819,7.1476
14072.0754882,6.5634
14072.1826142,7.0715
14072.2867776,4.1007
14072.3920763,5.2468
14072.4927472,0.5950
14072.5973794,4.5707
14072.7056276,8.2017
14072.8088895,3.1452
14072.9160128,7.0435
14073.0201488,4.0749
14073.1240274,3.8356
14073.2301502,6.0310
14073.334709,4.4931
14073.437374,2.5640
14073.5438084,6.3432
14073.6494407,5.5467
14073.7575418,8.0193
14073.8655648,7.9880
14073.9702366,4.5989
14074.0751596,4.8728
14074.178132,2.8751
14074.2802627,2.0638
14074.3856211,5.2890
14074.4897208,4.0355
14074.5952968,5.5169
14074.69995,4.6012
14074.8070604,7.0548
14074.9135844,6.4566
14075.0155233,1.8125
14075.1163798,0.7570
14075.2231507,6.7027
14075.3242414,1.0419
14075.4338581,9.5592
14075.5424351,8.4792
14075.6509584,8.4750
14075.758968,7.9432
14075.8669077,7.8327
14075.9715063,4.4947
14076.0813063,9.7336
14076.185317,3.9374
14076.2894028,4.0302
14076.391406,1.7249
14076.4938616,2.3214
14076.5954015,1.4564
14076.69605,0.5792
14076.8035666,7.4669
14076.9089104,5.2414
14077.0157922,6.8012
14077.1173914,1.5531
14077.2191147,1.6412
14077.3240214,4.8423
14077.4313688,7.2842
14077.5352403,3.8329
14077.6443211,9.0128
14077.7456404,1.2593
14077.848545,2.8497
14077.9558669,7.2574
14078.0630551,7.1051
14078.1710799,7.9188
14078.277231,6.0495
14078.3777954,0.5165
14078.4787804,0.8784
14078.5864142,7.5173
14078.6910464,4.5638
14078.7940069,2.9096
14078.8984825,4.4253
14078.9997795,1.2292
14079.1029507,3.0724
14079.206254,3.2273
14079.3077194,1.3938
14079.4151571,7.3304
14079.5225757,7.3482
14079.6307811,8.1226
14079.7326242,1.7626
14079.8355174,2.8435
14079.9378604,2.2665
14080.0447391,6.7703
14080.153001,8.2011
14080.259966,6.8776
14080.3668683,6.8373
14080.4737192,6.7863
14080.5763369,2.5616
14080.6822604,5.8606
14080.7861021,3.7832
14080.8893464,3.1870
14080.9942611,4.8182
14081.097446,3.0326
14081.2054071,7.9015
14081.3151283,9.6779
14081.4206888,5.5092
14081.5271252,6.3798
14081.6281564,0.9760
14081.7346619,6.4350
14081.8411475,6.4257
14081.943385,2.1664
14082.0475526,4.0789
14082.1487452,1.1002
14082.2542841,5.4915
14082.3630043,8.6352
14082.4720464,8.9618
14082.5796465,7.4797
14082.6814812,1.7370
14082.7880346,6.4928
14082.8906725,2.5924
14082.9942837,3.5647
14083.0991196,4.7935
14083.1992094,0.0454
14083.3008645,1.5990
14083.4077284,6.8062
14083.514948,7.0180
14083.6229656,7.9625
14083.7245198,1.4719
14083.8252586,0.6798
14083.9258393,0.5229
14084.0293014,3.3773
14084.1318569,2.5027
14084.2372276,5.3077
14084.3429121,5.5692
14084.4456608,2.7030
14084.548509,2.7997
14084.6505764,1.9626
14084.7572796,6.6205
14084.8610889,3.7548
14084.9662148,5.0194
14085.06927,2.9745
14085.1704827,1.1613
14085.2711385,0.6010
14085.3736091,2.3713
14085.4739032,0.2174
14085.5825725,8.5011
14085.6855231,2.9059
14085.7880392,2.4636
14085.890956,2.8396
14085.9926187,1.6172
14086.0944184,1.7471
14086.1984092,3.9420
14086.3003616,1.9102
14086.4031004,2.6470
14086.5066372,3.4610
14086.6084198,1.7354
14086.7161105,7.5850
14086.8236213,7.3850
14086.9281272,4.4412
14087.0356052,7.4256
14087.1398676,4.2027
14087.2420247,2.0783
14087.3496091,7.5306
14087.4552332,5.5251
14087.5596345,4.3422
14087.6630869,3.3702
14087.7658667,2.7120
14087.8724531,6.4784
14087.9774631,4.9468
14088.0808501,3.3431
14088.1837732,2.8623
14088.2865147,2.6591
14088.3869043,0.3417
14088.491201,4.1568
14088.599663,8.3490
14088.7080628,8.3340
14088.8160804,7.9194
14088.9249023,8.7521
14089.0326961,7.7072
14089.1348599,1.9979
14089.2389928,4.0833
14089.3393655,0.3117
14089.4466153,7.1811
14089.5481631,1.4919
14089.6560236,7.8078
14089.7566596,0.5924
14089.8618394,5.0925
14089.9677843,5.8546
14090.0690953,1.2652
14090.173889,4.7506
14090.2744173,0.4415
14090.3820388,7.5676
14090.4897726,7.6711
14090.5945827,4.7452
14090.6987221,4.0848
14090.8125032,13.7323
14090.919519,6.9077
14091.0235384,3.9408
14091.1249112,1.3271
14091.2278211,2.8594
14091.3362297,8.3546
14091.4407696,4.4704
14091.5503126,9.5007
14091.6532045,2.8067
14091.7581983,4.8989
14091.8729251,14.6716
14091.9781467,5.1779
14092.0809258,2.7317
14092.1832853,2.3052
14092.2869221,3.5918
14092.3897975,2.7686
14092.494538,4.6812
14092.5958145,1.2318
14092.7025775,6.7032
14092.8062117,3.5789
14092.9162538,9.9985
14093.019949,3.6176
14093.1298187,9.8065
14093.2342099,4.3017
14093.3368121,2.5120
14093.4395295,2.6635
14093.541304,1.7236
14093.6424008,1.0442
14093.7437299,1.2862
14093.8455428,1.7564
14093.9486168,2.9586
14094.0563495,7.6711
14094.1599235,3.5034
14094.2639016,3.9129
14094.3649234,0.9796
14094.468868,3.9025
14094.5762579,7.3466
14094.6801724,3.8512
14094.7817791,1.5370
14094.8830444,1.2172
14094.9851617,2.0574
14095.0865514,1.3365
14095.1937164,7.0988
14095.2967716,2.9672
