timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
13996.4025859,collector,0,99,0.0000,0.0380
13996.4036229,insight,0,100,0.0000,0.0166
13996.4292728,collector,1,102,26.6869,0.0181
13996.4315689,insight,1,98,27.9460,0.0115
13996.455759,collector,2,106,26.4862,0.0161
13996.4597885,insight,2,101,28.2196,0.0117
13996.4824222,collector,3,99,26.6632,0.0177
13996.4871378,insight,3,100,27.3493,0.0297
13996.5064725,collector,4,107,24.0503,0.0136
13996.5135097,insight,4,98,26.3719,0.0149
13996.5328314,collector,5,106,26.3589,0.0136
13996.5395042,insight,5,101,25.9945,0.0151
13996.5575266,collector,6,102,24.6952,0.0269
13996.5677164,insight,6,100,28.2122,0.0200
13996.5822351,collector,7,99,24.7085,0.0157
13996.5951546,insight,7,102,27.4382,0.0235
13996.6015634,collector,8,102,19.3283,0.0127
13996.6223071,insight,8,98,27.1525,0.0175
13996.6279982,collector,9,106,26.4348,0.0161
13996.6516031,insight,9,104,29.2960,0.0166
13996.6558299,collector,10,98,27.8317,0.0134
13996.6771811,insight,10,105,25.5780,0.0167
13996.6811373,collector,11,98,25.3074,0.0192
13996.7004701,insight,11,100,23.2890,0.0258
13996.7054326,collector,12,98,24.2953,0.0224
13996.726865,insight,12,102,26.3949,0.0171
13996.7329467,collector,13,98,27.5141,0.0315
13996.7541841,insight,13,101,27.3191,0.0361
13996.7601171,collector,14,98,27.1704,0.0162
13996.7801255,insight,14,108,25.9414,0.0153
13996.7850904,collector,15,101,24.9733,0.0153
13996.8049313,insight,15,105,24.8058,0.0315
13996.8100092,collector,16,99,24.9188,0.0211
13996.8291163,insight,16,101,24.1850,0.0374
13996.8366173,collector,17,106,26.6081,0.0151
13996.8548851,insight,17,98,25.7688,0.0173
13996.8599422,collector,18,105,23.3249,0.0148
13996.8814061,insight,18,99,26.5210,0.0134
13996.8860588,collector,19,100,26.1166,0.0140
13996.9075698,insight,19,107,26.1637,0.0307
13996.9114189,collector,20,102,25.3601,0.0193
13996.9356368,insight,20,100,28.0670,0.0284
13996.9368945,collector,21,104,25.4756,0.0247
13996.9584122,insight,21,98,22.7754,0.0179
13996.9630045,collector,22,105,26.1100,0.0220
13996.9839813,insight,22,99,25.5691,0.0154
13996.9882727,collector,23,101,25.2682,0.0141
13997.0076431,insight,23,102,23.6618,0.0262
13997.0128965,collector,24,106,24.6238,0.0207
13997.0315757,insight,24,101,23.9326,0.0195
13997.0402178,collector,25,102,27.3213,0.0170
13997.0584667,insight,25,102,26.8910,0.0290
13997.0650761,collector,26,99,24.8583,0.0256
13997.0840833,insight,26,107,25.6166,0.0316
13997.0888647,collector,27,101,23.7886,0.0140
13997.1106939,insight,27,101,26.6106,0.0160
13997.1148287,collector,28,100,25.9640,0.0159
13997.1371073,insight,28,103,26.4134,0.0359
13997.1408892,collector,29,101,26.0605,0.0169
13997.1642319,insight,29,100,27.1246,0.0200
13997.1676585,collector,30,107,26.7693,0.0232
13997.1883816,insight,30,97,24.1497,0.0310
13997.193569,collector,31,106,25.9105,0.0202
13997.2121084,insight,31,109,23.7268,0.0328
13997.2225196,collector,32,106,28.9506,0.0221
13997.2354462,insight,32,101,23.3378,0.0211
13997.2481911,collector,33,98,25.6715,0.0148
13997.2609239,insight,33,110,25.4777,0.0217
13997.276403,collector,34,105,28.2119,0.0177
13997.2860147,insight,34,98,25.0908,0.0197
13997.3053251,collector,35,110,28.9221,0.0274
13997.3121357,insight,35,101,26.1210,0.0332
13997.3336299,collector,36,106,28.3048,0.0351
13997.3387604,insight,36,105,26.6247,0.0294
13997.3594535,collector,37,99,25.8236,0.0225
13997.3640996,insight,37,101,25.3392,0.0246
13997.3860994,collector,38,107,26.6459,0.0187
13997.3922684,insight,38,98,28.1688,0.0310
13997.4113125,collector,39,107,25.2131,0.0169
13997.4197552,insight,39,99,27.4868,0.0181
13997.4376059,collector,40,105,26.2934,0.0374
13997.4450199,insight,40,106,25.2647,0.0208
13997.4648643,collector,41,102,27.2584,0.0159
13997.469221,insight,41,101,24.2011,0.0171
13997.4940132,collector,42,107,29.1489,0.0171
13997.4981951,insight,42,100,28.9741,0.0146
13997.5208609,collector,43,107,26.8477,0.0314
13997.5252261,insight,43,105,27.0310,0.0309
13997.5469999,collector,44,101,26.1390,0.0197
13997.5513725,insight,44,102,26.1464,0.0214
13997.5732273,collector,45,96,26.2274,0.0146
13997.5800026,insight,45,105,28.6301,0.0225
13997.5975997,collector,46,101,24.3724,0.0145
13997.6098105,insight,46,109,29.8079,0.0262
13997.6226664,collector,47,99,25.0667,0.0232
13997.6349174,insight,47,98,25.1069,0.0179
13997.6474867,collector,48,97,24.8203,0.0165
13997.6597383,insight,48,99,24.8209,0.0197
13997.6741688,collector,49,98,26.6821,0.0159
13997.6859938,insight,49,98,26.2555,0.0199
13997.7014223,collector,50,107,27.2535,0.0396
13997.7107511,insight,50,99,24.7573,0.0180
13997.73012,collector,51,106,28.6977,0.0211
13997.7369327,insight,51,103,26.1816,0.0194
13997.7571667,collector,52,100,27.0467,0.0157
13997.7657804,insight,52,99,28.8477,0.0193
13997.7847994,collector,53,101,27.6327,0.0168
13997.7932755,insight,53,108,27.4951,0.0241
13997.8102322,collector,54,98,25.4328,0.0276
13997.8174226,insight,54,105,24.1471,0.0439
13997.8367774,collector,55,100,26.5452,0.0315
13997.8447117,insight,55,100,27.2891,0.0207
13997.8626259,collector,56,99,25.8485,0.0241
13997.8686746,insight,56,98,23.9629,0.0194
13997.8899904,collector,57,103,27.3645,0.0194
13997.8943092,insight,57,107,25.6346,0.0178
13997.918965,collector,58,99,28.9746,0.0134
13997.9232001,insight,58,106,28.8909,0.0184
13997.9459577,collector,59,99,26.9927,0.0324
13997.9489089,insight,59,101,25.7088,0.0201
13997.9752431,insight,60,102,26.3342,0.0436
13997.9756402,collector,60,106,29.6825,0.0133
13998.0030984,collector,61,98,27.4582,0.0171
13998.0032913,insight,61,106,28.0482,0.0341
13998.0316694,collector,62,98,28.5710,0.0188
13998.0318944,insight,62,98,28.6031,0.0076
13998.0604985,collector,63,97,28.8291,0.0370
13998.0618487,insight,63,101,29.9543,0.0322
13998.086658,collector,64,106,26.1595,0.0181
13998.091042,insight,64,102,29.1933,0.0243
13998.1121902,collector,65,103,25.5322,0.0330
13998.1187538,insight,65,105,27.7118,0.0253
13998.1352573,collector,66,100,23.0671,0.0149
13998.1457456,insight,66,105,26.9918,0.0301
13998.1628801,collector,67,99,27.6228,0.0181
13998.1713678,insight,67,102,25.6222,0.0499
13998.1901101,collector,68,98,27.2300,0.0277
13998.196435,insight,68,103,25.0672,0.0158
13998.2162274,collector,69,102,26.1173,0.0319
13998.2227256,insight,69,100,26.2906,0.0168
13998.2444919,collector,70,101,28.2645,0.0262
13998.2500664,insight,70,99,27.3408,0.0281
13998.2668397,collector,71,105,22.3478,0.0300
13998.2788303,insight,71,104,28.7639,0.0232
13998.294539,collector,72,107,27.6993,0.0176
13998.307144,insight,72,100,28.3137,0.0187
13998.3233364,collector,73,98,28.7974,0.0258
13998.3265601,insight,73,113,19.4161,0.0151
13998.3516528,collector,74,98,28.3164,0.0308
13998.3541041,insight,74,101,27.5440,0.0160
13998.3773007,collector,75,97,25.6479,0.0146
13998.3814864,insight,75,102,27.3823,0.0197
13998.4021934,collector,76,98,24.8927,0.0148
13998.4067054,insight,76,108,25.2190,0.0194
13998.4303797,collector,77,98,28.1863,0.0305
13998.4320331,insight,77,108,25.3277,0.0227
13998.4562951,collector,78,98,25.9154,0.0144
13998.4605315,insight,78,98,28.4984,0.0176
13998.4793835,collector,79,98,23.0884,0.0294
13998.4882556,insight,79,101,27.7241,0.0166
13998.5030141,collector,80,98,23.6306,0.0149
13998.5135416,insight,80,100,25.2860,0.0284
13998.5266529,collector,81,98,23.6388,0.0195
13998.5402831,insight,81,101,26.7415,0.0307
13998.5505674,collector,82,98,23.9145,0.0220
13998.5644059,insight,82,99,24.1228,0.0230
13998.5735691,collector,83,98,23.0017,0.0172
13998.5918976,insight,83,104,27.4917,0.0500
13998.5967184,collector,84,98,23.1493,0.0325
13998.6187389,insight,84,101,26.8413,0.0175
13998.6234162,collector,85,98,26.6978,0.0270
13998.6441408,insight,85,100,25.4019,0.0233
13998.6531546,collector,86,98,29.7384,0.0297
13998.6688176,insight,86,100,24.6768,0.0264
13998.6788085,collector,87,98,25.6539,0.0309
13998.6957948,insight,87,98,26.9772,0.0307
13998.7073651,collector,88,98,28.5566,0.0178
13998.7211211,insight,88,108,25.3263,0.0382
13998.7332813,collector,89,98,25.9162,0.0555
13998.7463859,insight,89,108,25.2648,0.0417
13998.7593118,collector,90,98,26.0305,0.0186
13998.7729383,insight,90,103,26.5524,0.0179
13998.7874024,collector,91,96,28.0906,0.0157
13998.7973819,insight,91,99,24.4436,0.0155
13998.8145291,collector,92,98,27.1267,0.0174
13998.8241531,insight,92,101,26.7712,0.0358
13998.8405666,collector,93,98,26.0375,0.0227
13998.8522852,insight,93,99,28.1321,0.0262
13998.8658791,collector,94,99,25.3125,0.0358
13998.8810927,insight,94,101,28.8075,0.0391
13998.8914317,collector,95,98,25.5526,0.0417
13998.9076937,insight,95,100,26.6010,0.0247
13998.9165664,collector,96,100,25.1347,0.0176
13998.9358665,insight,96,105,28.1728,0.0370
13998.9413837,collector,97,99,24.8173,0.0140
13998.9604711,insight,97,97,24.6046,0.0188
13998.9657173,collector,98,100,24.3336,0.0165
13998.9850122,insight,98,98,24.5411,0.0246
13998.9951649,collector,99,98,29.4476,0.0354
13999.0079321,insight,99,98,22.9199,0.0418
13999.0216332,collector,100,101,26.4683,0.0355
13999.0324818,insight,100,98,24.5497,0.0197
13999.0484302,collector,101,99,26.7970,0.0209
13999.0606413,insight,101,98,28.1595,0.0205
13999.0752837,collector,102,99,26.8535,0.0153
13999.0871275,insight,102,98,26.4862,0.0178
13999.1017647,collector,103,106,26.4810,0.0187
13999.1155459,insight,103,98,28.4184,0.0200
13999.1278369,collector,104,98,26.0722,0.0168
13999.1429952,insight,104,98,27.4493,0.0228
13999.154032,collector,105,98,26.1951,0.0210
13999.1696609,insight,105,98,26.6657,0.0190
13999.1808697,collector,106,101,26.8377,0.0250
13999.1946889,insight,106,99,25.0280,0.0339
13999.2078555,collector,107,103,26.9858,0.0316
13999.2213272,insight,107,99,26.6383,0.0391
13999.2342174,collector,108,102,26.3619,0.0148
13999.2484365,insight,108,102,27.1093,0.0281
13999.2611496,collector,109,102,26.9322,0.0220
13999.2737605,insight,109,100,25.3240,0.0202
13999.286202,collector,110,106,25.0524,0.0198
13999.3046994,insight,110,99,30.9389,0.0314
13999.3072853,collector,111,107,21.0833,0.0199
13999.3285568,insight,111,108,23.8574,0.0365
13999.3359763,collector,112,98,28.6910,0.0214
13999.3508392,insight,112,101,22.2824,0.0429
13999.3593705,collector,113,98,23.3942,0.0173
13999.376374,insight,113,99,25.5348,0.0178
13999.3856489,collector,114,98,26.2784,0.0201
13999.4048885,insight,114,98,28.5145,0.0265
13999.4115316,collector,115,98,25.8827,0.0167
13999.4307272,insight,115,104,25.8387,0.0205
13999.4365759,collector,116,98,25.0443,0.0201
13999.4605255,insight,116,107,29.7983,0.0151
13999.4647315,collector,117,98,28.1556,0.0168
13999.4892109,insight,117,105,28.6854,0.0432
13999.4930798,collector,118,98,28.3483,0.0418
13999.5146817,insight,118,99,25.4708,0.0182
13999.5188914,collector,119,98,25.8116,0.0254
13999.5408777,insight,119,99,26.1960,0.0414
13999.5468356,collector,120,97,27.9442,0.0277
13999.5650929,insight,120,99,24.2152,0.0208
13999.5725187,collector,121,98,25.6831,0.0336
13999.5900445,insight,121,104,24.9516,0.0197
13999.5968867,collector,122,98,24.3680,0.0137
13999.6164082,insight,122,100,26.3637,0.0194
13999.621806,collector,123,98,24.9193,0.0163
13999.6459912,insight,123,98,29.5830,0.0590
13999.6490481,collector,124,98,27.2421,0.0391
13999.6729705,insight,124,108,26.9793,0.0192
13999.6780187,collector,125,97,28.9706,0.0380
13999.6954867,insight,125,99,22.5162,0.0191
13999.7051985,collector,126,97,27.1798,0.0264
13999.7201549,insight,126,99,24.6682,0.0379
13999.7311094,collector,127,98,25.9109,0.0208
13999.744638,insight,127,98,24.4831,0.0223
13999.7608018,collector,128,98,29.6924,0.0180
13999.7715465,insight,128,104,26.9085,0.0327
13999.7860887,collector,129,98,25.2869,0.0311
13999.799076,insight,129,108,27.5295,0.0184
