timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 16:59:55.309, 53.51 W, 0 %, 9723 MiB
2025/11/27 16:59:55.493, 53.51 W, 0 %, 9723 MiB
2025/11/27 16:59:55.708, 53.51 W, 0 %, 9725 MiB
2025/11/27 16:59:55.892, 55.31 W, 0 %, 9725 MiB
2025/11/27 16:59:56.109, 55.31 W, 0 %, 9725 MiB
2025/11/27 16:59:56.277, 91.43 W, 100 %, 9725 MiB
2025/11/27 16:59:56.447, 91.43 W, 100 %, 9725 MiB
2025/11/27 16:59:56.615, 91.43 W, 100 %, 9725 MiB
2025/11/27 16:59:56.783, 131.82 W, 100 %, 9725 MiB
2025/11/27 16:59:56.952, 131.82 W, 100 %, 9725 MiB
2025/11/27 16:59:57.121, 131.82 W, 100 %, 9725 MiB
2025/11/27 16:59:57.290, 132.35 W, 100 %, 9725 MiB
2025/11/27 16:59:57.459, 132.35 W, 100 %, 9725 MiB
2025/11/27 16:59:57.629, 132.35 W, 100 %, 9725 MiB
2025/11/27 16:59:57.797, 132.61 W, 100 %, 9725 MiB
2025/11/27 16:59:57.967, 132.61 W, 100 %, 9725 MiB
2025/11/27 16:59:58.136, 132.61 W, 100 %, 9725 MiB
2025/11/27 16:59:58.305, 133.22 W, 100 %, 9725 MiB
2025/11/27 16:59:58.474, 133.22 W, 100 %, 9725 MiB
2025/11/27 16:59:58.643, 133.22 W, 100 %, 9725 MiB
2025/11/27 16:59:58.813, 133.83 W, 100 %, 9725 MiB
2025/11/27 16:59:58.983, 133.83 W, 100 %, 9725 MiB
2025/11/27 16:59:59.152, 133.83 W, 100 %, 9725 MiB
2025/11/27 16:59:59.321, 133.21 W, 100 %, 9725 MiB
2025/11/27 16:59:59.489, 133.21 W, 100 %, 9725 MiB
2025/11/27 16:59:59.658, 133.21 W, 100 %, 9725 MiB
2025/11/27 16:59:59.827, 133.25 W, 100 %, 9725 MiB
2025/11/27 16:59:59.995, 133.25 W, 100 %, 9725 MiB
2025/11/27 17:00:00.180, 133.25 W, 100 %, 9725 MiB
2025/11/27 17:00:00.351, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:00.521, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:00.690, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:00.858, 134.06 W, 100 %, 9725 MiB
2025/11/27 17:00:01.028, 134.06 W, 100 %, 9725 MiB
2025/11/27 17:00:01.196, 134.06 W, 100 %, 9725 MiB
2025/11/27 17:00:01.364, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:01.518, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:01.687, 133.79 W, 100 %, 9725 MiB
2025/11/27 17:00:01.855, 134.07 W, 100 %, 9725 MiB
2025/11/27 17:00:02.024, 134.07 W, 100 %, 9725 MiB
2025/11/27 17:00:02.193, 134.07 W, 100 %, 9725 MiB
2025/11/27 17:00:02.363, 135.21 W, 100 %, 9725 MiB
