timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:04:31.586, 142.50 W, 65 %, 9727 MiB
2025/11/27 17:04:31.802, 95.96 W, 65 %, 9727 MiB
2025/11/27 17:04:31.973, 95.96 W, 65 %, 9727 MiB
2025/11/27 17:04:32.129, 95.96 W, 65 %, 9727 MiB
2025/11/27 17:04:32.329, 44.30 W, 0 %, 4864 MiB
2025/11/27 17:04:32.545, 44.30 W, 0 %, 0 MiB
2025/11/27 17:04:32.793, 43.86 W, 0 %, 0 MiB
2025/11/27 17:04:32.962, 43.86 W, 0 %, 0 MiB
2025/11/27 17:04:33.132, 43.86 W, 0 %, 0 MiB
2025/11/27 17:04:33.302, 38.21 W, 0 %, 0 MiB
2025/11/27 17:04:33.537, 38.21 W, 0 %, 10 MiB
2025/11/27 17:04:33.706, 38.21 W, 0 %, 4303 MiB
2025/11/27 17:04:33.879, 30.55 W, 0 %, 8711 MiB
2025/11/27 17:04:34.052, 30.55 W, 0 %, 8711 MiB
2025/11/27 17:04:34.222, 30.55 W, 0 %, 8711 MiB
2025/11/27 17:04:34.394, 34.64 W, 25 %, 8711 MiB
2025/11/27 17:04:34.565, 34.64 W, 25 %, 8711 MiB
2025/11/27 17:04:34.749, 34.64 W, 25 %, 8711 MiB
2025/11/27 17:04:34.918, 44.84 W, 25 %, 8711 MiB
2025/11/27 17:04:35.089, 44.84 W, 25 %, 8711 MiB
2025/11/27 17:04:35.260, 44.84 W, 25 %, 8711 MiB
2025/11/27 17:04:35.433, 43.62 W, 22 %, 8711 MiB
2025/11/27 17:04:35.606, 43.62 W, 22 %, 8711 MiB
2025/11/27 17:04:35.778, 43.62 W, 22 %, 8711 MiB
2025/11/27 17:04:35.947, 43.65 W, 22 %, 8711 MiB
2025/11/27 17:04:36.118, 43.65 W, 22 %, 8711 MiB
2025/11/27 17:04:36.290, 41.19 W, 33 %, 8711 MiB
2025/11/27 17:04:36.460, 41.19 W, 33 %, 8711 MiB
