backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,2825.0072103065622,2841.378227629475,1.2161599988758098,1.2564999997266568,1.3447200011190337,1.2532333324391705,11.557600000378443,11.274100001173792,1.4088573509765714,10.147450000658864,13.83094999982859,10.750800000096206,11.784700000134762,9.808272549066107,13.306927451690779,5
onnxruntime-cpu,batch_short,5,5,0,0.0,4356.7842279437955,4296.7218901510205,0.820400000520749,0.7286499967449345,1.1679733327279487,0.973633332857086,7.4780599992664065,7.54629999937606,0.9711408127121234,6.445649996749125,8.851300000969786,6.668349997198675,7.878700002038386,6.272229414935416,8.683890583597396,5
onnxruntime-cpu,single_long,5,5,0,0.0,2009.1681392046135,2013.9352929672834,0.5309000000124797,0.4918000013276469,0.681079999776557,0.6355666652477036,4.032829999050591,4.012249999505002,0.282128264810246,3.806000000622589,4.500699997151969,3.8146499973663595,4.030550000607036,3.6825214897600103,4.3831385083411725,5
onnxruntime-cpu,single_medium,5,5,0,0.0,2249.5596708974963,2292.535039195959,0.4356700002972502,0.46300000030896626,0.6716133328154683,0.6502333344542421,3.616640000109328,3.4960999983013608,0.49503171976092575,3.098800003499491,4.20615000257385,3.2234499994956423,4.058699996676296,3.0019769357132904,4.231303064505365,5
onnxruntime-cpu,single_micro,5,5,0,0.0,3042.5268934077394,3079.5241856309076,0.32649999993736856,0.31185000261757523,0.568619999588312,0.48196666466537863,2.7003800008969847,2.599499999632826,0.45632792349057183,2.2448000017902814,3.4672499969019555,2.5452500049141236,2.645100001245737,2.1337740469236586,3.266985954870311,5
onnxruntime-cpu,single_short,5,5,0,0.0,2823.477532405865,2747.746339979558,0.344510000286391,0.32909999936237,0.5161333319847472,0.5468000017572194,2.902180000091903,2.9114999961166177,0.4475485845592913,2.4487999980919994,3.546449999703327,2.518850003980333,3.0853000025672372,2.3464750351975767,3.457884964986229,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,874.8034109544226,869.2769350444951,4.561059999832651,4.650549995858455,4.836886666210679,4.901199996917664,36.6801399999531,36.81384999799775,1.3051853037967265,35.276149999845074,38.55984999972861,35.63180000128341,37.11905000091065,35.059538397244054,38.30074160266214,5
onnxruntime-gpu,batch_short,5,5,0,0.0,613.9266864275405,617.4329216414734,6.310710000252584,6.279299999732757,6.337333332824832,6.148733334460606,52.17990999954054,51.82830000194372,1.5832975125994566,50.46204999962356,54.78555000081542,51.81294999783859,52.010699997481424,50.213986479700225,54.14583351938086,5
onnxruntime-gpu,single_long,5,5,0,0.0,248.88073099522043,247.17889666753,4.166360001545399,3.817299999354873,4.230633332432868,4.213099998499577,32.189800000196556,32.36604999983683,0.6966106795795662,31.157750003330875,32.983100001729326,31.894249998003943,32.5478499980818,31.32484359859835,33.05475640179476,5
onnxruntime-gpu,single_medium,5,5,0,0.0,298.16448998910744,297.509052618049,3.2724500000767875,3.228649999073241,3.6694600009165392,3.4540999986347742,26.878819999546977,26.89939999982016,0.7828835995770284,25.787549999222392,27.707350000127917,26.478100000531413,27.521699998033,25.906741619168006,27.850898379925948,5
onnxruntime-gpu,single_micro,5,5,0,0.0,213.62375696892076,219.365680419467,4.4488200001069345,4.227200002787868,10.329259999950107,5.273333333510284,37.694900000497,36.46935000142548,3.072160201119305,35.49985000063316,42.857500000536675,35.54664999683155,38.10115000305814,33.880309282052714,41.50949071894129,5
onnxruntime-gpu,single_short,5,5,0,0.0,333.856047502562,328.91896079044557,2.912590000050841,2.956849999463884,3.003266666200943,3.0003333328446993,24.091109999426408,24.459249998471932,1.0380160937654996,22.821700000349665,25.267349999921862,23.19809999971767,24.70914999867091,22.80224278624168,25.379977212611134,5
tensorrt-fp16,batch_medium,5,5,0,0.0,1086.489845974344,1071.9978526684836,3.543290000379784,3.542349997587735,4.605373333712729,4.607133334502578,29.5031800007564,29.887400000006892,1.015560671507773,27.927600000111852,30.515899998135865,29.116150002664654,30.068850002862746,28.24219487695356,30.764165124559245,5
tensorrt-fp16,batch_short,5,5,0,0.0,1544.8247116788584,1536.2642098139063,2.6675099987187423,2.71710000015446,3.268306666965752,3.2525333347924366,20.745629998418735,20.838499996898463,0.2717428820798536,20.286750001105247,20.99660000021686,20.745799996802816,20.860499997070292,20.40821664497205,21.08304335186542,5
tensorrt-fp16,single_long,5,5,0,0.0,723.4751999193857,723.0707391363765,1.3506700001016725,1.2923500034958124,1.7125133318283285,1.7176999948181522,11.091839999426156,11.120800001663156,0.44632331344585635,10.38324999899487,11.558949998288881,11.035150000680005,11.36104999750387,10.537656409561421,11.646023589290891,5
tensorrt-fp16,single_medium,5,5,0,0.0,841.7174334045851,823.2390190957699,1.1413199987146072,1.2056500017934013,1.3750933324142047,1.3781333327642642,9.531380001135403,9.720199999719625,0.38523382346866114,8.984700001747115,9.859150002739625,9.271449998777825,9.821400002692826,9.053049031643981,10.009710970626825,5
tensorrt-fp16,single_micro,5,5,0,0.0,1196.8552031927968,1188.9165886387996,0.8487299979606178,0.8457499970973004,0.9243733317513639,0.8722999967479458,6.695910001144512,6.729050001013093,0.15389191564429755,6.47095000022091,6.88810000065132,6.640550003794488,6.750900000042748,6.504827949874376,6.886992052414647,5
