backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,92.52271339887898,93.52025414046582,42.898150000110036,43.75914999945962,44.31253999997959,45.28439999982462,346.4568799998233,342.4097000006441,13.725202723122129,328.4223499995278,362.54789999929926,341.2352999994255,357.6691500002198,329.41478991047427,363.4989700891723,5
onnxruntime-cpu,batch_short,5,5,0,0.0,120.20936078477719,118.28106244388977,33.139890000165906,33.50944999965577,34.270813333326565,34.13500000048467,266.6191700000127,270.9314499998072,6.770822275785989,257.32760000028065,272.41125000091415,261.49214999986725,270.9333999991941,258.2120837419331,275.02625625809225,5
onnxruntime-cpu,single_long,5,5,0,0.0,51.12287376210486,50.929405309518,19.62567000009585,19.51774999997724,19.8139533331414,19.582066666771425,156.7596400000184,157.11000000010245,6.846723618043245,148.8455000007889,164.11124999922322,150.92074999938632,162.81070000059117,148.25830977784267,165.26097022219415,5
onnxruntime-cpu,single_medium,5,5,0,0.0,58.9520408547733,59.190709117326065,16.865420000249287,16.782300001068506,17.468326666615518,17.7440999996179,135.84049999972194,135.32634999955917,2.3360787090312205,132.67939999968803,138.68755000021338,135.00489999933052,137.5042999998186,132.93987516974755,138.74112482969633,5
onnxruntime-cpu,single_micro,5,5,0,0.0,73.62680907545823,72.2142894721917,13.53703000004316,13.75469999948109,13.909006667139087,13.962133334037693,108.81370999995852,110.78139999972336,4.232379946821114,101.49440000077448,111.8020499998238,108.88059999979305,111.11009999967791,103.55851619327117,114.06890380664586,5
onnxruntime-cpu,single_short,5,5,0,0.0,64.80438457714624,66.72304894470909,15.044460000171966,14.880149999953574,14.842206666920294,14.89190000029339,124.8828499998126,119.89875000017491,15.790294520730313,113.37970000022324,152.11149999959162,114.97994999899674,124.04435000007652,105.27660977238757,144.48909022723763,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,777.1775059826667,776.3129756101965,5.108280000422383,5.071700000371493,5.45864666661752,5.4126333337383885,41.18514999972831,41.230349999750615,0.20860365531832178,40.8827499995823,41.43684999962716,41.095149999819114,41.28064999986236,40.926134351025844,41.444165648430776,5
onnxruntime-gpu,batch_short,5,5,0,0.0,863.4462663872977,869.2169862864763,4.656670000076701,4.626399999324349,5.389686666603666,5.241166666261658,37.08090000000084,36.81899999901361,0.5005574998466386,36.65704999912123,37.7445500007525,36.696150000352645,37.48775000076421,36.45937577341038,37.7024242265913,5
onnxruntime-gpu,single_long,5,5,0,0.0,213.9760321674857,241.43899719921322,4.997340000227268,4.119149999496585,6.236920000083047,6.575100000191014,40.25300000030256,33.18255000067438,13.610714988088112,30.654449999019562,63.598650000130874,32.94135000123788,40.88800000045012,23.353065209781146,57.15293479082398,5
onnxruntime-gpu,single_medium,5,5,0,0.0,258.1904046218592,257.49348835743854,3.885469999841007,3.877000000102271,4.313033333649704,4.211900000276121,30.998210000143445,31.068950000189943,0.6571922836030466,30.036749999453605,31.837100001212093,30.808349999460916,31.239900000400667,30.18219800169622,31.814221998590668,5
