backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,2337.1842595949033,2315.5201437155933,,,32.20885333321348,32.38663333346873,32.590129999880446,32.85020000021177,1.1622863507433412,30.597549999583862,33.59885000008944,32.74444999988191,33.15959999963525,31.146960882558805,34.03329911720209,5
onnxruntime-cpu,batch_short,5,5,0,0.0,1906.973725755074,1899.1999933408204,,,23.044673333303457,23.305366666439415,23.088280000047234,23.168700000496756,0.39606815143699897,22.47555000030843,23.534599999948114,22.985200000221084,23.277349999261787,22.596496435572796,23.580063564521673,5
onnxruntime-cpu,single_long,5,5,0,0.0,1599.2860063229116,1553.2621163156532,,,17.359093333410176,17.886233333532193,16.931040000235953,17.38310000018828,0.9847867789438705,15.430749999723048,17.793450000681332,16.448200000013458,17.599700000573648,15.708265710914297,18.15381428955761,5
onnxruntime-cpu,single_medium,5,5,0,0.0,1260.6438424354747,1242.1432145941794,,,14.635213333288752,14.359166666811992,15.102180000212684,15.299949999644014,0.7128034482166904,13.903150000260212,15.67830000021786,15.056600000207254,15.57290000073408,14.217117620766517,15.98724237965885,5
onnxruntime-cpu,single_micro,5,5,0,0.0,681.9583793793065,688.0909946638476,,,12.40804666655701,12.028566666534365,11.745090000113123,11.63410000026488,0.35888649415423013,11.405000000195287,12.245600000824197,11.46009999956732,11.980649999713933,11.29947356088025,12.190706439345997,5
onnxruntime-cpu,single_short,5,5,0,0.0,816.399179208485,831.5170717779498,,,13.601626666544083,13.34580000002461,13.503779999882681,13.229049999608833,0.7306691984696297,13.045799999417795,14.7961500006204,13.115650000145251,13.332249999621126,12.596534361546539,14.411025638218824,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,5901.472092531963,5452.029006109007,,,14.85848666682917,16.82480000029803,14.017709999643557,14.387100000021746,3.0941372914162653,8.998600000268198,17.470749999120017,14.211499998964428,15.020599999843398,10.175831119392265,17.85958887989485,5
onnxruntime-gpu,batch_short,5,5,0,0.0,3836.9293253575365,3241.136406577478,,,13.78761333313984,16.46893333357487,13.233240000045043,13.64214999921387,4.410456859263876,6.242000000383996,18.45410000078118,13.375599999562837,14.452350000283332,7.756934502266232,18.709545497823854,5
onnxruntime-gpu,single_long,5,5,0,0.0,4751.654335581714,4959.219332322934,,,8.669439999721362,5.711733332645963,7.341699999778939,5.444899999929476,5.250100540015192,3.737199999704899,16.639849999592116,5.43054999980086,5.455999999867345,0.8228391722919222,13.860560827265957,5
onnxruntime-gpu,single_medium,5,5,0,0.0,4413.258365110657,4934.2790459373755,,,5.855553333337108,4.533866666558121,4.778729999634379,3.8551499992536264,1.3563179227318478,3.7411499997688225,6.298249999417749,3.7702499994338723,6.228850000297825,3.094638864859726,6.462821134409032,5
