backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,3827.8600744867354,3722.4998806269537,0.9585800000422751,0.9654499999669497,1.183333333271245,1.1513333344434311,8.649860000150511,8.643099999972037,1.4346153360791254,6.49260000045615,10.47389999985171,8.508599999913713,9.131100000558945,6.868549786070064,10.431170214230958,5
onnxruntime-cpu,batch_short,5,5,0,0.0,4901.190256132801,5180.662802055164,0.7532400000854977,0.74640000002546,1.0004666666645787,0.9901333335922876,6.841290000375011,6.192349999764701,1.566886705822672,5.948800000624033,9.62710000021616,6.034850001015002,6.403350000255159,4.895743188490903,8.78683681225912,5
onnxruntime-cpu,single_long,5,5,0,0.0,2046.2080810978744,2183.8955634210124,0.49657000017759856,0.5128500006321701,0.6490066668144815,0.6233333339575134,3.9988699996683863,3.6642499990193755,0.5326669771436403,3.5647499998958665,4.666799999540672,3.6114999993515084,4.487050000534509,3.3374765911171,4.660263408219673,5
onnxruntime-cpu,single_medium,5,5,0,0.0,2054.493322493238,2022.8612371961842,0.4719700000350713,0.4727000005004811,0.6488200000603682,0.5620333328503572,3.950930000428343,3.961600000366161,0.22844890415833488,3.6835000009887153,4.181400000561553,3.759550000722811,4.168599999502476,3.667273220705836,4.234586780150851,5
onnxruntime-cpu,single_micro,5,5,0,0.0,2598.9097725386578,2656.0427890090914,0.40853000009519747,0.3812499999185093,0.5490733333620785,0.4432333328926082,3.188650000083726,3.0187499996827682,0.6177834084455175,2.6467500010767253,4.212150000057591,2.8004499999951804,3.265149999606365,2.421570583129314,3.9557294170381376,5
onnxruntime-cpu,single_short,5,5,0,0.0,2390.6508586201853,2308.814310483101,0.40414999984932365,0.40209999951912323,0.5031600001530024,0.5040999997921366,3.4742599998935475,3.464999999778229,0.5009810639849754,2.7728000004572095,4.189049999695271,3.4514500002842396,3.4929999992527883,2.8522098489615857,4.096310150825509,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,811.9377418766784,818.4014396175887,4.75401999992755,4.775000000336149,5.477639999905174,4.97206666659622,39.481359999626875,39.102699998693424,1.1439214270291,38.38655000072322,41.40599999936967,39.04814999896189,39.46340000038617,38.06099394691096,40.90172605234279,5
onnxruntime-gpu,batch_short,5,5,0,0.0,875.3341855761471,1003.3120156206287,4.837750000115193,3.8296000011541764,5.346113333386407,5.17036666739538,39.01593000009598,31.898999999611988,11.466067224816522,29.121000000486674,51.92410000017844,31.010900000183028,51.124650000019756,24.77892712605713,53.25293287413483,5
onnxruntime-gpu,single_long,5,5,0,0.0,249.33156494863252,250.62745942068122,3.9264100001673796,3.926299999875482,4.235793333403611,3.940699999778493,32.21845000007306,31.97675000046729,2.1957949355321036,29.579850000118313,35.158900000169524,30.843499999718915,33.53324999989127,29.49201048118469,34.94488951896143,5
onnxruntime-gpu,single_medium,5,5,0,0.0,307.29345157314367,307.86270197415956,3.2752900004197727,3.236999999899126,4.521993333643573,4.430866666856066,26.056570000037027,25.98740000030375,0.6092368693714104,25.233350000235077,26.891949999480858,25.858449999759614,26.311700000405835,25.300102512960176,26.813037487113878,5
