backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,146079.77628767252,144555.00664279837,,,0.7103733333982138,0.6521666673506843,0.5209300001297379,0.5263499997454346,0.018182189064505146,0.4901000002064393,0.5344000001059612,0.5202000002100249,0.5336000003808294,0.49835383055980764,0.5435061696996681,5
onnxruntime-cpu,batch_short,5,5,0,0.0,117443.09216882024,119970.6466423063,,,0.5972866668647232,0.5088333333939469,0.37783999996463535,0.366799999937939,0.040570438836710764,0.34994999987247866,0.44925000020157313,0.3562500005500624,0.3669499992611236,0.3274651466697637,0.42821485325950703,5
onnxruntime-cpu,single_long,5,5,0,0.0,82890.1825658132,83877.1097022767,,,0.5025799999809049,0.411566666419579,0.32844000015757047,0.32190000092668924,0.03418393963992265,0.2962500002468005,0.3864499994961079,0.31409999974130187,0.3235000003769528,0.28599503298990786,0.3708849673252331,5
onnxruntime-cpu,single_medium,5,5,0,0.0,72671.24710996258,73469.94134363398,,,0.5542999998093971,0.3569333336296647,0.2616500001749955,0.2586499995231861,0.005426440013053582,0.2573000010670512,0.2688000004127389,0.25734999962878646,0.2661500002432149,0.2549121849723745,0.2683878153776165,5
onnxruntime-cpu,single_micro,5,5,0,0.0,52279.02091006083,53019.176731604704,,,0.27924666683247784,0.23386666665222341,0.15338000030169496,0.1509000003352412,0.008322754423556395,0.14690000080008758,0.1674999994065729,0.1479500006098533,0.15365000035671983,0.14304593576807384,0.1637140648353161,5
onnxruntime-cpu,single_short,5,5,0,0.0,56610.9733221808,57246.94246284329,,,0.4048199999184969,0.26083333311059204,0.1946299998962786,0.19220000012865057,0.007567083308018938,0.18745000033959514,0.20295000012993114,0.18814999930327758,0.2023999995799386,0.18523422498130282,0.2040257748112544,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,6696.803321837872,6698.6355651679105,,,11.279453333433292,11.18510000014794,11.358700000528188,11.353450000569865,0.3012219324238606,10.931900000286987,11.74035000076401,11.253850000684906,11.513950000335171,10.984683571568112,11.732716429488264,5
onnxruntime-gpu,batch_short,5,5,0,0.0,5866.120920976553,5982.046586721851,,,8.050720000270909,7.65276666728217,7.536029999937455,7.35534999967058,0.4738384887951418,7.224349999887636,8.364150000488735,7.253800000398769,7.482499999241554,6.947681807437248,8.12437819243766,5
onnxruntime-gpu,single_long,5,5,0,0.0,4975.0523411325685,5113.4535805892865,,,6.173526666680118,6.360233332695013,5.54545000068174,5.280400000629015,0.7394092878820695,5.129600000145729,6.862300000648247,5.1666000008481205,5.288350001137587,4.62735210798109,6.4635478933823896,5
onnxruntime-gpu,single_medium,5,5,0,0.0,3953.1072554308885,3958.8679803872437,,,4.937719999603965,4.894833332703759,4.816360000040731,4.804650000551192,0.22231157577137808,4.532449999715027,5.13909999972384,4.724000000351225,4.881599999862374,4.540323720021463,5.09239628006,5
onnxruntime-gpu,single_micro,5,5,0,0.0,2486.3825796219967,2419.3837306051,,,8.21607333321784,3.5223999996863617,3.2388999999966472,3.307949998998083,0.18904463088732332,2.922749999925145,3.4144999999625725,3.2254500010822085,3.323850000015227,3.004170087770138,3.4736299122231564,5
onnxruntime-gpu,single_short,5,5,0,0.0,3182.269331535793,3059.581518399877,,,3.8818799999717166,3.930366667191265,3.4788099999786937,3.5954000004494446,0.21727827055144516,3.1607999990228564,3.68004999927507,3.349250000610482,3.6085500005356153,3.2090233938429864,3.748596606114401,5
tensorrt-fp16,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_long,5,5,0,0.0,5766.04809326494,5783.631003860524,,,5.376240000138447,5.456900000353926,4.687179999928048,4.669400000238966,0.10164616740315051,4.568849999486702,4.849950000789249,4.6648999996250495,4.682799999500276,4.560969613308163,4.813390386547933,5
tensorrt-fp16,single_medium,5,5,0,0.0,5087.468883627369,5189.771563225234,,,4.142799999802568,3.7755666665664953,3.8001300003088545,3.661050001028343,0.3061468246349243,3.526150000652706,4.218600000058359,3.5678999993251637,4.026950000479701,3.419998509995267,4.180261490622442,5
tensorrt-fp16,single_micro,5,5,0,0.0,4140.587162650616,3907.494088057406,,,2.5193666665776013,2.42679999973916,1.9559799997296068,2.047349999884318,0.18173635644344813,1.666299999669718,2.0914500000799308,1.8885999998019543,2.0861999992121127,1.7303245087690502,2.1816354906901636,5
tensorrt-fp16,single_short,5,5,0,0.0,4328.55041017923,4500.034226252454,,,2.8888533330852324,2.6684333327769614,2.739370000017516,2.445100000841194,0.6889984998316153,2.3273500000868808,3.9613499993720325,2.391199999692617,2.571850000094855,1.8838653679601953,3.5948746320748364,5
tensorrt-fp32,batch_medium,5,5,0,0.0,6980.747737677983,7019.7107714610975,,,11.732319999767544,11.596866665665098,10.903239999970538,10.826749999978347,0.36144461451655685,10.603849999824888,11.519800000314717,10.68810000015219,10.877699999582546,10.454447234780691,11.352032765160384,5
tensorrt-fp32,batch_short,5,5,0,0.0,6339.348490915085,6453.600754113864,,,7.393886666735246,7.088966666439471,6.977110000480025,6.817899999987276,0.41389678174757133,6.611400000110734,7.680100001380197,6.7983500002810615,6.977800000640855,6.463189267611663,7.491030733348386,5
tensorrt-fp32,single_long,5,5,0,0.0,5642.111561389711,5880.215089677709,,,5.187680000138547,5.125666667178545,4.847250000057102,4.592000000229746,0.4884359808841134,4.572499999994761,5.7071999999607215,4.583050000292133,4.7814999998081475,4.240776627165955,5.453723372948248,5
tensorrt-fp32,single_medium,5,5,0,0.0,5368.882108384411,5439.935969140492,,,3.762633333341607,3.613966666913863,3.6037399999258923,3.4965000004376634,0.42630383472793193,3.3204499995918013,4.351950000454963,3.3493999999336665,3.5003999992113677,3.074413876048011,4.133066123803774,5
tensorrt-fp32,single_micro,5,5,0,0.0,4588.991381719648,4511.196627590216,,,2.4430533332633786,2.4102000000614985,1.7750499999237945,1.803049999580253,0.23159631369023215,1.4982000002419227,2.0334999999249703,1.5827999995963182,1.9577000002755085,1.487485195097927,2.062614804749662,5
tensorrt-fp32,single_short,5,5,0,0.0,4798.342776044742,4705.581972033246,,,2.5696066668994413,2.5018000002698195,2.3047399998176843,2.339149999897927,0.09397808528803554,2.1384499996202067,2.370149999478599,2.3366499999610824,2.3393000001306063,2.1880507946954073,2.4214292049399613,5
tensorrt-int8,batch_medium,5,5,0,0.0,6961.881658756528,7112.942671898722,,,11.323419999704736,11.131700000381292,10.954020000281162,10.684900000342168,0.5647785567123994,10.647600000083912,11.95834999998624,10.672649999833084,10.806600001160405,10.252754799453891,11.655285201108432,5
tensorrt-int8,batch_short,5,5,0,0.0,6573.392189172528,6605.965451406367,,,7.712679999895045,7.862933332944522,6.694499999684922,6.6609000004973495,0.07087191787520992,6.64639999922656,6.817849999606551,6.6568499996719765,6.6904999994221726,6.60650089077562,6.782499108594224,5
tensorrt-int8,single_long,5,5,0,0.0,5569.653436535404,5536.757546528785,,,4.827826666830029,4.692733333286014,5.068570000184991,4.932750000079977,0.8086956385773495,4.247900000336813,6.107350000092993,4.378749999887077,5.676100000528095,4.064441740259091,6.072698260110891,5
