backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,97.48324367208461,97.20887944547536,42.56463000019721,43.04170000068552,38.85096666684451,38.81340000043565,328.3235400003832,329.19460000084655,2.9157251925681287,323.7432000005356,330.94270000037795,327.31725000030565,330.41994999985036,324.70318900011563,331.9438910006508,5
onnxruntime-cpu,batch_short,5,5,0,0.0,119.52985785607261,119.41334249599558,32.998419999785256,32.64110000054643,30.360526666360478,29.80069999951714,267.79478000007657,267.99729999947886,2.165096477914002,264.91005000025325,270.56330000050366,266.5855499999452,268.9177000002019,265.10645765081296,270.4831023493402,5
onnxruntime-cpu,single_long,5,5,0,0.0,52.972087906218846,53.01426625991269,17.873230000077456,18.257950000588608,17.433426666563413,17.41976666683816,151.18612999995094,150.90334999968036,3.9837785862342288,144.91309999993973,155.06530000129715,150.87809999931778,154.17079999951966,146.2396155526088,156.13264444729307,5
onnxruntime-cpu,single_medium,5,5,0,0.0,54.87841447211688,54.02522091625288,18.467390000114392,18.709299999500217,17.102926666727097,17.257466666706023,146.84051999975054,148.3337500003472,13.039537826799648,133.85439999910886,164.3016499992882,134.19855000029202,153.5142499997164,130.64979532699724,163.03124467250385,5
onnxruntime-cpu,single_micro,5,5,0,0.0,72.49014000694993,72.79943979110405,13.950770000155899,13.92515000043204,13.612926666610292,13.356500000857826,110.42261000020517,109.99975000049744,1.5518132714038335,108.92779999994673,113.05875000016385,109.98625000047468,110.14049999994313,108.49577932916822,112.34944067124212,5
onnxruntime-cpu,single_short,5,5,0,0.0,64.35795751165962,65.20673332705971,15.41869000011502,15.543649999926856,14.760839999992942,14.505799999824376,124.99649000019417,122.7927500003716,6.982615964493571,119.38254999950004,137.196849999782,122.4872000002506,123.12310000106663,116.32642714379963,133.6665528565887,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,769.8801707650027,779.9339630308716,5.121130000043195,5.14130000010482,5.444686666426909,5.294833332300186,41.60746999987168,41.0445500001515,1.3386375207908383,40.492600000106904,43.792699999357865,40.76045000056183,41.94704999918031,39.94533198366095,43.269608016082415,5
onnxruntime-gpu,batch_short,5,5,0,0.0,871.1285465496194,869.5502297580682,4.562710000027437,4.551249999167339,5.034086666758716,4.954900000181321,36.75072000041837,36.80925000026036,0.6131611641591926,35.794900000837515,37.476200001037796,36.68534999997064,36.98789999998553,35.98937985778519,37.51206014305155,5
onnxruntime-gpu,single_long,5,5,0,0.0,257.41100274407796,257.1533735547519,3.8243299999521696,3.7931000006210525,4.232153333092962,4.241566666072079,31.081349999840313,31.114149998757057,0.18486737393874084,30.846650000967202,31.294199999138073,30.943250000746048,31.208499999593187,30.851806837178106,31.31089316250252,5
onnxruntime-gpu,single_medium,5,5,0,0.0,253.7507337853496,257.70822801385873,3.949509999984002,3.9373500003421213,4.339766666817013,4.155600000255315,31.572000000051048,31.043299999510054,0.9829178776484171,30.92780000042694,33.26375000051485,31.01814999990893,31.60699999989447,30.351546258184154,32.79245374191794,5
