backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,2377.668396516052,2365.600127597575,,,32.1576266665943,31.942999999955646,32.10367000010592,32.24590000081662,1.9468041789420192,29.498849999981758,34.30889999981446,30.917300000510295,33.54739999940648,29.686393339560972,34.52094666065087,5
onnxruntime-cpu,batch_short,5,5,0,0.0,2074.1526933750415,2072.765048138142,,,22.134986666545352,22.74586666741622,21.314370000072813,21.235249999335792,1.5768648478445528,19.504349999806436,23.722500000076252,20.450800000617164,21.65895000052842,19.35643368847117,23.272306311674456,5
onnxruntime-cpu,single_long,5,5,0,0.0,1675.2240291708367,1623.5059148444977,,,15.74242666695985,15.848300000167606,16.167989999667043,16.631249998681596,0.9366448758153352,14.651750000666652,16.866699999809498,15.873599999395083,16.816649999782385,15.004991778265104,17.33098822106898,5
onnxruntime-cpu,single_medium,5,5,0,0.0,1323.0360528907033,1276.4817324787005,,,13.933239999823854,13.91700000021956,14.391930000419961,14.885300000059942,0.6963624888424856,13.55130000047211,14.912650000951544,13.712150000174006,14.898250000442204,13.527281768324675,15.256578232515247,5
onnxruntime-cpu,single_micro,5,5,0,0.0,734.7847928146653,733.2295168580786,,,11.822953333103214,11.128366666525835,10.890629999994417,10.911049998867384,0.17601155686876638,10.651250000591972,11.084800000389805,10.784300000523217,11.021749999599706,10.672082786562674,11.10917721342616,5
onnxruntime-cpu,single_short,5,5,0,0.0,888.2927636192186,888.8466397193208,,,11.784539999765306,11.709033333318075,12.408770000183722,12.418500000421773,0.3801466160320787,11.970250000558735,12.982700000975456,12.184999999590218,12.487399999372428,11.936755633017698,12.880784367349746,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,8629.621923883808,8676.510751517419,,,9.099986666357534,8.979866666777525,8.809769999788841,8.760049999182229,0.1652162091829764,8.683150000251771,9.099500000047556,8.740649999708694,8.765499999753956,8.604626980926637,9.014913018651045,5
onnxruntime-gpu,batch_short,5,5,0,0.0,7168.203905183875,7183.205666838454,,,6.45412000012584,6.4069000000017695,6.146329999683076,6.126300000687479,0.17857582277625017,5.967499999314896,6.408699999155942,6.004299999403884,6.224849999853177,5.924598829592189,6.368061169773962,5
onnxruntime-gpu,single_long,5,5,0,0.0,6149.52828197879,6296.002952074899,,,4.851693333451598,4.7457333336448455,4.495299999871349,4.288750000341679,0.7753880275494032,3.7517999999181484,5.333599999175931,3.8094000001365202,5.292949999784469,3.5325286014250254,5.458071398317673,5
onnxruntime-gpu,single_medium,5,5,0,0.0,5155.202044647863,5128.139339722877,,,4.422846666663342,4.107266666930324,3.6886200001390534,3.7055499997222796,0.09863220568747409,3.5894499997084495,3.82644999990589,3.5966000004918897,3.7250500008667586,3.566151941273488,3.8110880590046188,5
onnxruntime-gpu,single_micro,5,5,0,0.0,752.9862849018975,390.9304255158484,,,40.534133333252,20.489299999705207,21.69638999966992,20.46669999981532,14.188322176144359,3.3133999995698105,43.210699999690405,19.999299999653886,21.49184999962017,4.079261158635347,39.31351884070449,5
onnxruntime-gpu,single_short,5,5,0,0.0,3091.1572670532064,3144.1109402725187,,,3.945720000047004,3.969333333467754,3.5770600003161235,3.506399999423593,0.24667705517236116,3.3515499999339227,4.000200001428311,3.498700000818644,3.5284499999761465,3.2707699817256786,3.8833500189065684,5
tensorrt-fp16,batch_medium,5,5,0,0.0,7939.897072209913,7676.601065525567,,,9.88031999998687,10.058166666567558,9.602690000065195,9.900250000100641,0.578087218250997,8.584549999795854,9.941450000042096,9.684200000265264,9.90300000012212,8.884899913341169,10.320480086789221,5
tensorrt-fp16,batch_short,5,5,0,0.0,5750.342454845557,5692.682304117934,,,8.153839999674043,8.0638666665133,7.663159999719937,7.729300000391959,0.31995283720042267,7.1080999996411265,7.898099999692931,7.7209999990373035,7.859299999836367,7.265886080645021,8.060433918794853,5
tensorrt-fp16,single_long,5,5,0,0.0,9293.014550745778,9363.820426656106,,,3.053926666567956,3.028699999655752,2.9070899998259847,2.883849999307131,0.07385442076886684,2.8207000004840665,3.0188999999154476,2.88040000032197,2.9315999991013086,2.81538762444909,2.9987923752028793,5
tensorrt-fp16,single_medium,5,5,0,0.0,12268.121086381681,12848.604751027226,,,1.8327533334134691,1.6979000004842721,1.567270000668941,1.4810000011493685,0.16462569512498007,1.4349000002766843,1.8112000007022289,1.4459500007433235,1.6633000004731002,1.362860201852984,1.771679799484898,5
tensorrt-fp16,single_micro,5,5,0,0.0,5867.71283604795,5890.122320009697,,,1.840526666395211,1.5367333326139487,1.3712000001760316,1.365000000987493,0.10334718837849337,1.2472999997044099,1.4823000001342734,1.2946499991812743,1.4667500008727075,1.2428775170508737,1.4995224833011895,5
tensorrt-fp16,single_short,5,5,0,0.0,8505.155470745023,8555.276301387716,,,1.7023000000335742,1.525933333444603,1.2936300001456402,1.2858000000051106,0.01864060071772589,1.2817000006180024,1.3263999999253429,1.2833999999202206,1.2908500002595247,1.2704846373295486,1.3167753629617318,5
tensorrt-fp32,batch_medium,5,5,0,0.0,8797.059559601516,8863.834253519326,,,9.06065333353278,9.229200000239265,8.643510000001697,8.574299999963841,0.19390090683906996,8.478650000142807,8.966749999672174,8.528350000233331,8.669499999996333,8.402750224760561,8.884269775242833,5
tensorrt-fp32,batch_short,5,5,0,0.0,5994.577373278621,5950.172157650444,,,8.066426666240053,7.956499999030105,7.350079999741865,7.398200000352517,0.27251550029283916,6.984850000662846,7.706999998845276,7.201399999757996,7.458949999090692,7.011707314075759,7.688452685407972,5
tensorrt-fp32,single_long,5,5,0,0.0,6769.696488141257,6804.260911096708,,,4.149260000122013,4.08880000031786,3.9894100000310573,3.968400000303518,0.06521983410737102,3.9349499993477366,4.102849999981117,3.9674499994362122,3.973400001086702,3.9084288800511127,4.070391120011002,5
tensorrt-fp32,single_medium,5,5,0,0.0,8478.80149126571,8689.676184688416,,,2.5650333334245565,2.6047666663847244,2.2485799998321454,2.1866499992029276,0.1443848960971207,2.16180000006716,2.5054999996427796,2.185549999921932,2.203400000325928,2.069302472463959,2.4278575272003318,5
