backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,697.9440004554219,692.5005931366704,5.805159999908938,5.706900000404858,5.427759999899232,5.684466666934895,45.92051000017818,46.22374999962631,1.6393231921061198,43.391199999859964,47.560550000525836,45.37724999954662,47.04980000133219,43.88502141111954,47.95599858923683,5
onnxruntime-cpu,batch_short,5,5,0,0.0,892.2290663226586,894.5774413934058,4.350549999799114,4.17715000003227,4.362066666847871,4.38656666665338,35.96882999972877,35.79575000003388,1.4374828899146412,34.08769999987271,38.02075000021432,35.476799998832576,36.46314999969036,34.18395924728785,37.753700752169685,5
onnxruntime-cpu,single_long,5,5,0,0.0,364.98132167713567,364.88822314249796,2.7128000003358466,2.6356500002293615,3.0318199998873756,3.0825333336300296,21.96408000017982,21.925900000496767,0.6760008157001273,21.238950000224577,23.029299999507202,21.567800000411808,22.058450000258745,21.12471412456859,22.80344587579105,5
onnxruntime-cpu,single_medium,5,5,0,0.0,417.3674233360572,391.680368096973,2.261769999859098,2.300199999808683,2.8346533335328177,2.9090666666888865,19.406620000154362,20.425200000318,1.8034567978345422,16.67040000029374,20.835600000282284,18.455100000210223,20.646799999667564,17.16733262196736,21.645907378341363,5
onnxruntime-cpu,single_micro,5,5,0,0.0,546.7373918639038,565.0490857234997,1.9980799996119458,1.9395999997868785,2.3251466668928815,2.2508333337706667,14.763509999829694,14.224399999875459,1.3913941205197333,13.219700000263401,16.774449999502394,14.084149999689544,15.51484999981767,13.035866013067949,16.49115398659144,5
onnxruntime-cpu,single_short,5,5,0,0.0,481.87856466927633,486.49442757988356,2.037209999980405,2.058799999758776,2.5362999998227074,2.5375333328459724,16.704029999891645,16.446300000097835,1.4349341382579912,15.11075000053097,18.922650000604335,15.95394999912969,17.086499999095395,14.922323940623151,18.48573605916014,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,824.7720475480116,819.7354371212862,4.267009999966831,4.127300000618561,5.468259999785611,5.372433332619646,38.850770000317425,39.06924999955663,0.8827120653336628,37.75995000069088,39.769100000739854,38.108500000817,39.54704999978276,37.754738208012526,39.946801792622324,5
onnxruntime-gpu,batch_short,5,5,0,0.0,970.9397448168636,988.2572836351368,4.576380000071367,4.240699999172648,5.027853333255432,4.40116666565397,33.188589999735996,32.42864999992889,2.2703418408907456,31.463549999898532,37.177750000410015,32.33684999941033,32.536149999032205,30.369588272286293,36.0075917271857,5
onnxruntime-gpu,single_long,5,5,0,0.0,334.1588299006713,356.7336731339723,3.1608799998139148,2.7967999994871207,3.437773333159081,3.00253333322568,24.691669999992882,22.42584999930841,5.055228576033472,22.33524999974179,33.73315000044386,22.378399999070098,22.585700001400255,18.414774674441226,30.96856532554454,5
onnxruntime-gpu,single_medium,5,5,0,0.0,221.29595083390572,225.67340843136623,4.788420000113547,4.420850000315113,5.455286666498674,5.567499999718469,36.320400000113295,35.475449999466946,1.9841803521060806,34.71460000037041,39.465250000830565,34.89530000024388,37.05139999965468,33.856714690959905,38.784085309266686,5
onnxruntime-gpu,single_micro,5,5,0,0.0,198.36156284000086,188.88563449161455,5.082640000182437,5.425050000667397,12.680919999669033,5.529933332582004,41.50003000013385,42.364000000816304,6.476506955629543,31.111649999729707,48.377549999713665,40.784800000437826,44.862149999971734,33.45838447921236,49.54167552105533,5
onnxruntime-gpu,single_short,5,5,0,0.0,282.38681499443135,281.7141472021026,3.6743500000739004,3.718349998962367,4.751539999900464,4.827166666170039,28.3544099998835,28.42265000072075,0.4423960675988251,27.619099999355967,28.80959999947663,28.397600000062084,28.52309999980207,27.80510272979912,28.90371726996788,5
tensorrt-fp16,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
transformers-gpu-compile,batch_medium,5,5,0,0.0,388.3134904661436,414.7846805995979,10.172530000272673,9.46990000011283,67.04311333329922,10.755166666664687,85.18375999992713,77.14969999960886,19.609893920447057,74.61150000017369,120.21089999961987,76.6987999995763,77.24790000065695,60.83486071031311,109.53265928954116,5
transformers-gpu-compile,batch_short,5,5,0,0.0,256.46359979507054,274.3102340012993,15.471740000066347,15.730649999568413,86.66032000013124,19.984433332865592,129.1211800002202,118.13870000059978,23.329489041038155,105.6714500000453,162.49545000027865,115.64740000085294,143.6528999993243,100.1537933614738,158.0885666389666,5
transformers-gpu-compile,single_long,5,5,0,0.0,89.85735144630982,90.16271341274665,12.100089999876218,12.461999999686668,85.48752666659615,15.92983333345425,94.33518999994703,88.73210000001563,19.69952105745921,74.52709999961371,120.59130000125151,79.10074999927019,108.72469999958412,69.87500392104295,118.79537607885112,5
transformers-gpu-compile,single_medium,5,5,0,0.0,147.15676825339807,146.26647161118035,6.4818999999260996,6.444100000408071,59.7531866669063,8.177133333447273,54.39293000035832,54.70080000031885,0.8171375714608393,53.046950000862125,55.12385000110953,54.24404999939725,54.84900000010384,53.37831969629574,55.4075403044209,5
transformers-gpu-compile,single_micro,5,5,0,0.0,473.5692832960429,485.989125300086,2.1525199997995514,2.0661500002461253,162.1035733332974,2.28160000006028,17.181669999808946,16.573399999288085,1.442305818421718,16.103100000691484,19.692799999575072,16.50289999997767,17.036149999512418,15.39081079067488,18.972529208943012,5
transformers-gpu-compile,single_short,5,5,0,0.0,153.1564705684695,154.94563334502354,6.438060000073165,6.315599999652477,59.294953333543766,7.309900000109337,52.341810000143596,51.65225000018836,1.7856036207664907,51.18109999966691,55.47954999929061,51.33990000013,52.056250001442095,50.12469026917555,54.55892973111164,5
