backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,19522.411611906944,19023.714882410095,,,4.053313333254968,4.077800000231946,3.9520500002254266,3.9973000002646586,0.25245641973343413,3.590749999602849,4.219850000481529,3.818900000624126,4.133450000153971,3.6385839527270027,4.2655160477238505,5
onnxruntime-cpu,batch_short,5,5,0,0.0,13888.404084999207,13547.006596334588,,,3.2616000001629195,3.1781333333735042,3.195420000156446,3.2479500014233054,0.2744963633781948,2.782449999358505,3.477000000202679,3.083699999478995,3.386000000318745,2.8545877481118827,3.536252252201009,5
onnxruntime-cpu,single_long,5,5,0,0.0,12520.645611340296,13010.435228218572,,,2.672619999793824,2.498899999409332,2.2449600000982173,2.0757500005856855,0.4921471609717706,1.856749999205931,3.1066999999893596,2.0755499999722815,2.1100500007378287,1.633878588501376,2.8560414116950588,5
onnxruntime-cpu,single_medium,5,5,0,0.0,10113.522542320681,10112.972976211444,,,2.4249066666622334,2.3927333337875702,1.9608799999332405,1.8915500004368369,0.420908990296301,1.4633999999205116,2.5606499993955367,1.7251999997824896,2.1636000001308275,1.438252460162025,2.4835075397044557,5
onnxruntime-cpu,single_micro,5,5,0,0.0,7421.076895255399,6552.971723827268,,,2.6308933333590785,2.1134333334581847,1.1767900001359521,1.2886500007880386,0.28240992006579374,0.7619500001965207,1.468649999878835,1.0255500001221662,1.3391499996942002,0.8261317696546526,1.5274482306172517,5
onnxruntime-cpu,single_short,5,5,0,0.0,7106.515237174477,6675.849216916844,,,1.9770733333037547,2.000366666834452,1.6207799995754613,1.6619999996692059,0.3282149957014452,1.0990999990099226,1.9604499993874924,1.565149999805726,1.8172000000049593,1.2132472557423728,2.0283127434085495,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,6381.577141323082,4768.570805722664,,,13.127306666501681,16.049733333299326,13.059550000252784,15.937799999846902,4.057922535194988,8.351350000339153,16.095650001261674,8.887850000064645,16.025099999751546,8.020973680801411,18.098126319704157,5
onnxruntime-gpu,batch_short,5,5,0,0.0,3873.1919125767176,4010.653365824719,,,11.435726666362218,11.319699999755054,11.467720000109694,10.971550000249408,0.8799750364672102,10.724549999395094,12.722150000627153,10.858000000553147,12.062349999723665,10.375086678010312,12.560353322209075,5
onnxruntime-gpu,single_long,5,5,0,0.0,3126.672071390707,3129.6293545500102,,,8.752713333403033,8.381733333711358,8.70840000006865,8.632500000203436,0.6984070867497868,7.911849999800324,9.509600000455976,8.166800000253716,9.3212499996298,7.841213064361065,9.575586935776235,5
onnxruntime-gpu,single_medium,5,5,0,0.0,2707.8701847503216,2850.9296751720613,,,7.451366666524943,6.76953333398463,7.168850000016391,6.672049999906449,0.9161208661214703,6.4146000004257075,8.379550000427116,6.455949999690347,7.922099999632337,6.031335702550109,8.306364297482673,5
onnxruntime-gpu,single_micro,5,5,0,0.0,1622.3757500046402,1633.4304073619714,,,21.96682666690322,6.017833333316958,4.990759999782313,4.898049999610521,0.5315697831903708,4.5499500001824345,5.85990000035963,4.58249999974214,5.063399999016838,4.330728937461847,5.650791062102778,5
onnxruntime-gpu,single_short,5,5,0,0.0,2155.536992082335,2080.987499833772,,,5.500306666848094,5.463433333716239,5.138040000019828,5.2874000002702815,0.3029184819422176,4.611199999999371,5.347149999579415,5.154150000635127,5.290299999614945,4.761917026601639,5.514162973438017,5
tensorrt-fp16,batch_medium,5,5,0,0.0,6261.063755971619,4720.768633008291,,,13.497459999416606,16.16009999997914,13.26855000024807,16.107199999169097,4.069623268140455,8.747250000851636,16.32789999985107,8.876150000105554,16.28425000126299,8.215445301945714,18.321654698550425,5
tensorrt-fp16,batch_short,5,5,0,0.0,3575.3764125393814,3569.6654611562553,,,12.34769999985777,11.800099999769978,12.33005999984016,12.326349999966624,0.21957796529806584,12.091550000150164,12.592349999067665,12.137050000092131,12.502999999924214,12.057417945530716,12.602702054149603,5
