backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,176.62105968374422,177.76830804640096,22.708330000386923,22.733650001100614,23.2464133334967,24.06159999979233,125.02473000022292,124.22865000007732,4.70323521722877,120.3918999981397,131.68880000011995,121.15045000246027,127.66385000031732,119.18489215590589,130.86456784453995,5
onnxruntime-cpu,batch_short,5,5,0,0.0,220.4310324049011,218.76707091393203,18.347670000002836,18.532400001276983,18.468419999893133,18.74549999896165,99.7507999996742,100.37364999880083,2.7009152350263625,95.50074999970093,102.21310000088124,98.92124999896623,101.74525000002177,96.3971707901419,103.1044292092065,5
onnxruntime-cpu,single_long,5,5,0,0.0,85.01606539620198,83.44914981369547,11.542489999192185,11.214000000109081,11.952960000053281,12.042499998642597,94.29000000054657,95.87740000097256,4.390487944896921,86.59454999906302,97.63325000130862,95.24439999950118,96.10040000188746,88.83848918482042,99.74151081627272,5
onnxruntime-cpu,single_medium,5,5,0,0.0,96.953271306213,94.28526665989284,10.317579998809379,10.603949998767348,10.72348666615047,10.9263999996377,57.20358000107808,58.14825000197743,2.513231138319488,53.83620000066003,59.67025000063586,55.317700001978665,59.04550000013842,54.0829913774621,60.32416862469406,5
onnxruntime-cpu,single_micro,5,5,0,0.0,115.32583044747726,114.9188183233057,8.740530000068247,8.808100001260755,9.512686666857919,9.403500000189524,69.49249999997846,69.61770000089018,2.9794574602134416,65.31214999995427,73.28009999946516,68.27795000026526,70.97459999931743,65.7930149374518,73.19198506250513,5
onnxruntime-cpu,single_short,5,5,0,0.0,105.10232065710106,104.93238801410102,9.337370000139344,9.289399999033776,9.937760000078319,9.954300000875568,52.06689999940863,52.10934999922756,1.337303861331133,49.992300000667456,53.268399999069516,51.75449999842385,53.20994999965478,50.40641794013489,53.72738205868238,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,584.8555908854972,585.2278877896995,6.909720000112429,7.089650000125403,8.162360000278568,7.68663333292352,37.62285000011616,37.70694999911939,0.889511061430625,36.53045000100974,38.586900000154856,36.92589999991469,38.36405000038212,36.518376139133736,38.72732386109858,5
onnxruntime-gpu,batch_short,5,5,0,0.0,677.9215038476544,674.7166419508228,5.9748299994680565,6.0296499977994245,7.012673333762601,6.961699999616637,32.648169999811216,32.563650000156485,0.8547530754909672,31.664399999499437,34.01490000032936,32.366699999329285,32.63119999974151,31.586853878620136,33.7094861210023,5
onnxruntime-gpu,single_long,5,5,0,0.0,222.387986155736,224.53579625023087,4.431539999859524,4.410999999890919,4.799633333216964,4.809599999134662,36.04073999958928,35.70209999816143,0.8519968225559554,35.02229999867268,36.9947500021226,35.625700000309735,36.85884999867994,34.982846218437544,37.09863378074101,5
onnxruntime-gpu,single_medium,5,5,0,0.0,237.6628394667914,237.83545626395562,4.278469999917434,4.235149999658461,4.872826666299565,4.839733332725397,23.280670000167447,23.213399999804096,0.8126168901143672,22.409549999792944,24.464000000079977,22.685050002110074,23.631349999050144,22.271672863380132,24.289667136954762,5
onnxruntime-gpu,single_micro,5,5,0,0.0,207.50640637016804,258.46665424860066,7.798459999685292,3.8101500012999168,14.099213333247462,3.8977333327541905,58.32155000025523,30.99955000107002,56.98320495541114,30.360099999597878,160.00760000133596,30.464350000329432,39.776149998942856,-12.432444095145243,129.0755440956557,5
onnxruntime-gpu,single_short,5,5,0,0.0,248.87857722394634,249.1740824566657,3.9233000006788643,3.8866500017320504,4.128106666030362,4.183166665219081,22.006290000717854,22.05475000118895,0.26334413169407916,21.70395000030112,22.324150000713416,21.773600001324667,22.175000000061118,21.679305073255083,22.333274928180625,5
tensorrt-fp16,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
transformers-gpu-compile,batch_medium,5,5,0,0.0,180.79790854337497,186.81678086020412,23.350560000471887,22.59090000188735,185.16632666627024,21.94413333321184,129.03284999956668,126.50559999929101,19.30460055521378,106.6308499994193,158.5027999990416,119.56365000150981,133.96134999857168,105.06302249045328,153.00267750868008,5
transformers-gpu-compile,batch_short,5,5,0,0.0,174.62664046867238,171.9762946405923,25.094820000231266,23.246050001034746,188.64531999982623,19.40486666596068,126.253910000014,126.97859999934735,18.63108551700028,103.86520000065502,149.9495999978535,112.52704999969865,137.94910000251548,103.12036186609915,149.38745813392887,5
transformers-gpu-compile,single_long,5,5,0,0.0,48.989339490722486,49.63638665757513,20.777840000300785,20.43364999917685,116.62838666622216,22.079399999104982,164.5660099995439,161.18244999961462,15.198788853380442,148.65020000070217,188.44664999960514,156.01149999929476,168.53924999850278,145.6942210640007,183.4377989350871,5
