backend,scenario,mode,n_total,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,gpu_power_mean_watts,gpu_memory_mean_mb,gpu_temperature_mean_c,cpu_power_mean_watts,cpu_utilization_mean_pct,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,generate,7,0,0.0,73.43822801525032,73.45354526619614,1.7381428571428572,5346.01953125,50.0,82.13357462518273,0.0,436.0123500007051,435.6636000011349,8.912966236755851,425.6932499993127,448.23510000060196,429.41787500058126,441.82937500136177,427.7692310717392,444.255468929671,7
onnxruntime-cpu,batch_medium,prefill,7,0,0.0,1986.9131431546616,2000.4001897150126,1.9554285714285715,5294.01953125,48.0,119.70685709063007,0.0,38.36723571423915,37.99454999898444,2.1585990611741233,34.60434999942663,41.09240000070713,37.94447499967646,39.49520000060147,36.37086455018895,40.36360687828935,7
onnxruntime-cpu,batch_short,generate,7,0,0.0,97.13918267468928,97.03299198657733,1.7561666666666669,5346.01953125,50.0,86.29142523801761,0.0,329.54947857173727,329.78524999998626,6.100530747576719,322.8368500003853,340.51439999893773,324.9992250011928,331.8557000002329,323.90742864735745,335.1915284961171,7
onnxruntime-cpu,batch_short,prefill,7,0,0.0,1503.8142148366937,1506.8910750965065,1.9235714285714285,5294.01953125,48.0,102.09972178251444,0.0,29.307721429306962,29.199200000221026,0.9456461303242507,27.584150000620866,30.39935000015248,29.071950000798097,29.91372500127909,28.43314462626317,30.182298232350753,7
onnxruntime-cpu,single_long,generate,7,0,0.0,37.55435012398182,37.45491431688316,1.7552857142857143,5346.01953125,50.0,90.49788514135899,0.0,213.14647857096654,213.6362500004907,4.539493310290643,204.19129999936558,218.29944999990403,212.12659999946482,215.8225749990379,208.94814748342606,217.34480965850702,7
onnxruntime-cpu,single_long,prefill,7,0,0.0,1125.3466012480787,1109.7844757220985,2.690714285714286,5294.01953125,48.0,94.10965973805209,0.0,24.017792856933998,24.329099998794845,0.7830218038267088,22.328700000798563,24.570800000219606,23.97387500059267,24.474099998769816,23.293618470824544,24.74196724304345,7
onnxruntime-cpu,single_medium,generate,7,0,0.0,42.55357107528038,42.107885199352616,7.180785714285713,5346.01953125,50.0,85.19366387681532,0.0,188.29926428614792,190.10350000098697,6.859483536339518,177.476150000075,194.851150001341,184.417950000352,193.4140749999642,181.95530010190672,194.64322847038912,7
onnxruntime-cpu,single_medium,prefill,7,0,0.0,899.9611558839815,885.4039075520318,17.416285714285713,5294.01953125,48.0,104.59545182660767,0.0,21.14289285652506,21.47154999875056,0.7811192975940778,19.54680000017106,21.765149998827837,20.995249999941734,21.613124999021238,20.420477995216,21.865307717834117,7
onnxruntime-cpu,single_short,generate,7,0,0.0,49.01113303473334,48.96720518050671,26.188071428571426,5346.01953125,51.357142857142854,91.75971978845368,0.0,163.41007142831845,163.6190000008355,4.94967651188316,156.91154999876744,169.71639999974286,159.6497000000454,167.16207499939628,158.83238415075363,167.98775870588327,7
onnxruntime-cpu,single_short,prefill,7,0,0.0,604.2678526293159,601.1969251091639,18.98057142857143,5294.01953125,48.0,85.33563062564237,0.0,18.23458571379888,18.299499999557156,0.7505203406787925,17.30314999986149,19.65149999887217,17.775299999811978,18.41867499933869,17.54047016769589,18.928701259901867,7
