backend,scenario,quantization,model,n_samples,first_ms,median_rest_ms,ratio_first_over_median_rest,first_over_2x_rest_median,first_over_3x_rest_median,mean_ms,median_ms,p99_ms,max_ms,max_index,mean_excl_first_ms,path
transformers-gpu,dual_medium,fp16,models/tiny-gpt2,14,298.86810000243713,293.36979999789037,1.018741874605315,False,False,298.51283571432367,293.42554999857384,355.8186209995619,361.9777999992948,4,298.48550769216115,results\tr117_tier3\runs\dual_medium\transformers-gpu\fp16\models_tiny-gpt2\run_1765147485262.json
transformers-gpu-compile,dual_medium,fp16,models/tiny-gpt2,14,349.09049999987474,304.2710999980045,1.14730087741545,False,False,314.3330142858239,309.2947000004642,365.23148300017056,366.1363999999594,6,311.65936153858917,results\tr117_tier3\runs\dual_medium\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765147509679.json
transformers-gpu,dual_medium,fp32,models/tiny-gpt2,14,1061.902800000098,293.1054000000586,3.6229383696099964,True,True,365.0918714288959,294.249900000068,989.2124420000614,1061.902800000098,0,311.49103076957266,results\tr117_tier3\runs\dual_medium\transformers-gpu\fp32\models_tiny-gpt2\run_1765147476055.json
transformers-gpu-compile,dual_medium,fp32,models/tiny-gpt2,14,280.4833000009239,284.8849000001792,0.984549549662855,False,False,286.70206428536665,284.7466000002896,309.7246379990247,312.28009999904316,5,287.1804307687853,results\tr117_tier3\runs\dual_medium\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765147501722.json
transformers-gpu,dual_medium,int8,models/tiny-gpt2,14,298.2155999998213,285.9296999995422,1.0429682540858776,False,False,302.9073428569973,287.00389999903564,438.6206640002273,455.9597000006761,12,303.2682461537031,results\tr117_tier3\runs\dual_medium\transformers-gpu\int8\models_tiny-gpt2\run_1765147493490.json
transformers-gpu-compile,dual_medium,int8,models/tiny-gpt2,14,522.3346000020683,286.8530000014289,1.8209138478574967,False,False,304.38843571469727,286.8894500006718,493.509843002066,522.3346000020683,0,287.6233461541303,results\tr117_tier3\runs\dual_medium\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765147518218.json
transformers-gpu,dual_short,fp16,models/tiny-gpt2,14,289.9146000017936,301.0257999994792,0.9630888781037876,False,False,349.89797142874784,296.66010000073584,622.4945930024114,626.1637000025075,6,354.5120769231289,results\tr117_tier3\runs\dual_short\transformers-gpu\fp16\models_tiny-gpt2\run_1765146221053.json
transformers-gpu-compile,dual_short,fp16,models/tiny-gpt2,14,284.98989999934565,288.4303999999247,0.9880716457052379,False,False,293.749249999954,288.04124999987835,329.40749799829064,331.324399998266,7,294.42304615384694,results\tr117_tier3\runs\dual_short\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765146246092.json
transformers-gpu,dual_short,fp32,models/tiny-gpt2,14,1042.7564999990864,284.8243000007642,3.661051743114224,True,True,356.0809357149992,285.0636500006658,967.5823879992818,1042.7564999990864,0,303.25973846237713,results\tr117_tier3\runs\dual_short\transformers-gpu\fp32\models_tiny-gpt2\run_1765146212038.json
transformers-gpu-compile,dual_short,fp32,models/tiny-gpt2,14,286.8522999997367,292.1408000001975,0.9818974275402231,False,False,295.30355000055613,291.33605000060925,347.2285990008458,352.7962000007392,13,295.9536461544653,results\tr117_tier3\runs\dual_short\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765146237972.json
