backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp16,dual_medium,14,298.51283571432367,293.42554999857384,19.917808021248746,284.09000000101514,361.9777999992948,310.8875400015677,331.18190500063065,355.8186209995619
transformers-gpu-compile,fp16,dual_medium,14,314.3330142858239,309.2947000004642,29.856998607230153,281.8693000008352,366.1363999999594,356.150000001071,361.6118150010152,365.23148300017056
transformers-gpu-compile,fp16,dual_short,14,293.749249999954,288.04124999987835,15.199397272405546,281.3851999999315,331.324399998266,315.39786999892385,321.7398899983891,329.40749799829064
transformers-gpu,fp16,dual_short,14,349.89797142874784,296.66010000073584,114.21347739207128,282.65509999982896,626.1637000025075,527.0659400011939,607.818165002027,622.4945930024114
transformers-gpu,fp16,single_long,14,355.04331428611687,330.8270999996239,58.07416247574254,314.25640000088606,527.2866000013892,411.7545200007953,463.93669000099175,514.6166180013096
transformers-gpu-compile,fp16,single_long,14,360.3421000001877,348.1465999993816,43.127667331281934,313.8083000012557,445.974500000375,415.9857100004956,427.9628700003741,442.3721740003748
transformers-gpu,fp16,single_medium,14,316.8688214284754,315.9933499991894,3.161731721669211,311.4817999994557,323.41080000151123,320.4618699999628,321.7781300007118,323.08426600135135
transformers-gpu-compile,fp16,single_medium,14,360.77030714243716,337.890349999725,61.547632898474866,319.39389999934065,551.1764000002586,407.0898599997236,465.33980499971216,534.0090810001492
transformers-gpu-compile,fp16,single_micro,14,573.5300714283896,570.1396499998737,22.409073081618654,544.4268999999622,622.3761999990529,601.6164799997568,610.7304749996729,620.0470549991769
transformers-gpu,fp16,single_micro,14,581.6595357144771,590.9848000001148,26.291592713683418,525.6224000004295,612.4012000000221,607.9301300003863,610.016805000123,611.9243210000423
transformers-gpu-compile,fp16,single_short,14,322.9195928570334,324.3148499996096,8.673523588866397,307.912899999792,335.33949999946344,333.58048999998573,334.6907999997711,335.209759999525
transformers-gpu,fp16,single_short,14,323.5333714287013,324.88945000022795,8.867703744557055,300.763499999448,338.8976999995066,331.46556000046985,334.1190300001472,337.9419659996347
transformers-gpu,fp16,stress_single,7,561.795585713948,562.4424000016006,6.985698409786221,553.5760999991908,574.195500001224,569.1987000012887,571.6971000012563,573.6958200012305
transformers-gpu-compile,fp16,stress_single,7,579.1494999996628,576.3267000002088,16.15049119656263,564.6282999987307,612.650200000644,595.4877400006808,604.0689700006624,610.9339540006476
transformers-gpu-compile,fp32,dual_medium,14,286.70206428536665,284.7466000002896,8.592824070533535,277.40629999971134,312.2800999990432,292.0058699994115,299.5027899989509,309.72463799902476
transformers-gpu,fp32,dual_medium,14,365.0918714288959,294.249900000068,208.21811723363692,282.4276000028476,1061.902800000098,448.2501499998763,698.4510099999168,989.2124420000614
transformers-gpu-compile,fp32,dual_short,14,295.30355000055613,291.33605000060925,18.000088608841548,280.61040000102366,352.7962000007392,305.6859100004658,324.95819500127254,347.2285990008458
transformers-gpu,fp32,dual_short,14,356.0809357149992,285.0636500006658,203.3725497985703,281.79870000167284,1042.7564999990864,422.1830000013144,666.8859400000654,967.5823879992818
transformers-gpu-compile,fp32,single_long,14,394.1186928568641,365.5347499989148,77.49261712256569,319.8243000006187,598.961199999394,483.95906999976444,541.1407099994904,587.3971019994132
transformers-gpu,fp32,single_long,14,445.9752428570677,385.3125999994518,130.57927000043972,319.87799999842537,701.0381000000052,650.0218800008953,681.7520800008424,697.1808960001727
transformers-gpu-compile,fp32,single_medium,14,329.64909285731534,324.21229999999923,21.58868708415441,304.5265000000654,377.6261000002705,362.31466000026563,370.181130000401,376.1371060002966
transformers-gpu,fp32,single_medium,14,335.10984285697174,320.00759999937145,34.12081303744285,315.1047000010294,441.36489999982587,360.0839799997629,389.6362749995205,431.01917499976474
transformers-gpu-compile,fp32,single_micro,14,579.7003642859896,584.0893499998856,20.720376551808236,536.7172999995091,610.180700001365,603.782160000992,608.6073100014801,609.866022001388
transformers-gpu,fp32,single_micro,14,796.1202285714535,599.4324499997674,728.1853276854918,587.0594000007259,3325.808899999174,618.9887000002273,1566.6579349999656,2973.9787069993304
transformers-gpu-compile,fp32,single_short,14,333.44447142865516,321.67014999959065,54.039806323863544,307.35079999976733,518.573399998786,333.96340000108466,399.9873350003326,494.85618699909526
transformers-gpu,fp32,single_short,14,341.58062857139674,328.9501499994003,31.582116017237034,311.4242999999988,413.0604999991192,392.02367000070814,407.03019000002314,411.8544379993
transformers-gpu-compile,fp32,stress_single,7,572.7170142859644,573.7695999996504,12.203710114793896,554.1541000020516,589.5367000011902,587.0419600018067,588.2893300014985,589.2872260012518
transformers-gpu,fp32,stress_single,7,573.365328572046,565.1292000002286,21.224311535557938,548.7995000003139,612.7575999998953,597.4924000009196,605.1250000004075,611.2310799999977
transformers-gpu,int8,dual_medium,14,302.9073428569973,287.00389999903564,45.582792105789146,281.4608000007865,455.9597000006761,317.95982999756234,369.2645199984326,438.6206640002273
transformers-gpu-compile,int8,dual_medium,14,304.38843571469727,286.8894500006718,62.8814872850313,282.10399999807123,522.3346000020683,297.7916100015136,378.21081500205753,493.509843002066
transformers-gpu,int8,dual_short,14,285.0263785710143,283.1559500009462,7.355813657813628,276.7790999969293,303.99860000034096,294.4059199991898,299.22499999938736,303.04388000015024
transformers-gpu-compile,int8,dual_short,14,294.69910714267047,287.45044999959646,28.8898094222586,279.7484999973676,393.28800000294,298.461920000409,334.03348000138067,381.4370960026281
transformers-gpu,int8,single_long,14,343.73466428548585,329.88860000023124,30.908874085799493,315.27549999918847,409.6814999993512,387.38954000000376,395.39905000001454,406.8250099994839
transformers-gpu-compile,int8,single_long,14,471.7777928573404,401.7749000004187,134.99978101043183,327.4774000001344,681.7635000006703,663.4428099998331,672.5581999998212,679.9224400005005
transformers-gpu,int8,single_medium,14,302.22174285713015,308.66119999973307,12.24865113851927,283.8656000003539,322.0578000000387,313.2077599997501,316.9922199997927,321.0446839999895
transformers-gpu-compile,int8,single_medium,14,323.37847857148256,316.92239999938465,27.490240227229336,290.4894000002969,412.53599999981816,330.9867700012546,359.80943000076877,401.9906860000082
transformers-gpu-compile,int8,single_micro,14,569.3356857145773,579.3053000006694,34.58405246369117,502.4706000003789,619.5525000002817,604.9572499992792,610.9597599994231,617.83395200011
transformers-gpu,int8,single_micro,14,610.1557999997697,592.0958999995491,88.0432893283984,525.2942999995867,888.1989999990765,666.3369199990485,756.3425999991522,861.8277199990915
transformers-gpu,int8,single_short,14,317.8769857145848,319.02215000081924,7.882146162327935,305.9409000015876,329.99479999853065,326.37629000000743,328.0555249993995,329.6069449987044
transformers-gpu-compile,int8,single_short,14,326.4784857145579,329.46760000049835,7.475735116467365,311.8708999991213,335.2016000008007,333.210150000923,333.9521050008443,334.9517010008094
transformers-gpu-compile,int8,stress_single,7,558.6246571417307,558.5302999970736,5.1225183202638185,550.558999999339,565.2601000001596,563.7908199991216,564.5254599996406,565.1131720000558
transformers-gpu,int8,stress_single,7,568.1858571437521,567.3004000018409,3.0620281004936745,564.8220999974001,573.388700002397,571.4360600009968,572.4123800016969,573.1934360022569
