backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,112.92975833332548,95.69439999995666,39.83292684616404,89.12000000009357,245.47389999997904,183.33264000016248,217.93285500020826,232.94808199998434
transformers-gpu-compile,fp32,single_long,60,174.38574666668956,202.7454999999918,62.51601589641351,96.62969999999405,261.46090000020195,242.60277999978828,249.45617000023503,259.9958710001647
transformers-gpu,fp32,single_medium,60,103.87324000006022,98.84099999999307,15.427523906106861,92.62549999994008,169.02610000033746,124.03962000012143,128.0847949999952,168.7860289999844
transformers-gpu-compile,fp32,single_medium,60,116.18453166670406,112.34555000010005,11.227631770254405,106.072299999596,177.59739999974045,129.52387000018462,133.01562999993166,157.60395200015398
transformers-gpu,fp32,single_micro,60,104.6095450000242,98.06735000006483,18.935870538013035,91.1642000005486,194.5648000000801,130.98386999995455,144.08077499983847,173.38928700009077
transformers-gpu-compile,fp32,single_micro,60,118.90601833331402,107.08539999995992,28.407862547156455,103.51290000016888,209.0733,174.3137899995418,198.18165000003776,205.11593400007766
transformers-gpu,fp32,single_short,60,107.91129499997776,103.1486499998664,18.412360002423625,93.5642999997981,205.42599999998856,126.251659999798,133.1969499999786,182.88245399963657
transformers-gpu-compile,fp32,single_short,60,135.87849500001994,105.29569999994237,57.581845697852,99.05960000014602,289.77460000032806,248.30420000007507,255.82345000009354,272.767319000386
transformers-gpu-compile,fp32,stress_single,30,123.70077000002009,113.73500000013338,25.531564839045366,99.98750000022484,198.76150000027337,159.99558999978944,179.6733050000966,196.39904400027717
transformers-gpu,fp32,stress_single,30,128.37929666669274,99.22675000007075,49.94177146853429,91.88099999983024,222.4108000000342,217.21233000025677,219.1089149998561,221.517106999986
