backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,120.8280516666188,98.08960000009392,44.381750925493996,89.50420000019221,242.990600000212,209.8612500001309,223.64279999994775,240.9554540001318
transformers-gpu-compile,fp32,single_long,60,147.56655166670498,120.45614999988175,55.37191421653151,96.83380000024044,286.90770000002885,235.58874000004838,247.39021499979114,268.9886330001217
transformers-gpu,fp32,single_medium,60,103.21604999998424,96.835849999934,18.57666144167704,92.03549999983808,190.3945999997632,118.09297999993758,128.27385000007322,188.61787399970126
transformers-gpu-compile,fp32,single_medium,60,115.65864999997757,106.43905000006271,26.82311376225366,98.30239999973855,240.6712000001789,145.57220000006058,178.43165499962194,212.4114389999384
transformers-gpu,fp32,single_micro,60,102.25465666670364,93.13655000005382,28.20935522717935,88.21880000004967,229.33469999998124,127.61843999983284,183.02518999998938,204.99419100001415
transformers-gpu-compile,fp32,single_micro,60,119.0191716666277,105.05414999988716,32.74175990813122,96.16370000003371,228.65289999981545,160.249299999623,199.0566299998363,226.47060799998596
transformers-gpu,fp32,single_short,60,104.5577200000101,94.3152499999087,21.89658450057716,90.07269999983691,182.2463999997126,133.5349799996493,153.4916299998258,181.3262359998089
transformers-gpu-compile,fp32,single_short,60,112.17095166670485,107.12889999990693,16.20337186735745,101.34940000034476,186.5339999999378,129.1823499997463,134.44061500008496,180.56603200008792
transformers-gpu,fp32,stress_single,30,101.60740999999689,95.47059999999874,17.921968158403054,90.90650000007372,165.23989999996047,120.61221000026308,141.4711850000457,163.17556400000285
transformers-gpu-compile,fp32,stress_single,30,109.12948999992598,103.57809999982238,15.114298708029176,98.2573000001139,167.80229999994845,131.82841000002554,137.98045999972143,160.37534199986115
