backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,2.9239766666781484,2.1223999997346255,1.2293779103694453,1.68759999996837,5.341600000065228,4.734029999872291,4.969725000069047,5.323191999950724
transformers-gpu-compile,fp32,single_long,60,3.6754033333181724,3.697550000197225,0.16287533543170607,3.345300000091811,4.094200000054116,3.8699199999882694,3.9090099997338257,4.034845999922254
transformers-gpu,fp32,single_medium,60,2.4208366666471193,2.054899999848203,0.9254639287098483,1.7172999996546423,5.264899999929185,3.7106099997345163,4.93463500006328,5.173095999812175
transformers-gpu-compile,fp32,single_medium,60,3.982558333268571,3.9754500000981348,0.27876369511735505,3.3754000000953965,4.791199999999662,4.3131999999786785,4.409354999643256,4.6268259999987995
transformers-gpu,fp32,single_micro,60,1.7156800000217725,1.6943000000537722,0.1597626776328296,1.4415000000553846,2.3137000002861896,1.8869299998186764,1.9675350003126366,2.2899230003395132
transformers-gpu-compile,fp32,single_micro,60,4.365015000000009,3.9987999998629675,1.195545454836945,3.436500000134401,8.421800000178337,5.955180000228211,7.980720000136897,8.274594999979854
transformers-gpu,fp32,single_short,60,2.168340000025637,1.957500000116852,0.6279178061552567,1.596699999936391,4.5278000002326735,2.8964300000097873,3.6863200001334904,4.2535090001001645
transformers-gpu-compile,fp32,single_short,60,3.753300000054575,3.7357999999585445,0.1810919674666209,3.2969000003504334,4.186200000276585,3.975190000346629,4.062889999750041,4.153396000010616
transformers-gpu-compile,fp32,stress_single,30,3.5762599999391873,3.5500999999840133,0.20424545336726035,3.151899999920716,3.974199999902339,3.8341599998148017,3.880884999853151,3.957669999845166
transformers-gpu,fp32,stress_single,30,3.98189666672503,4.1945000002669985,1.0733886147958567,1.8909000000348897,5.220900000040274,5.066250000254513,5.140875000211054,5.210808000078941
