backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,97.52720813333629,96.65765599993392,4.597364657534749,92.44896100017286,117.1475209998789,100.93987180002841,102.36414075006903,114.95406737976735
transformers-gpu-compile,fp32,single_long,60,109.24261941666676,106.91865050011984,7.325030532089604,99.96212499981992,139.57251200008614,118.37025860022548,122.23714224967352,136.85731783998105
transformers-gpu,fp32,single_medium,60,100.04446571671603,98.98679850016379,6.160347430279834,90.01066200016794,127.76256500001182,105.49373750027371,111.06899505020921,121.89066846995499
transformers-gpu-compile,fp32,single_medium,60,108.426769983339,107.43289099991671,7.294854298969793,101.62115899993296,158.26416199979576,111.72154540008705,113.67337879974,134.52696339977578
transformers-gpu,fp32,single_micro,60,97.94498580000284,95.9378029999698,7.672706876899992,89.09968700027093,142.61823800006823,101.10825559977457,107.5538119503335,130.5382623499644
transformers-gpu-compile,fp32,single_micro,60,103.07108303328884,101.9916259999718,6.691024276796029,92.33715199979996,137.70747299986397,107.27473570009352,111.6324642999416,132.60535713985516
transformers-gpu,fp32,single_short,60,97.18896404998152,94.8229530001754,8.40087457865115,90.64776399964104,149.50719299986304,101.73652439993931,110.70516569982374,129.56743912989612
transformers-gpu-compile,fp32,single_short,60,111.79043046669601,107.18397400000867,15.354610710593438,99.95174699997732,198.8373480003247,123.03307199995288,126.84554150002893,178.1270264003159
transformers-gpu,fp32,stress_single,30,94.07852106661873,93.40366950004864,3.8425646279413623,87.17977200012683,102.70474099979764,100.03189240014763,100.8106081499818,102.26232105984307
transformers-gpu-compile,fp32,stress_single,30,105.66029353332549,105.90474449986687,3.1238031274466493,98.54725700006384,114.10401000011916,109.10187879994739,109.90122974990298,112.95244059000652
