scenario,prompt_set,backend,model,quantization,latency_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,98.22528900031102,98.22528900031102,64,651.5633667394692,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.35892299972693,99.35892299972693,64,644.1293652123815,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.98559300002307,95.98559300002307,64,666.7667302944581,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.53541500008578,95.53541500008578,64,669.9086406851588,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.04629499988005,99.04629499988005,64,646.1624839180255,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,96.84572000014668,96.84572000014668,64,660.8448984622455,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.58056099992973,94.58056099992973,64,676.6718163159081,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,100.64592699973218,100.64592699973218,64,635.8925980200898,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.39665199963565,95.39665199963565,64,670.8830829853907,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,97.84348599987425,97.84348599987425,64,654.1058849853556,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.45382400019298,99.45382400019298,64,643.5147229720982,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,97.33912899991992,97.33912899991992,64,657.4950963456089,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,96.71431299966571,96.71431299966571,64,661.7427970586031,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.23151500004678,94.23151500004678,64,679.1782982579472,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,122.14370299989241,122.14370299989241,64,523.972979598108,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,112.15443299988692,112.15443299988692,64,570.6417329047041,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,96.87443899974824,96.87443899974824,64,660.6489870890125,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,98.84374399962326,98.84374399962326,64,647.4866026952999,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,96.06693299974722,96.06693299974722,64,666.2021780186154,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,98.69472199989104,98.69472199989104,64,648.4642613418644,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.65623300022708,95.65623300022708,64,669.0625168131811,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.38571200007573,94.38571200007573,64,678.0687314193133,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.89001299991651,95.89001299991651,64,667.4313413645666,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.75398900005894,95.75398900005894,64,668.3794656320856,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,100.25756599998203,100.25756599998203,64,638.3558124681729,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,105.35521200017683,105.35521200017683,64,607.4687600637411,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,142.61823800006823,142.61823800006823,64,448.75046065265076,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.34481900032188,93.34481900032188,64,685.6299116052634,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,91.35864699965168,91.35864699965168,64,700.5357686639559,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,92.91578600004868,92.91578600004868,64,688.7957660926041,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,96.7651470000419,96.7651470000419,64,661.3951612141124,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
