scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,93.98191299987957,89.76383972167969,93.98191299987957,64,680.9820949280104,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,91.64880800017272,87.53254699707031,91.64880800017272,64,698.317865736774,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,95.39003000008961,91.10527801513672,95.39003000008961,64,670.9296558554377,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,91.75706499991065,87.63699340820312,91.75706499991065,64,697.4939749877824,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,95.69272099997761,91.40019226074219,95.69272099997761,64,668.8074007218895,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,92.25097699982143,88.10700988769531,92.25097699982143,64,693.7595902114282,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,96.36129299997265,92.03609466552734,96.36129299997265,64,664.1670945616946,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,94.22374600035255,89.98604583740234,94.22374600035255,64,679.2342983239123,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,91.31255699958274,87.21065521240234,91.31255699958274,64,700.8893639928674,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,94.72803999960888,90.46835327148438,94.72803999960888,64,675.618328007887,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,93.6179650007034,89.41260528564453,93.6179650007034,64,683.6294721800365,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.27124900059425,94.81199645996094,99.27124900059425,64,644.698244902881,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.84585100028198,95.3354263305664,99.84585100028198,64,640.988076708558,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,106.27522800041334,101.49785614013672,106.27522800041334,64,602.2099524430198,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,139.29729999927076,133.05445861816406,139.29729999927076,64,459.4489627604774,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,120.83877399982157,115.32185363769531,120.83877399982157,64,529.6313251249512,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,106.48184599995147,101.70060729980469,106.48184599995147,64,601.0414207134347,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,106.1440550001862,101.38214111328125,106.1440550001862,64,602.9541645067897,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,96.1934659999315,91.8650894165039,96.1934659999315,64,665.3258548771449,ok,
