scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7288359995291103,1.6239680051803589,1.7288359995291103,1,578.4238645379746,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.1009000001868117,1.9681919813156128,2.1009000001868117,1,475.98648194158704,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.795841999410186,1.6874560117721558,1.795841999410186,1,556.8418604356247,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.702976000160561,1.591968059539795,1.702976000160561,1,587.207335808442,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8329869999433868,1.6060479879379272,1.8329869999433868,1,545.55760626283,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.9709090001924778,1.8542399406433105,1.9709090001924778,1,507.38009715432855,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7488180001237197,1.6441919803619385,1.7488180001237197,1,571.8147914358472,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7506949998278287,1.6444159746170044,1.7506949998278287,1,571.2017228005703,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8674610000743996,1.7566399574279785,1.8674610000743996,1,535.4864170979528,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8391080002402305,1.729856014251709,1.8391080002402305,1,543.7418573946591,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.885353000034229,1.7472000122070312,1.885353000034229,1,530.4046510026742,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8214769997939584,1.7140159606933594,1.8214769997939584,1,549.0050108308355,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.771042000655143,1.664896011352539,1.771042000655143,1,564.6393477004387,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.921924999805924,1.7947520017623901,1.921924999805924,1,520.3116667408874,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7444220002289512,1.6383039951324463,1.7444220002289512,1,573.2557832157313,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7496529999334598,1.638815999031067,1.7496529999334598,1,571.5419000441976,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7812810001487378,1.674015998840332,1.7812810001487378,1,561.3937385041997,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7081129999496625,1.599392056465149,1.7081129999496625,1,585.4413613323414,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8260979995829985,1.718176007270813,1.8260979995829985,1,547.6157359727443,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7351830001643975,1.624608039855957,1.7351830001643975,1,576.3080896396843,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7580969997652574,1.618175983428955,1.7580969997652574,1,568.796829829936,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7939860008482356,1.6798720359802246,1.7939860008482356,1,557.4179506011632,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8637789999047527,1.7533119916915894,1.8637789999047527,1,536.5443006124141,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8025139997916995,1.6943999528884888,1.8025139997916995,1,554.7807118921468,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.724296999782382,1.61353600025177,1.724296999782382,1,579.9464942096441,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7524329996376764,1.6464320421218872,1.7524329996376764,1,570.635225544574,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.801507999516616,1.6935360431671143,1.801507999516616,1,555.0905132080023,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7308659998889198,1.625599980354309,1.7308659998889198,1,577.745475423387,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7356730004394194,1.6278719902038574,1.7356730004394194,1,576.1453912959587,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7391490000591148,1.6335359811782837,1.7391490000591148,1,574.9938619209794,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.8193129999417579,1.7108479738235474,1.8193129999417579,1,549.6580302740723,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7745679997460684,1.6677440404891968,1.7745679997460684,1,563.5174308018036,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.6953149997789296,1.5848000049591064,1.6953149997789296,1,589.8608813880611,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,1.7636669999774313,1.6559040546417236,1.7636669999774313,1,567.0004598446285,ok,
