latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
427.7759890028392,129,301.5597025459599,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
439.4701749988599,129,293.53527802048154,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
433.89425199711695,129,297.3074646788756,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
449.62865600246005,129,286.9034219191185,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
440.22190399846295,129,293.0340331280981,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
449.9622580005962,129,286.6907117348253,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
435.7315980014391,129,296.0538106294828,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
426.3782939997327,129,302.5482343153258,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
431.15220999970916,129,299.198280811519,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
429.1147610019834,129,300.6188826941885,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
433.3425519980665,129,297.6859747680066,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
435.0571750001109,129,296.512751456098,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
426.66314899906865,129,302.34624270370625,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
437.87243100086926,129,294.6063530538736,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
427.7245560006122,129,301.59596448284196,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
430.9467359998962,129,299.3409375771002,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
431.0865239967825,129,299.2438705900322,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
430.97476399998413,129,299.3214702473966,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
428.06248999841046,129,301.35786950283597,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
426.442259002215,129,302.5028530282923,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
434.414988001663,129,296.9510803331357,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
429.4225759986148,129,300.4033956529014,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
429.473913001857,129,300.3674870455804,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
432.530002999556,129,298.2452063565459,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
425.711625997792,129,303.02202740563416,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
434.1083229992364,129,297.16085402082217,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
425.42012899866677,129,303.2296574767958,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
427.79025200070464,129,301.5496482135538,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
445.6129129976034,129,289.4889179315452,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
446.0748599994986,129,289.1891284797915,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,,
432.0028679976531,137,317.1275242569553,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
