latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
407.33117499985383,128,314.2406176007666,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
409.29918799884035,128,312.7296700143042,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
406.70817700083717,128,314.7219732435734,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
413.6997079986031,128,309.4031673825407,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
420.44012500264216,128,304.44287399827886,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
428.7820419995114,128,298.51996460277564,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
477.03260599882924,128,268.3254737524465,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
437.4135869984457,128,292.6292273597227,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
423.3371390000684,128,302.3594865839997,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
427.0540829966194,128,299.72784501164284,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
401.2942590015882,128,318.96793220631,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
407.66627700213576,128,313.9823115644403,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
405.5586209979083,128,315.61405274790144,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
400.3311060005217,128,319.7353342806022,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
401.3281150000694,128,318.94102410437375,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
406.24957800173433,128,315.077250368131,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
402.5752609995834,128,317.95297028977757,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
405.9223279982689,128,315.33126209442185,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
409.0044110016606,128,312.95506003596694,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
423.52458399909665,128,302.2256672596673,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
411.1868800027878,128,311.2939790275706,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
414.5103980008571,128,308.79804370971493,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
411.7103179996775,128,310.89820780274994,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
410.37246699852403,128,311.91176380860946,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
400.45542900043074,128,319.6360711590261,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
407.81832500215387,128,313.86524869701225,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
407.58474600079353,128,314.0451188518002,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
409.0538860000379,128,312.91720817434833,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
410.385971001233,128,311.9015001602368,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
404.5192329976999,128,316.42500419931287,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,"Error: accessing tensor output of CUDAGraphs that has been overwritten by a subsequent run. Stack trace: File ""/usr/local/lib/python3.12/dist-packages/transformers/models/gpt2/modeling_gpt2.py"", line 759, in forward
    transformer_outputs = self.transformer(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/gpt2/modeling_gpt2.py"", line 658, in forward
    outputs = block(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/modeling_layers.py"", line 93, in __call__
    return super().__call__(*args, **kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/gpt2/modeling_gpt2.py"", line 288, in forward
    attn_output, self_attn_weights = self.attn(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/gpt2/modeling_gpt2.py"", line 207, in forward
    key_states, value_states = curr_past_key_values.update(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/cache_utils.py"", line 792, in update
    keys, values = self.layers[layer_idx].update(key_states, value_states, cache_kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/cache_utils.py"", line 120, in update
    self.keys = torch.cat([self.keys, key_states], dim=-2). To prevent overwriting, clone the tensor outside of torch.compile() or call torch.compiler.cudagraph_mark_step_begin() before each model invocation.",,,
399.6157770015998,128,320.3076739372269,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
408.59705500042764,128,313.26706454080056,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
404.2651529998693,128,316.62387680503684,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
404.8403250017145,128,316.17403725643663,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
419.85107300206437,128,304.87000803585096,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
418.59328300051857,128,305.786082094971,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
414.29834999871673,128,308.95609408146686,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
417.00958000001265,128,306.947384757914,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
418.3266520012694,128,305.98098253517827,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
409.6694709987787,128,312.44700682219394,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
407.8985129999637,128,313.8035465209244,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
410.6323430023622,128,311.71436488446227,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
434.9003339993942,128,294.3203074205464,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.16167300142115,128,308.31362412291327,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.53636499884306,128,308.03561560817036,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
425.53150199819356,128,300.8002918678001,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.9173659973021,128,307.7534396600076,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
416.4755499987223,128,307.34097115759306,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.7212409991189,128,307.8986286396448,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.89114100133884,128,307.7728457783811,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.2195529968594,128,308.2706463993716,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
416.84538399931625,128,307.06829177748546,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
419.19246000179555,128,305.34900365204976,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
421.27442799755954,128,303.8399472961637,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
415.5280480008514,128,308.04178109232646,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
419.74311000012676,128,304.94842428732505,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
498.29191399840056,128,256.8775378530643,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
470.1560760004213,128,272.2500176726107,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
426.69025700161,128,299.98341396278244,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
413.3597690015449,128,309.65761450171897,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,,
430.1757869980065,128,297.5527769548619,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
423.5425579972798,128,302.2128416215073,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
445.92415599981905,128,287.04432867739047,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
425.6421979989682,128,300.72206327698336,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
420.1115409996419,128,304.6809894711012,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
422.8972220007563,128,302.67401472732087,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
417.2144920012215,128,306.79662968089144,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
429.20060400138027,128,298.228844057238,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
428.6464569995587,128,298.6143893407517,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
458.4289300000819,128,279.21449023729184,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
435.33543500234373,128,294.0261456072623,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
422.30476699842256,128,303.09863871481735,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
431.1927149974508,128,296.8510263462051,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
421.97540200140793,128,303.3352166806465,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
424.2189819997293,128,301.7309583758364,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
428.20848500196007,128,298.9198123886174,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
424.8686639984953,128,301.2695706842087,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
426.06659200100694,128,300.4225217444354,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
423.9666159992339,128,301.91056363794286,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
425.27202400015085,128,300.98382394407065,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
422.4584469993715,128,302.9883788788118,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
424.37887400228647,128,301.6172760741864,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
433.59565300124814,128,295.2059115768662,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
484.80815700168023,128,264.0219603391623,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
450.3466460009804,128,284.22549859452346,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
433.73991399857914,128,295.1077267019039,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
429.60381399825565,128,297.94893767055737,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
431.6537859995151,128,296.5339449151589,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
430.8498829996097,128,297.08723397777027,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
431.53616700146813,128,296.6147678638591,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,,
420.1530390018888,128,304.65089650208284,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
419.42988699884154,128,305.17615450792505,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
425.24781600150163,128,301.0009579909236,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
442.04249800168327,128,289.56491870949606,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
425.03011600274476,128,301.1551303794515,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
432.24861999988207,128,296.1258731144935,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
432.31222100075684,128,296.08230760558564,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
419.999433997873,128,304.7623154669495,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
434.3073599993659,128,294.72215253314357,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
418.9428469981067,128,305.5309355850596,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
423.1110790024104,128,302.5210313608233,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
422.6267949998146,128,302.8676873174976,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.38345700106584,128,300.1992640621609,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
428.43389499830664,128,298.762543053476,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.80678500255453,128,299.90151163888805,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
433.975506999559,128,294.9475210824054,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
428.14675100089516,128,298.96291330196823,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.10282600071514,128,300.39697507142364,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
