kind,config,runs,avg_tokens_per_sec,std_tokens_per_sec,avg_ttft_ms,std_ttft_ms,source
rust_baseline,baseline_default,6,114.539206,2.708068,603.527,55.833,Demo_rust_agent\runs\tr109_rust_full\baseline_default\data\metrics.json
rust_chimera,baseline_default,6,114.682168,2.287328,547.255,113.438,Demo_rust_agent\runs\tr109_rust_full\baseline_default\data\metrics.json
rust_baseline,gpu120_ctx1024_temp0p6,6,114.048624,1.837968,1328.658,1627.232,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx1024_temp0p6\data\metrics.json
rust_chimera,gpu120_ctx1024_temp0p6,6,115.929091,1.054763,1236.463,1641.088,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx1024_temp0p6\data\metrics.json
rust_baseline,gpu120_ctx1024_temp0p8,6,114.220755,1.848826,1325.202,1597.231,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx1024_temp0p8\data\metrics.json
rust_chimera,gpu120_ctx1024_temp0p8,6,116.585122,1.172343,1248.439,1618.046,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx1024_temp0p8\data\metrics.json
rust_baseline,gpu120_ctx256_temp0p6,6,114.132691,1.986018,1297.473,1597.278,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx256_temp0p6\data\metrics.json
rust_chimera,gpu120_ctx256_temp0p6,6,115.913981,1.125046,1270.392,1731.117,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx256_temp0p6\data\metrics.json
rust_baseline,gpu120_ctx256_temp0p8,6,114.629099,2.290083,1312.717,1592.552,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx256_temp0p8\data\metrics.json
rust_chimera,gpu120_ctx256_temp0p8,6,115.680042,0.907981,1258.442,1647.739,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx256_temp0p8\data\metrics.json
rust_baseline,gpu120_ctx512_temp0p6,6,113.995996,1.870742,1340.681,1615.554,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx512_temp0p6\data\metrics.json
rust_chimera,gpu120_ctx512_temp0p6,6,116.026697,0.993226,1241.298,1632.390,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx512_temp0p6\data\metrics.json
rust_baseline,gpu120_ctx512_temp0p8,6,114.506443,2.170475,1354.141,1704.861,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx512_temp0p8\data\metrics.json
rust_chimera,gpu120_ctx512_temp0p8,6,116.191945,1.069842,1294.618,1702.312,Demo_rust_agent\runs\tr109_rust_full\gpu120_ctx512_temp0p8\data\metrics.json
rust_baseline,gpu60_ctx1024_temp0p6,6,114.023378,1.920176,1327.372,1580.420,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx1024_temp0p6\data\metrics.json
rust_chimera,gpu60_ctx1024_temp0p6,6,115.976875,1.059719,1292.151,1680.686,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx1024_temp0p6\data\metrics.json
rust_baseline,gpu60_ctx1024_temp0p8,6,114.310045,1.902296,1319.815,1621.734,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx1024_temp0p8\data\metrics.json
rust_chimera,gpu60_ctx1024_temp0p8,6,116.081947,1.038404,1258.599,1640.470,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx1024_temp0p8\data\metrics.json
rust_baseline,gpu60_ctx256_temp0p6,6,114.505956,2.181174,1346.818,1611.929,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx256_temp0p6\data\metrics.json
rust_chimera,gpu60_ctx256_temp0p6,6,115.936601,1.097924,1213.496,1595.195,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx256_temp0p6\data\metrics.json
rust_baseline,gpu60_ctx256_temp0p8,6,114.529139,2.282034,1251.218,1428.305,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx256_temp0p8\data\metrics.json
rust_chimera,gpu60_ctx256_temp0p8,6,116.464541,0.848139,1309.970,1687.045,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx256_temp0p8\data\metrics.json
rust_baseline,gpu60_ctx512_temp0p6,6,114.585035,2.776109,1283.469,1588.161,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx512_temp0p6\data\metrics.json
rust_chimera,gpu60_ctx512_temp0p6,6,97.536932,43.647297,1250.101,1632.308,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx512_temp0p6\data\metrics.json
rust_baseline,gpu60_ctx512_temp0p8,6,114.586563,2.343727,570.465,107.303,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx512_temp0p8\data\metrics.json
rust_chimera,gpu60_ctx512_temp0p8,6,115.872035,0.996835,1261.594,1665.311,Demo_rust_agent\runs\tr109_rust_full\gpu60_ctx512_temp0p8\data\metrics.json
rust_baseline,gpu80_ctx1024_temp0p6_v2,6,114.979639,2.319726,1310.194,1601.141,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx1024_temp0p6_v2\data\metrics.json
rust_chimera,gpu80_ctx1024_temp0p6_v2,6,96.687082,43.246192,1259.809,1640.787,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx1024_temp0p6_v2\data\metrics.json
rust_baseline,gpu80_ctx1024_temp0p8,6,114.336115,2.232262,1307.719,1610.759,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx1024_temp0p8\data\metrics.json
rust_chimera,gpu80_ctx1024_temp0p8,6,116.170976,0.887304,1251.869,1658.225,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx1024_temp0p8\data\metrics.json
rust_baseline,gpu80_ctx256_temp0p6,6,114.842047,2.474453,1323.525,1609.072,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx256_temp0p6\data\metrics.json
rust_chimera,gpu80_ctx256_temp0p6,6,115.922843,1.199902,1275.592,1702.134,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx256_temp0p6\data\metrics.json
rust_baseline,gpu80_ctx256_temp0p8,6,114.204432,2.022035,1316.958,1601.365,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx256_temp0p8\data\metrics.json
rust_chimera,gpu80_ctx256_temp0p8,6,115.724738,0.846644,1238.965,1645.388,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx256_temp0p8\data\metrics.json
rust_baseline,gpu80_ctx512_temp0p6,6,114.337645,1.835441,1319.028,1614.462,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx512_temp0p6\data\metrics.json
rust_chimera,gpu80_ctx512_temp0p6,6,112.494228,3.760628,1236.186,1621.914,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx512_temp0p6\data\metrics.json
rust_baseline,gpu80_ctx512_temp0p8_v2,6,113.992437,1.987547,1319.336,1602.069,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx512_temp0p8_v2\data\metrics.json
rust_chimera,gpu80_ctx512_temp0p8_v2,6,115.820958,1.051473,1320.186,1739.694,Demo_rust_agent\runs\tr109_rust_full\gpu80_ctx512_temp0p8_v2\data\metrics.json
