config,baseline_tok_s,chimera_tok_s,throughput_delta_pct,baseline_ttft_ms,chimera_ttft_ms,ttft_delta_pct,baseline_tokens,chimera_tokens,source
gpu120_ctx1024_temp0p6,98.723922,99.096965,0.377865,3815.424,3830.439,-0.393534,1511,1506,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx1024_temp0p6\data\metrics.json
gpu120_ctx1024_temp0p8,99.225138,99.412475,0.188800,3849.828,3513.723,8.730383,1566,1419,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx1024_temp0p8\data\metrics.json
gpu120_ctx256_temp0p6,99.044165,98.601368,-0.447071,3877.296,3545.092,8.567933,1452,1508,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx256_temp0p6\data\metrics.json
gpu120_ctx256_temp0p8,98.927758,99.072855,0.146670,3867.859,3856.476,0.294315,1463,1486,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx256_temp0p8\data\metrics.json
gpu120_ctx512_temp0p6,98.930808,98.565315,-0.369443,3866.275,3829.144,0.960392,1517,1517,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx512_temp0p6\data\metrics.json
gpu120_ctx512_temp0p8,98.438796,98.704172,0.269586,3895.151,3845.255,1.280962,1498,1541,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx512_temp0p8\data\metrics.json
gpu60_ctx1024_temp0p6,99.000427,98.802903,-0.199518,3799.876,3690.216,2.885886,1678,1565,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx1024_temp0p6\data\metrics.json
gpu60_ctx1024_temp0p8,98.638027,99.235709,0.605935,3736.361,3753.651,-0.462763,1502,1465,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx1024_temp0p8\data\metrics.json
gpu60_ctx256_temp0p6,97.877865,98.163573,0.291903,3601.910,3894.837,-8.132529,1496,1606,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx256_temp0p6\data\metrics.json
gpu60_ctx256_temp0p8,98.351956,98.259097,-0.094415,3890.153,3878.225,0.306628,1435,1552,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx256_temp0p8\data\metrics.json
gpu60_ctx512_temp0p6,98.222133,98.526076,0.309445,3946.623,3843.464,2.613862,1512,1531,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx512_temp0p6\data\metrics.json
gpu60_ctx512_temp0p8,98.192730,98.197796,0.005159,3927.064,3829.182,2.492491,1596,1594,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx512_temp0p8\data\metrics.json
gpu80_ctx1024_temp0p6,98.754185,98.829450,0.076214,3827.217,3804.011,0.606326,1459,1540,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx1024_temp0p6\data\metrics.json
gpu80_ctx1024_temp0p8,98.591353,99.016502,0.431224,3845.251,3575.626,7.011898,1525,1592,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx1024_temp0p8\data\metrics.json
gpu80_ctx256_temp0p6,99.085879,99.467036,0.384673,3714.480,3716.665,-0.058816,1536,1534,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx256_temp0p6\data\metrics.json
gpu80_ctx256_temp0p8,98.872643,99.432122,0.565858,4040.292,3673.845,9.069816,1450,1396,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx256_temp0p8\data\metrics.json
gpu80_ctx512_temp0p6,99.533180,99.274712,-0.259680,3727.726,3720.538,0.192815,1481,1481,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx512_temp0p6\data\metrics.json
gpu80_ctx512_temp0p8,99.309393,99.502269,0.194217,3759.713,3679.129,2.143342,1483,1551,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx512_temp0p8\data\metrics.json
manual_test,98.426942,98.297617,-0.131392,3963.027,3606.019,9.008456,1462,1533,Demo_rust_agent\Demo_rust_agent_sweep\manual_test\data\metrics.json
