scenario,config,average_efficiency,average_concurrency_speedup,average_throughput_delta,average_ttft_delta_ms,source
baseline-vs-chimera,test001,97.407356,1.948147,-3.554120,189.194,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test001\summary.json
baseline-vs-chimera,test002,97.660031,1.953201,-3.265666,177.260,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test002\summary.json
baseline-vs-chimera,test003,98.491620,1.969832,-2.041287,-319.138,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test003\summary.json
baseline-vs-chimera,test004,98.983513,1.979670,-0.775718,40.541,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test004\summary.json
baseline-vs-chimera,test005,91.603178,1.832064,2.356332,-298.429,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test005\summary.json
baseline-vs-chimera,test006,98.694244,1.973885,-1.392511,104.959,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test006\summary.json
baseline-vs-chimera,test202,98.759490,1.975190,-2.314206,-197.304,Demo_rust_multiagent\runs\tr110_rust_full\baseline-vs-chimera\test202\summary.json
chimera-hetero,test007,97.900586,1.958012,-0.274179,459.218,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test007\summary.json
chimera-hetero,test008,98.718551,1.974371,0.457181,-71.590,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test008\summary.json
chimera-hetero,test009,98.918828,1.978377,0.498977,-28.334,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test009\summary.json
chimera-hetero,test010,98.925045,1.978501,0.397373,-73.239,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test010\summary.json
chimera-hetero,test011,99.395797,1.987916,-0.462759,63.335,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test011\summary.json
chimera-hetero,test012,98.722105,1.974442,-0.336247,-3.767,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test012\summary.json
chimera-hetero,test201,98.962886,1.979258,0.368671,-28.284,Demo_rust_multiagent\runs\tr110_rust_full\chimera-hetero\test201\summary.json
chimera-homo,test013,98.879229,1.977585,-0.081895,18.972,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test013\summary.json
chimera-homo,test014,99.150708,1.983014,1.112199,-91.387,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test014\summary.json
chimera-homo,test015,98.747438,1.974949,-1.783817,4.103,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test015\summary.json
chimera-homo,test016,98.902463,1.978049,-1.432348,-38.043,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test016\summary.json
chimera-homo,test017,98.433046,1.968661,-1.789814,-2.029,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test017\summary.json
chimera-homo,test018,99.356171,1.987123,0.824450,-101.913,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test018\summary.json
chimera-homo,test100,94.229318,1.884586,4.844963,-28.966,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test100\summary.json
chimera-homo,test106,98.161760,1.963235,-1.826510,-55.790,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test106\summary.json
chimera-homo,test107,98.627419,1.972548,1.010758,-18.242,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test107\summary.json
chimera-homo,test108,98.884551,1.977691,0.641482,-55.590,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test108\summary.json
chimera-homo,test200,99.011579,1.980232,-1.227224,-54.922,Demo_rust_multiagent\runs\tr110_rust_full\chimera-homo\test200\summary.json
chimera_homo,test103,99.240340,1.984807,1.043663,17.514,Demo_rust_multiagent\runs\tr110_rust_full\chimera_homo\test103\summary.json
chimera_homo,test104,98.822784,1.976456,0.176005,13.691,Demo_rust_multiagent\runs\tr110_rust_full\chimera_homo\test104\summary.json
