backend,backend_kind,model,model_kind,params_millions,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,e2e_kv,3,1124.3245596506633,1087.6796999998533,64.66690081965575,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,e2e_kv,3,975.8899793012922,977.0346000000244,74.50285004472359,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,e2e_kv,3,1346.852385437554,1306.2221000000136,53.982593470636566,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,e2e_kv,3,1828.4758422152695,1736.3796000001912,39.76349214433466,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,e2e_kv,3,2213.6836802601306,2288.524500000221,32.84416171848404,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,e2e_kv,3,2408.901856737683,2508.5231999999,30.182460354153818,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,e2e_kv,3,190.1818812545228,193.64139999970573,382.3002712373448,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,kv_decode,3,1096.463852590434,1071.7098999998598,58.36945727740845,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,kv_decode,3,956.912794915247,956.5838999999414,66.88174757415429,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,kv_decode,3,1319.9601487759628,1268.393599999854,48.48631230219264,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,kv_decode,3,1793.876347172522,1702.0431000000826,35.676929516839735,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,kv_decode,3,2172.7865026699105,2249.4956000000457,29.455263976169327,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,kv_decode,3,2364.86721476028,2463.0408999998963,27.06283025133294,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,kv_decode,3,186.29560745496528,189.5449999999528,343.5400376547861,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,prefill,3,27.09480623512475,30.15719999984867,197.3987632473186,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,prefill,3,18.60968495268931,20.45070000008309,287.40310514856145,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,prefill,3,26.11161275726668,24.521499999991647,204.83151657305874,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,prefill,3,35.77502539446657,34.394600000041464,149.50321298909904,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,prefill,3,39.512679242542305,38.63660000001801,135.3611383426712,,
