task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gen_tokens,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,0,0,True,0,,prefill,ok,,1766544499.6813934,19,241.3822,,673.4971,,0,45180.24779999996,45149.4251,44181.0182,stop,241.3822,,19,78.71334340311753,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,0,1,True,0,,kv_decode,ok,,1766544499.6813934,19,241.3822,,673.4971,,58,45180.24779999996,45149.4251,44181.0182,stop,673.4971,,58,86.11766850963426,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,0,2,True,0,,e2e_kv,ok,,1766544499.6813934,19,241.3822,,673.4971,,58,45180.24779999996,45149.4251,44181.0182,stop,914.8793000000001,,77,84.16410776809575,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,1,3,False,,0,prefill,ok,,1766544544.8617482,19,11.9177,,654.7349,,0,924.917399999913,901.917,184.1691,stop,11.9177,,19,1594.2673502437551,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,1,4,False,,0,kv_decode,ok,,1766544544.8617482,19,11.9177,,654.7349,,57,924.917399999913,901.917,184.1691,stop,654.7349,,57,87.05813604865114,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,1,5,False,,0,e2e_kv,ok,,1766544544.8617482,19,11.9177,,654.7349,,57,924.917399999913,901.917,184.1691,stop,666.6526,,76,114.002405450755,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,2,6,False,,1,prefill,ok,,1766544545.7868173,19,11.2946,,656.169,,0,912.4343000000863,892.4925,177.5681,stop,11.2946,,19,1682.2198218617746,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,2,7,False,,1,kv_decode,ok,,1766544545.7868173,19,11.2946,,656.169,,57,912.4343000000863,892.4925,177.5681,stop,656.169,,57,86.86786483360231,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,2,8,False,,1,e2e_kv,ok,,1766544545.7868173,19,11.2946,,656.169,,57,912.4343000000863,892.4925,177.5681,stop,667.4635999999999,,76,113.86388710934949,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,3,9,False,,2,prefill,ok,,1766544546.6993923,19,12.0393,,652.193,,0,1949.3113999999423,1921.7693,1202.7004,stop,12.0393,,19,1578.1648434709657,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,3,10,False,,2,kv_decode,ok,,1766544546.6993923,19,12.0393,,652.193,,57,1949.3113999999423,1921.7693,1202.7004,stop,652.193,,57,87.39744216819254,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Summarize RLHF in one sentence.,31,64,3,11,False,,2,e2e_kv,ok,,1766544546.6993923,19,12.0393,,652.193,,57,1949.3113999999423,1921.7693,1202.7004,stop,664.2323,,76,114.41780232608382,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,4,12,True,0,,prefill,ok,,1766544548.6490982,9,361.89919999992526,,1137.3141999999916,,0,,,,,361.89919999992526,,9,24.868803246876087,,45556.88680000003
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,4,13,True,0,,kv_decode,ok,,1766544548.6490982,9,361.89919999992526,,1137.3141999999916,,64,,,,,1137.3141999999916,,64,56.2729279208863,,45556.88680000003
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,4,14,True,0,,e2e_kv,ok,,1766544548.6490982,9,361.89919999992526,,1137.3141999999916,,64,,,,,1499.2133999999169,,73,48.69220085679867,,45556.88680000003
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,5,15,False,,0,prefill,ok,,1766544595.7275136,9,21.400800000037634,,1266.6608999998061,,0,,,,,21.400800000037634,,9,420.54502635341544,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,5,16,False,,0,kv_decode,ok,,1766544595.7275136,9,21.400800000037634,,1266.6608999998061,,64,,,,,1266.6608999998061,,64,50.526545818229486,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,5,17,False,,0,e2e_kv,ok,,1766544595.7275136,9,21.400800000037634,,1266.6608999998061,,64,,,,,1288.0616999998438,,73,56.67430372319032,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,6,18,False,,1,prefill,ok,,1766544597.0162802,9,24.521499999991647,,1317.0525000000453,,0,,,,,24.521499999991647,,9,367.02485573896644,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,6,19,False,,1,kv_decode,ok,,1766544597.0162802,9,24.521499999991647,,1317.0525000000453,,64,,,,,1317.0525000000453,,64,48.59335523830508,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,6,20,False,,1,e2e_kv,ok,,1766544597.0162802,9,24.521499999991647,,1317.0525000000453,,64,,,,,1341.574000000037,,73,54.413696150937625,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,7,21,False,,2,prefill,ok,,1766544598.3587804,9,26.232299999946918,,1217.109599999958,,0,,,,,26.232299999946918,,9,343.0884825203361,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,7,22,False,,2,kv_decode,ok,,1766544598.3587804,9,26.232299999946918,,1217.109599999958,,64,,,,,1217.109599999958,,64,52.58359641564097,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,Summarize RLHF in one sentence.,31,64,7,23,False,,2,e2e_kv,ok,,1766544598.3587804,9,26.232299999946918,,1217.109599999958,,64,,,,,1243.3418999999049,,73,58.71273219377999,,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,24,True,0,,prefill,ok,,1766544599.6028128,17,1156.4487000000554,960.1986694335938,466.00680000005923,465.9045715332031,0,,,,,1156.4487000000554,960.1986694335938,17,14.700176497236052,13.068359375,408.358600000156
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,25,True,0,,kv_decode,ok,,1766544599.6028128,17,1156.4487000000554,960.1986694335938,466.00680000005923,465.9045715332031,64,,,,,466.00680000005923,465.9045715332031,64,137.3370517339916,13.068359375,408.358600000156
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,26,True,0,,e2e_kv,ok,,1766544599.6028128,17,1156.4487000000554,960.1986694335938,466.00680000005923,465.9045715332031,64,,,,,1622.4555000001146,1426.1032409667969,81,49.92432766260417,13.068359375,408.358600000156
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,27,False,,0,prefill,ok,,1766544601.6368184,17,5.951699999968696,5.841631889343262,275.3965000001699,275.3210144042969,0,,,,,5.951699999968696,5.841631889343262,17,2856.3267637968,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,28,False,,0,kv_decode,ok,,1766544601.6368184,17,5.951699999968696,5.841631889343262,275.3965000001699,275.3210144042969,64,,,,,275.3965000001699,275.3210144042969,64,232.3922054200417,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,29,False,,0,e2e_kv,ok,,1766544601.6368184,17,5.951699999968696,5.841631889343262,275.3965000001699,275.3210144042969,64,,,,,281.3482000001386,281.16264629364014,81,287.899478297569,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,10,30,False,,1,prefill,ok,,1766544601.9193177,17,3.8880000001881854,3.7867519855499268,106.39749999995729,106.33094024658203,0,,,,,3.8880000001881854,3.7867519855499268,17,4372.427983327462,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,10,31,False,,1,kv_decode,ok,,1766544601.9193177,17,3.8880000001881854,3.7867519855499268,106.39749999995729,106.33094024658203,64,,,,,106.39749999995729,106.33094024658203,64,601.5178928078732,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,10,32,False,,1,e2e_kv,ok,,1766544601.9193177,17,3.8880000001881854,3.7867519855499268,106.39749999995729,106.33094024658203,64,,,,,110.28550000014548,110.11769223213196,81,734.4573856027597,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,11,33,False,,2,prefill,ok,,1766544602.030509,17,2.5781999997889216,2.520927906036377,133.93020000012257,133.8817596435547,0,,,,,2.5781999997889216,2.520927906036377,17,6593.74757636793,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,11,34,False,,2,kv_decode,ok,,1766544602.030509,17,2.5781999997889216,2.520927906036377,133.93020000012257,133.8817596435547,64,,,,,133.93020000012257,133.8817596435547,64,477.86085587822186,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,11,35,False,,2,e2e_kv,ok,,1766544602.030509,17,2.5781999997889216,2.520927906036377,133.93020000012257,133.8817596435547,64,,,,,136.5083999999115,136.40268754959106,81,593.3700783252351,13.068359375,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,12,36,True,0,,prefill,ok,,1766544602.1677046,1,31.50510000000395,31.350784301757812,656.6328999999769,656.5355224609375,0,,,,,31.50510000000395,31.350784301757812,1,31.74089274434535,208.4775390625,562.8830000000562
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,12,37,True,0,,kv_decode,ok,,1766544602.1677046,1,31.50510000000395,31.350784301757812,656.6328999999769,656.5355224609375,64,,,,,656.6328999999769,656.5355224609375,64,97.46694081274674,208.4775390625,562.8830000000562
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,12,38,True,0,,e2e_kv,ok,,1766544602.1677046,1,31.50510000000395,31.350784301757812,656.6328999999769,656.5355224609375,64,,,,,688.1379999999808,687.8863067626953,65,94.45779770918305,208.4775390625,562.8830000000562
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,13,39,False,,0,prefill,ok,,1766544603.4197037,1,10.81279999993967,10.726400375366211,603.2930999999735,603.2537841796875,0,,,,,10.81279999993967,10.726400375366211,1,92.48298313161987,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,13,40,False,,0,kv_decode,ok,,1766544603.4197037,1,10.81279999993967,10.726400375366211,603.2930999999735,603.2537841796875,64,,,,,603.2930999999735,603.2537841796875,64,106.0844223147966,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,13,41,False,,0,e2e_kv,ok,,1766544603.4197037,1,10.81279999993967,10.726400375366211,603.2930999999735,603.2537841796875,64,,,,,614.1058999999132,613.9801845550537,65,105.84493651666462,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,14,42,False,,1,prefill,ok,,1766544604.0345685,1,4.4250999999349006,4.380671977996826,434.54449999990175,434.4893493652344,0,,,,,4.4250999999349006,4.380671977996826,1,225.98359359442983,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,14,43,False,,1,kv_decode,ok,,1766544604.0345685,1,4.4250999999349006,4.380671977996826,434.54449999990175,434.4893493652344,64,,,,,434.54449999990175,434.4893493652344,64,147.28065825252528,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,14,44,False,,1,e2e_kv,ok,,1766544604.0345685,1,4.4250999999349006,4.380671977996826,434.54449999990175,434.4893493652344,64,,,,,438.96959999983665,438.8700213432312,65,148.074035195203,208.4775390625,
