backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,medium,e2e_kv,3,146.56403333348558,147.0593000003646,147.7649000000156,147.82761999998456,550.7982154124164,81.0,17.0,64.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,795.2184333334268,790.4601000000184,816.5629800000488,818.8832360000515,102.47196537813625,81.0,17.0,64.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,524.2831666666916,531.8924999999126,543.3637200000703,544.3833840000843,152.28641125793897,81.0,17.0,64.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,808.4931666667975,806.5157000000909,813.9254000001074,814.5840400001089,100.43201886831324,81.0,17.0,64.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,947.2934666666788,893.4693999999581,1062.5856100000874,1077.618162000099,90.65783338523266,81.0,17.0,64.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,1216.5835666667135,1215.6583999999384,1360.0539500000878,1372.889110000101,66.63056003232825,81.0,17.0,64.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,1429.6307999999651,1432.346300000063,1514.0340799998285,1521.2952159998076,56.55057020777478,81.0,17.0,64.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,micro,e2e_kv,3,159.7260333333755,160.8864000002086,163.11200999994074,163.30984199991693,404.0117747672626,65.0,1.0,64.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,micro,e2e_kv,3,932.2981000001013,941.3615999999364,957.2363400001906,958.6474280002132,69.04891807781875,65.0,1.0,64.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,micro,e2e_kv,3,624.0272666665684,613.2173999999395,648.8133899998729,651.977477999867,105.9982968519915,65.0,1.0,64.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,micro,e2e_kv,3,696.8369333333916,695.0233000000026,704.676970000196,705.5350740002132,93.52204451275196,65.0,1.0,64.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,micro,e2e_kv,3,1228.5528666666323,1169.5119999999406,1353.5157399999207,1369.871627999919,55.57873711428639,65.0,1.0,64.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,micro,e2e_kv,3,1645.8494333332965,1611.502499999915,1990.1898300000764,2023.8509260000908,40.33502895589888,65.0,1.0,64.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,micro,e2e_kv,3,1262.2962999999647,1270.1418999999987,1281.9247899999937,1282.9721579999932,51.17538441964639,65.0,1.0,64.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,short,e2e_kv,3,178.95690000000286,179.40199999998185,179.60891000000174,179.6273020000035,406.9073923368044,73.0,9.0,64.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,1001.6109999999875,995.967500000006,1017.6234799999066,1019.5484559998978,73.29556436329453,73.0,9.0,64.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,721.8905666666918,723.9781000000676,728.5317400001531,728.9365080001608,100.83177930381208,73.0,9.0,64.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,1072.9362333333938,1055.4111999999805,1175.543200000152,1186.2216000001672,69.16735391854981,73.0,9.0,64.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,936.4163333334545,923.2184000002236,1031.5087400000266,1041.134548000009,79.0712143518612,73.0,9.0,64.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,1316.2202666667326,1319.4846999999754,1489.265830000227,1504.3574860002493,55.324627864196806,73.0,9.0,64.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,1397.6943666668074,1275.7661000000553,1607.3432000001728,1636.8167200001833,57.22052028188932,73.0,9.0,64.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,medium,kv_decode,3,142.84410000012335,143.58950000018922,143.65205000008245,143.65761000007296,445.7150418374301,64.0,17.0,64.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,kv_decode,3,776.5794333333815,770.8953000001202,798.7113299999692,801.1838659999557,83.02035308814312,64.0,17.0,64.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,kv_decode,3,514.8327333333024,521.6928999998345,533.5778499999606,534.6342899999718,122.6775369187894,64.0,17.0,64.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,medium,kv_decode,3,787.1966333333754,785.8134000000518,793.273320000003,793.9364239999986,81.4442716298752,64.0,17.0,64.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,medium,kv_decode,3,922.7201000000301,868.751599999996,1037.5979900001312,1052.6065580001432,73.66892907017414,64.0,17.0,64.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,medium,kv_decode,3,1187.6440000000155,1187.9040999999688,1330.896820000089,1343.6072840000998,53.87640298573065,64.0,17.0,64.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,medium,kv_decode,3,1397.8194999999687,1398.3111999998528,1482.9927399999178,1490.5199879999236,45.76949680443577,64.0,17.0,64.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,micro,kv_decode,3,157.3004666667354,158.71980000019903,160.44330000004265,160.59650000002875,403.2263145487818,64.0,1.0,64.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,micro,kv_decode,3,918.7348333333981,928.0972999999904,943.850630000111,945.2509260001217,68.95828702443231,64.0,1.0,64.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,micro,kv_decode,3,614.4116333333235,603.620200000023,637.8827499999261,640.9283099999175,106.02693548028635,64.0,1.0,64.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,micro,kv_decode,3,686.8318666666559,684.8895999999058,693.9754600000697,694.7830920000843,93.4457173827852,64.0,1.0,64.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,micro,kv_decode,3,1208.1093000000085,1153.4108999999262,1330.1157299999886,1345.8228259999942,55.48759769827396,64.0,1.0,64.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,micro,kv_decode,3,1623.6521999999998,1594.4498999999723,1960.0587900000846,1992.5573580000946,40.13923548178034,64.0,1.0,64.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,micro,kv_decode,3,1243.7823666667402,1250.524900000073,1263.5711200001424,1264.7307840001486,51.178509120447146,64.0,1.0,64.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,short,kv_decode,3,174.85790000008214,175.09700000005068,175.32065000004877,175.3405300000486,365.51168780722384,64.0,9.0,64.0,,,,0.103,0.102714
