backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,e2e_kv,3,161.91224811510423,160.8864000002086,449.0493192111386,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,e2e_kv,3,904.9554492273056,941.3615999999364,80.34272278277663,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,618.094086232212,613.2173999999395,117.6302870510193,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,e2e_kv,3,839.4818216199529,806.5157000000909,86.6088852856043,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,e2e_kv,3,988.0894728605623,923.2184000002236,73.58299707165577,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,e2e_kv,3,1372.4050240150075,1319.4846999999754,52.977498271849484,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,1324.0074955334665,1275.7661000000553,54.914028080133875,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,kv_decode,3,158.61496705319783,158.71980000019903,403.49281779023426,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,kv_decode,3,885.9695134545221,928.0972999999904,72.23724860515209,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,607.2795553631527,603.620200000023,105.38803658840132,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,kv_decode,3,822.3071268719787,785.8134000000518,77.82980094487725,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,kv_decode,3,966.9121271389355,902.1554000000832,66.1900892580323,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,kv_decode,3,1348.1155154044397,1293.567400000029,47.473676601666995,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,1298.590188212665,1252.334000000019,49.28421651490171,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,prefill,3,3.2972738907577375,3.505700000005163,1622.0918911926499,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,prefill,3,18.372730445823468,18.690900000137844,291.1097649318203,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,3,10.777366849661771,9.739900000113266,496.2697582672729,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,prefill,3,16.27824104014243,20.56059999995341,328.5662884613831,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,prefill,3,22.201276328981134,21.063000000140164,240.90872803819636,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,prefill,3,22.65239935866268,22.085099999912927,236.1110254395194,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,3,24.0624322095553,24.909700000080196,222.27517129857966,,,96.088,96.08832
hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.102714,e2e_kv,3,121.02924262441485,127.08070000007864,600.7356834716387,630.53759765625,,0.103,0.102714
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,e2e_kv,3,396.7739414674869,396.95030000007137,183.24435450353388,539.29345703125,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,173.91183760525016,203.95989999997252,418.0657613029423,538.54931640625,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,e2e_kv,3,352.41318598976125,433.93650000007256,206.31062536390132,632.16455078125,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,e2e_kv,3,341.6572242861269,322.5454000000809,212.8056415020895,631.55810546875,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,e2e_kv,3,213.52553582130017,217.16600000013383,340.5053381946827,632.3837890625,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,314.5537404900255,264.0980999999556,231.14201304606038,489.1572265625,,96.088,96.08832
hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.102714,kv_decode,3,118.81407425237083,125.08739999998396,538.6567239842207,630.53759765625,,0.103,0.102714
