task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gen_tokens,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,0,True,0,,prefill,ok,,1766545278.4277427,19,17.8528,,661.4707,,0,4718.093599999975,4696.2359,3984.7871,stop,8000.0,17.8528,,19,1064.258827746908,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,1,True,0,,kv_decode,ok,,1766545278.4277427,19,17.8528,,661.4707,,58,4718.093599999975,4696.2359,3984.7871,stop,8000.0,661.4707,,58,87.68340003570832,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,2,True,0,,e2e_kv,ok,,1766545278.4277427,19,17.8528,,661.4707,,58,4718.093599999975,4696.2359,3984.7871,stop,8000.0,679.3235,,77,113.34805876728835,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,3,False,,0,prefill,ok,,1766545283.14596,19,11.7456,,646.8362,,0,822.9908999999225,821.4332,134.1012,stop,8000.0,11.7456,,19,1617.627026290696,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,4,False,,0,kv_decode,ok,,1766545283.14596,19,11.7456,,646.8362,,57,822.9908999999225,821.4332,134.1012,stop,8000.0,646.8362,,57,88.12122759981584,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,5,False,,0,e2e_kv,ok,,1766545283.14596,19,11.7456,,646.8362,,57,822.9908999999225,821.4332,134.1012,stop,8000.0,658.5817999999999,,76,115.3994841643058,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,6,False,,1,prefill,ok,,1766545283.9690688,19,12.3021,,642.3893,,0,866.8061999999281,849.5826,162.5018,stop,8000.0,12.3021,,19,1544.4517602685721,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,7,False,,1,kv_decode,ok,,1766545283.9690688,19,12.3021,,642.3893,,57,866.8061999999281,849.5826,162.5018,stop,8000.0,642.3893,,57,88.73124132048899,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,8,False,,1,e2e_kv,ok,,1766545283.9690688,19,12.3021,,642.3893,,57,866.8061999999281,849.5826,162.5018,stop,8000.0,654.6914,,76,116.08522733000616,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,3,9,False,,2,prefill,ok,,1766545284.8359847,19,11.5595,,646.574,,0,822.4892999999156,820.6005,134.281,stop,8000.0,11.5595,,19,1643.6697088974436,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,3,10,False,,2,kv_decode,ok,,1766545284.8359847,19,11.5595,,646.574,,57,822.4892999999156,820.6005,134.281,stop,8000.0,646.574,,57,88.15696269877849,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,3,11,False,,2,e2e_kv,ok,,1766545284.8359847,19,11.5595,,646.574,,57,822.4892999999156,820.6005,134.281,stop,8000.0,658.1334999999999,,76,115.47809069132632,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,4,12,True,0,,prefill,ok,,1766545285.6587107,9,153.11380000002828,,1153.8571999999476,,0,,,,,45.1712,153.11380000002828,,9,58.77980952728192,,5869.586099999879
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,4,13,True,0,,kv_decode,ok,,1766545285.6587107,9,153.11380000002828,,1153.8571999999476,,64,,,,,45.1712,1153.8571999999476,,64,55.46613567086369,,5869.586099999879
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,4,14,True,0,,e2e_kv,ok,,1766545285.6587107,9,153.11380000002828,,1153.8571999999476,,64,,,,,45.1712,1306.970999999976,,73,55.854338007500814,,5869.586099999879
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,5,15,False,,0,prefill,ok,,1766545292.8495276,9,20.56059999995341,,953.9457000000766,,0,,,,,45.1712,20.56059999995341,,9,437.73041642852803,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,5,16,False,,0,kv_decode,ok,,1766545292.8495276,9,20.56059999995341,,953.9457000000766,,64,,,,,45.1712,953.9457000000766,,64,67.08977251010708,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,5,17,False,,0,e2e_kv,ok,,1766545292.8495276,9,20.56059999995341,,953.9457000000766,,64,,,,,45.1712,974.50630000003,,73,74.9097260838619,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,6,18,False,,1,prefill,ok,,1766545293.8245158,9,22.26410000002943,,1033.147099999951,,0,,,,,45.1712,22.26410000002943,,9,404.23821308690236,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,6,19,False,,1,kv_decode,ok,,1766545293.8245158,9,22.26410000002943,,1033.147099999951,,64,,,,,45.1712,1033.147099999951,,64,61.94664825560952,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,6,20,False,,1,e2e_kv,ok,,1766545293.8245158,9,22.26410000002943,,1033.147099999951,,64,,,,,45.1712,1055.4111999999805,,73,69.16735391854981,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,7,21,False,,2,prefill,ok,,1766545294.8804765,9,19.471300000077463,,1169.4199000000935,,0,,,,,45.1712,19.471300000077463,,9,462.21875272653574,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,7,22,False,,2,kv_decode,ok,,1766545294.8804765,9,19.471300000077463,,1169.4199000000935,,64,,,,,45.1712,1169.4199000000935,,64,54.72798949290574,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,7,23,False,,2,e2e_kv,ok,,1766545294.8804765,9,19.471300000077463,,1169.4199000000935,,64,,,,,45.1712,1188.891200000171,,73,61.40174979845885,,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,24,True,0,,prefill,ok,,1766545296.0698304,17,578.645300000062,518.8648681640625,266.32789999985107,266.2872009277344,0,,,,,0.102714,578.645300000062,518.8648681640625,17,29.378964972148186,13.068359375,290.5974000000242
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,25,True,0,,kv_decode,ok,,1766545296.0698304,17,578.645300000062,518.8648681640625,266.32789999985107,266.2872009277344,64,,,,,0.102714,266.32789999985107,266.2872009277344,64,240.30527781744155,13.068359375,290.5974000000242
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,8,26,True,0,,e2e_kv,ok,,1766545296.0698304,17,578.645300000062,518.8648681640625,266.32789999985107,266.2872009277344,64,,,,,0.102714,844.973199999913,785.1520690917969,81,95.86102849180108,13.068359375,290.5974000000242
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,27,False,,0,prefill,ok,,1766545297.206147,17,2.305900000010297,2.258847951889038,140.85960000011255,140.8152618408203,0,,,,,0.102714,2.305900000010297,2.258847951889038,17,7372.392558187296,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,28,False,,0,kv_decode,ok,,1766545297.206147,17,2.305900000010297,2.258847951889038,140.85960000011255,140.8152618408203,64,,,,,0.102714,140.85960000011255,140.8152618408203,64,454.3531289308564,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,9,29,False,,0,e2e_kv,ok,,1766545297.206147,17,2.305900000010297,2.258847951889038,140.85960000011255,140.8152618408203,64,,,,,0.102714,143.16550000012285,143.07410979270935,81,565.7787665319543,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,10,30,False,,1,prefill,ok,,1766545297.350074,17,2.6877000000240514,2.637824058532715,135.7249000000138,135.6820526123047,0,,,,,0.102714,2.6877000000240514,2.637824058532715,17,6325.110689380464,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,10,31,False,,1,kv_decode,ok,,1766545297.350074,17,2.6877000000240514,2.637824058532715,135.7249000000138,135.6820526123047,64,,,,,0.102714,135.7249000000138,135.6820526123047,64,471.54206781506923,13.068359375,
