task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,0,True,0,,prefill,ok,,1766545730.2958233,19,315.4429,,656.6953,724.6292965517241,11.32233275862069,,0,64,1163.7939000002007,1161.6723,153.415,stop,8000.0,315.4429,,19,60.23277112910133,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,1,True,0,,kv_decode,ok,,1766545730.2958233,19,315.4429,,656.6953,724.6292965517241,11.32233275862069,,64,64,1163.7939000002007,1161.6723,153.415,stop,8000.0,724.6292965517241,,64,88.32102194122601,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,0,2,True,0,,e2e_kv,ok,,1766545730.2958233,19,315.4429,,656.6953,724.6292965517241,11.32233275862069,,64,64,1163.7939000002007,1161.6723,153.415,stop,8000.0,1040.0721965517241,,83,79.80215246131935,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,3,False,,0,prefill,ok,,1766545731.4597547,19,11.5016,,644.9704,724.1772912280702,11.315270175438597,,0,64,823.0406000002404,821.2737,128.8909,stop,8000.0,11.5016,,19,1651.9440773457607,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,4,False,,0,kv_decode,ok,,1766545731.4597547,19,11.5016,,644.9704,724.1772912280702,11.315270175438597,,64,64,823.0406000002404,821.2737,128.8909,stop,8000.0,724.1772912280702,,64,88.37614873488768,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,5,False,,0,e2e_kv,ok,,1766545731.4597547,19,11.5016,,644.9704,724.1772912280702,11.315270175438597,,64,64,823.0406000002404,821.2737,128.8909,stop,8000.0,735.6788912280703,,83,112.82096168540045,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,6,False,,1,prefill,ok,,1766545732.2829344,19,11.2996,,642.7966,721.7365333333333,11.277133333333333,,0,64,835.1838999997199,817.2836,128.2283,stop,8000.0,11.2996,,19,1681.4754504584232,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,7,False,,1,kv_decode,ok,,1766545732.2829344,19,11.2996,,642.7966,721.7365333333333,11.277133333333333,,64,64,835.1838999997199,817.2836,128.2283,stop,8000.0,721.7365333333333,,64,88.67501788279527,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,2,8,False,,1,e2e_kv,ok,,1766545732.2829344,19,11.2996,,642.7966,721.7365333333333,11.277133333333333,,64,64,835.1838999997199,817.2836,128.2283,stop,8000.0,733.0361333333334,,83,113.22770628314638,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,3,9,False,,2,prefill,ok,,1766545733.1188962,19,12.2686,,640.7468,719.435003508772,11.241171929824562,,0,64,848.3644999996613,826.6498,139.1418,stop,8000.0,12.2686,,19,1548.6689597835125,,
