backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,7,True,2.610030072243094,0.3185130428575708,0.9152578813964241,0.1120417035668528,0.6785523629580895,1.9562375976229642,2.905471069910898,1000,1000
hf_cpu_fp32,hf,e2e_kv,medium,scenario,7,True,2.6031565659907243,0.2953946600733131,0.9415549647885382,0.10231648339821249,0.3930767118523809,2.4245350125547236,2.885964700450881,1000,1000
hf_cpu_fp32,hf,e2e_kv,micro,scenario,7,True,2.6075211077684592,0.3407138571862582,0.8859528550405825,0.18894645608259994,0.7974564327679403,1.7894092607923284,2.815654901947008,1000,1000
hf_cpu_fp32,hf,e2e_kv,short,scenario,7,True,2.6194125429700965,0.3194306113131419,0.8218074469170764,0.032581681579462785,0.8960942345773335,1.5888998747524006,3.0412715193313624,1000,1000
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,7,True,2.600381015718281,0.31891279544765,0.9157746866578501,0.1137195047532509,0.6796280289717207,1.9460006165060542,2.8945999751701974,1000,1000
hf_cpu_fp32,hf,kv_decode,medium,scenario,7,True,2.5922264115531224,0.29587838975440833,0.9412307516526066,0.10172932490573434,0.39275231163397534,2.4139219277886856,2.876797375620345,1000,1000
hf_cpu_fp32,hf,kv_decode,micro,scenario,7,True,2.6004679254838283,0.3408521542645634,0.8873404661637889,0.19056829318339816,0.7964827760786602,1.7848274746184878,2.8053086553373117,1000,1000
hf_cpu_fp32,hf,kv_decode,short,scenario,7,True,2.6084487101178935,0.3200078423239769,0.8205943081227889,0.033938188623855364,0.9014950914894689,1.5699068327508556,3.0286827421363296,1000,1000
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,7,True,0.9339326106411302,0.28747556391472,0.8956006794993701,0.060692212899944524,0.5806073571882385,0.40456775825005437,1.261786695833979,1000,1000
hf_cpu_fp32,hf,prefill,medium,scenario,7,True,0.9965434087019043,0.2783791933433656,0.9481085931855058,0.12210755452579146,0.45523653338261894,0.6807650067305663,1.2268403637801957,1000,1000
hf_cpu_fp32,hf,prefill,micro,scenario,7,True,0.8188382719848283,0.32074042620007226,0.8590791584863477,0.16550659279566007,0.7212614358497246,0.06267674543848767,1.0255242583298523,1000,1000
hf_cpu_fp32,hf,prefill,short,scenario,7,True,0.9864161512366582,0.2633070722007214,0.71554736829426,-0.1293947638570428,0.6146148728281592,0.3872638810489643,1.590498871556246,1000,1000
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,7,True,2.3627720796249108,0.07969062469984181,0.12795660537971199,-0.1548265945062566,0.967174891112153,0.7593591805459239,2.710060539318629,1000,1000
hf_gpu_fp16,hf,e2e_kv,medium,scenario,7,True,2.2419651821097286,0.12699838996898233,0.23283612426288025,-0.19008362790829395,0.8343022740268531,0.9677771051444786,2.694708548429229,1000,1000
hf_gpu_fp16,hf,e2e_kv,micro,scenario,7,True,2.4525496744758017,0.0710659904683404,0.08558362339971803,-0.22985150862109757,1.2004211871330759,0.4514527745930174,2.894665966424777,1000,1000
hf_gpu_fp16,hf,e2e_kv,short,scenario,7,True,2.3938013822892015,0.04100749366220238,0.0333519297055459,-0.16468232353652476,0.9218954148113386,0.8545474764741623,2.655172566764052,1000,1000
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,7,True,2.3513445300527263,0.08155490823429262,0.13362130725747556,-0.15395460761189408,0.9672133339453287,0.7506327886040814,2.6998587391193736,1000,1000
hf_gpu_fp16,hf,kv_decode,medium,scenario,7,True,2.2296759049842665,0.12998848016019027,0.24053437622444207,-0.19008032586811102,0.8336024335648775,0.9604362940468946,2.686290352545125,1000,1000
hf_gpu_fp16,hf,kv_decode,micro,scenario,7,True,2.4407009241595112,0.07233198560638557,0.08880472736548362,-0.228003522036622,1.199255526472358,0.4435698521202827,2.883099132079278,1000,1000
hf_gpu_fp16,hf,kv_decode,short,scenario,7,True,2.3836567610144006,0.04234425893630177,0.03541084115296611,-0.16535080998551843,0.920782790483967,0.8472875029887137,2.647749788696412,1000,1000
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,7,True,0.6565597794196272,0.06481877510569925,0.09650678608701913,-0.08627103030390683,0.9016443569209637,-0.8288504138992292,0.846281251482026,1000,1000
hf_gpu_fp16,hf,prefill,medium,scenario,7,True,0.5599495725215096,0.08114697621012099,0.1333507327914436,-0.20683320902295751,0.645005269650823,-0.5180844338314662,0.9624283337144973,1000,1000
hf_gpu_fp16,hf,prefill,micro,scenario,7,True,0.6994172363122954,0.10007181065619199,0.20326399089436764,-0.014363598319980037,1.07845173246857,-1.0112946666323765,0.7850418821971602,1000,1000
hf_gpu_fp16,hf,prefill,short,scenario,7,True,0.710312529425076,0.013237538450785263,0.0033054190403725148,-0.15035329717697168,0.9915270519751678,-0.9909281469146219,0.8698212927791393,1000,1000
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,5,True,0.455334592396571,0.6572156733682804,0.9056811346302579,0.4791758248619436,1.5629462112363601,-3.2221059928971183,0.9917940760044388,1000,1000
ollama,ollama,e2e_kv,medium,scenario,5,True,0.4885189316097033,0.6497835902416207,0.9068144574720777,0.4920693428421588,1.535056271216943,-3.104380429586752,0.951374753736754,1000,1000
ollama,ollama,e2e_kv,micro,scenario,5,True,0.4022578861190192,0.6692562629904565,0.9045871046639636,0.46210150271835465,1.5978356993929232,-3.3697270692962924,1.0419712604591134,1000,1000
ollama,ollama,e2e_kv,short,scenario,5,True,0.4752269594609914,0.652607166872764,0.9049912142658758,0.48335662902531884,1.5559466630992138,-3.1922104798083106,0.9820362138174452,1000,1000
