backend,model,scenario,warmup_prefill_infer_median_ms,warmup_load_median_ms,warmup_prefill_total_median_ms,warmup_n,measured_prefill_infer_median_ms,measured_load_median_ms,measured_prefill_total_median_ms,measured_n,warmup_ratio_infer_only,warmup_ratio_total_including_load
ollama,gemma3:1b-it-qat,medium,116.0903,151.424,267.5143,1,4.2116,145.047,148.8654,3,27.56441732358249,1.7970213360525684
ollama,gemma3:1b-it-qat,micro,93.3581,141.179,234.5371,1,4.4579,152.7436,156.8372,3,20.942170080082548,1.4954175412465922
ollama,gemma3:1b-it-qat,short,10.5256,2943.9146,2954.4402,1,4.8808,160.8493,165.8235,3,2.156531716112113,17.816776271155778
ollama,gemma3:270m,medium,8.3759,1669.7131,1678.089,1,2.26,155.2111,157.47109999999998,3,3.706150442477876,10.656488714437126
ollama,gemma3:270m,micro,8.5149,1211.8144,1220.3292999999999,1,2.4161,144.7523,147.386,3,3.524233268490543,8.279818300245614
ollama,gemma3:270m,short,6.4813,143.7376,150.2189,1,2.2954,142.4624,145.2498,3,2.823603729197526,1.034210718362435
ollama,gpt-oss-20b:latest,medium,305.1911,243.7476,548.9387,1,53.6637,226.5253,282.3205,3,5.687105063571837,1.9443812971427865
ollama,gpt-oss-20b:latest,micro,2228.1392,12135.2847,14363.4239,1,48.1459,217.9424,265.7558,3,46.27889809931895,54.04745220988591
ollama,gpt-oss-20b:latest,short,1033.1005,10479.4424,11512.5429,1,50.8811,223.6157,274.4968,3,20.304209225036406,41.94053591881581
ollama,llama3.1:8b-instruct-q4_0,medium,18.2711,151.2852,169.5563,1,11.486,158.1898,169.67579999999998,3,1.5907278425909803,0.9992957157119637
ollama,llama3.1:8b-instruct-q4_0,micro,19.3729,5029.3616,5048.7345000000005,1,11.4993,129.5955,141.0948,3,1.6847025471115635,35.78256959150869
ollama,llama3.1:8b-instruct-q4_0,short,19.9786,7691.5968,7711.575400000001,1,11.5936,140.0565,151.6501,3,1.7232438586806513,50.851106593401525
ollama,qwen2.5:7b,medium,21.7307,5460.5248,5482.2555,1,11.6679,130.9508,142.94709999999998,3,1.8624345426340643,38.3516384732534
ollama,qwen2.5:7b,micro,67.5811,5430.0863,5497.6674,1,11.4804,129.975,141.4554,3,5.88665029093063,38.865023180451225
ollama,qwen2.5:7b,short,86.5886,124.3538,210.94240000000002,1,11.5517,122.0726,133.5174,3,7.495745214990001,1.5798869660433772
