task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens_raw,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens,gpu_peak_mb,hf_load_ms
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,0,0,True,0,,prefill,ok,,1766553740.9401057,1,,19,19.9786,,656.9594,724.9207172413793,11.326886206896551,,58,64,8411.729299999934,8409.3339,7691.5968,stop,8000.0,19.9786,,19,951.0175888200375,0,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,0,1,True,0,,kv_decode,ok,,1766553740.9401057,1,,19,19.9786,,656.9594,724.9207172413793,11.326886206896551,,58,64,8411.729299999934,8409.3339,7691.5968,stop,8000.0,724.9207172413793,,64,88.28551657834564,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,0,2,True,0,,e2e_kv,ok,,1766553740.9401057,1,,19,19.9786,,656.9594,724.9207172413793,11.326886206896551,,58,64,8411.729299999934,8409.3339,7691.5968,stop,8000.0,744.8993172413793,,83,111.42445439120256,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,1,3,False,,0,prefill,ok,,1766553749.3519733,1,,19,11.517,,639.3656,717.8841824561404,11.216940350877193,,57,64,864.43700000018,838.7538,147.5084,stop,8000.0,11.517,,19,1649.735174090475,0,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,1,4,False,,0,kv_decode,ok,,1766553749.3519733,1,,19,11.517,,639.3656,717.8841824561404,11.216940350877193,,57,64,864.43700000018,838.7538,147.5084,stop,8000.0,717.8841824561404,,64,89.15087080068118,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,1,5,False,,0,e2e_kv,ok,,1766553749.3519733,1,,19,11.517,,639.3656,717.8841824561404,11.216940350877193,,57,64,864.43700000018,838.7538,147.5084,stop,8000.0,729.4011824561404,,83,113.79197346583801,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,2,6,False,,1,prefill,ok,,1766553750.21654,1,,19,11.6671,,640.6446,719.3202526315789,11.23937894736842,,57,64,860.8426000009786,834.443,138.7494,stop,8000.0,11.6671,,19,1628.5109410221905,0,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,2,7,False,,1,kv_decode,ok,,1766553750.21654,1,,19,11.6671,,640.6446,719.3202526315789,11.23937894736842,,57,64,860.8426000009786,834.443,138.7494,stop,8000.0,719.3202526315789,,64,88.97288761975048,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,2,8,False,,1,e2e_kv,ok,,1766553750.21654,1,,19,11.6671,,640.6446,719.3202526315789,11.23937894736842,,57,64,860.8426000009786,834.443,138.7494,stop,8000.0,730.9873526315789,,83,113.54505615069431,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,3,9,False,,2,prefill,ok,,1766553751.0777519,1,,19,11.5936,,639.1509,717.6431157894737,11.213173684210526,,57,64,845.7298000012088,831.2309,140.0565,stop,8000.0,11.5936,,19,1638.8352194314102,0,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,3,10,False,,2,kv_decode,ok,,1766553751.0777519,1,,19,11.5936,,639.1509,717.6431157894737,11.213173684210526,,57,64,845.7298000012088,831.2309,140.0565,stop,8000.0,717.6431157894737,,64,89.18081786319944,64,,
0,short,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,8000.0,Summarize RLHF in one sentence.,31,64,1,3,11,False,,2,e2e_kv,ok,,1766553751.0777519,1,,19,11.5936,,639.1509,717.6431157894737,11.213173684210526,,57,64,845.7298000012088,831.2309,140.0565,stop,8000.0,729.2367157894737,,83,113.81763726767922,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,4,12,True,0,,prefill,ok,,1766553751.92361,1,9,9,346.1416999998619,,1155.8882999997877,,,,64,,,,,,45.1712,346.1416999998619,,9,26.000912343134594,0,,13233.942499999102
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,4,13,True,0,,kv_decode,ok,,1766553751.92361,1,9,9,346.1416999998619,,1155.8882999997877,,,,64,,,,,,45.1712,1155.8882999997877,,64,55.36867186908264,64,,13233.942499999102
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,4,14,True,0,,e2e_kv,ok,,1766553751.92361,1,9,9,346.1416999998619,,1155.8882999997877,,,,64,,,,,,45.1712,1502.0299999996496,,73,48.60089345753216,64,,13233.942499999102
