backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_gpu_fp16_bs1,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,7,True,2.4645918154403943,0.07073847699347521,0.13796944000840528,0.3571428571428572,0.4316113520383278,0.08428510417772474,2.390401298647154,-0.2961510671818325,0.6084094631715433,-0.33382754971335116,0.5413259291077209,1.6121331755148196,3.0792139635438023,1000,1000
hf_gpu_fp16_bs1,hf,1.0,e2e_kv,medium,scenario,7,True,2.4645918154403943,0.07073847699347521,0.13796944000840483,0.3571428571428572,0.4316113520383278,0.08428510417772458,2.3904012986471543,-0.2961510671818325,0.6084094631715441,-0.33382754971335116,0.541325929107721,1.6121331755148176,3.0792139635438023,1000,1000
hf_gpu_fp16_bs1,hf,1.0,kv_decode,__all__,geomean_across_scenarios,7,True,2.456265658941823,0.07084568225869316,0.1380984000065737,0.3571428571428572,0.4316113520383278,0.08515626637220558,2.381314719584295,-0.2965625119981443,0.6061547495860122,-0.33390521847900617,0.5385090791450758,1.6083223805906635,3.071674364077693,1000,1000
hf_gpu_fp16_bs1,hf,1.0,kv_decode,medium,scenario,7,True,2.456265658941823,0.07084568225869316,0.13809840000657336,0.3571428571428572,0.4316113520383278,0.08515626637220525,2.3813147195842954,-0.2965625119981439,0.6061547495860122,-0.33390521847900617,0.5385090791450755,1.6083223805906635,3.071674364077694,1000,1000
hf_gpu_fp16_bs1,hf,1.0,prefill,__all__,geomean_across_scenarios,7,True,0.7302511822355434,0.0184932741968599,0.012176690391079603,0.14285714285714288,0.7599453002180929,0.025560254113478762,0.6707716421621774,-0.42544001439280965,0.29486540454291843,-0.35446748148563423,0.2937448960473667,0.20174291238861589,1.3092570360390403,1000,1000
hf_gpu_fp16_bs1,hf,1.0,prefill,medium,scenario,7,True,0.7302511822355435,0.018493274196859835,0.012176690391079492,0.14285714285714288,0.7599453002180929,0.025560254113478762,0.6707716421621774,-0.42544001439280965,0.29486540454291843,-0.35446748148563423,0.2937448960473665,0.201742912388616,1.3092570360390403,1000,1000
hf_gpu_fp16_bs8,hf,8.0,e2e_kv,__all__,geomean_across_scenarios,7,True,2.4754153504949263,0.0906222178878341,0.20374914012473222,0.28571428571428575,0.5345092286010406,0.1279788511226087,2.4174341761107696,-0.2969606994717029,1.1196228788255336,-0.27535447724150636,0.5615153585437893,1.6098845448913182,3.0430202542617897,1000,1000
hf_gpu_fp16_bs8,hf,8.0,e2e_kv,medium,scenario,7,True,2.4754153504949263,0.0906222178878341,0.20374914012473222,0.28571428571428575,0.5345092286010406,0.1279788511226087,2.4174341761107696,-0.2969606994717029,1.1196228788255336,-0.27535447724150636,0.5615153585437893,1.6098845448913182,3.0430202542617897,1000,1000
hf_gpu_fp16_bs8,hf,8.0,kv_decode,__all__,geomean_across_scenarios,7,True,2.466173480263842,0.09035160261198176,0.20118254464340402,0.28571428571428575,0.5345092286010406,0.12707923195145873,2.4071707700094365,-0.2990411888969538,1.1151170939376325,-0.27717812394991975,0.5643607725327386,1.5943858433264069,3.0371408772730115,1000,1000
hf_gpu_fp16_bs8,hf,8.0,kv_decode,medium,scenario,7,True,2.466173480263843,0.09035160261198143,0.20118254464340302,0.28571428571428575,0.5345092286010406,0.12707923195145873,2.407170770009437,-0.2990411888969534,1.1151170939376343,-0.27717812394991975,0.5643607725327383,1.594385843326409,3.0371408772730115,1000,1000
hf_gpu_fp16_bs8,hf,8.0,prefill,__all__,geomean_across_scenarios,7,True,0.7860218071701002,0.09724933037531377,0.34200484476056736,0.3571428571428572,0.4316113520383278,0.13262476895529032,0.7542431899787964,-0.18925195580214071,0.5127100533929708,-0.1822020745710812,0.4597329944676227,0.12100319162582475,1.226275435900749,1000,1000
hf_gpu_fp16_bs8,hf,8.0,prefill,medium,scenario,7,True,0.7860218071701002,0.09724933037531377,0.34200484476056725,0.3571428571428572,0.4316113520383278,0.13262476895529032,0.7542431899787965,-0.18925195580214083,0.5127100533929708,-0.18220207457108095,0.4597329944676227,0.121003191625825,1.226275435900749,1000,1000
