backend,backend_kind,batch_size,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,tokens_per_s_compute_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_gpu_fp16_bs1,hf,1,models/tiny-gpt2,hf,0.102714,e2e_kv,1,195.52979999934902,195.52979999934905,414.2591052630836,414.2591052630836,633.5712890625,,0.103,0.102714
hf_gpu_fp16_bs1,hf,1,models/gpt2-5m,hf,5.03672,e2e_kv,1,747.040599999309,747.040599999309,108.42784180682405,108.42784180682405,631.6650390625,,5.037,5.03672
hf_gpu_fp16_bs1,hf,1,models/gpt2-25m,hf,25.016064,e2e_kv,1,219.2194999988715,219.21949999887147,369.4926774325139,369.4926774325139,631.72314453125,,25.016,25.016064
hf_gpu_fp16_bs1,hf,1,models/gpt2-45m,hf,45.1712,e2e_kv,1,390.11890000074345,390.11890000074345,207.629007463739,207.629007463739,409.03564453125,,45.171,45.1712
hf_gpu_fp16_bs1,hf,1,models/gpt2-50m,hf,51.475968,e2e_kv,1,330.20270000088215,330.20270000088203,245.303869410467,245.303869410467,119.23681640625,,51.476,51.475968
hf_gpu_fp16_bs1,hf,1,models/gpt2-75m,hf,74.824704,e2e_kv,1,338.751700001012,338.75170000101207,239.1131911655588,239.1131911655588,634.76806640625,,74.825,74.824704
hf_gpu_fp16_bs1,hf,1,models/gpt2-100m,hf,96.08832,e2e_kv,1,497.1244000007572,497.1244000007573,162.93708375584993,162.93708375584993,315.7841796875,,96.088,96.08832
hf_gpu_fp16_bs1,hf,1,models/tiny-gpt2,hf,0.102714,kv_decode,1,191.57910000103575,191.57910000103584,334.0656679129088,334.0656679129088,633.5712890625,,0.103,0.102714
hf_gpu_fp16_bs1,hf,1,models/gpt2-5m,hf,5.03672,kv_decode,1,734.4604999998412,734.460499999841,87.1387909901402,87.1387909901402,631.6650390625,,5.037,5.03672
hf_gpu_fp16_bs1,hf,1,models/gpt2-25m,hf,25.016064,kv_decode,1,214.7465999987617,214.74659999876167,298.02567305079134,298.02567305079134,631.72314453125,,25.016,25.016064
hf_gpu_fp16_bs1,hf,1,models/gpt2-45m,hf,45.1712,kv_decode,1,383.2032999998771,383.2032999998773,167.0131755128948,167.0131755128948,409.03564453125,,45.171,45.1712
hf_gpu_fp16_bs1,hf,1,models/gpt2-50m,hf,51.475968,kv_decode,1,325.2878999992391,325.287899999239,196.74878776662067,196.74878776662067,119.23681640625,,51.476,51.475968
hf_gpu_fp16_bs1,hf,1,models/gpt2-75m,hf,74.824704,kv_decode,1,332.8407999997581,332.840799999758,192.2841190143953,192.2841190143953,634.76806640625,,74.825,74.824704
hf_gpu_fp16_bs1,hf,1,models/gpt2-100m,hf,96.08832,kv_decode,1,485.5058000011923,485.50580000119226,131.8212882314544,131.8212882314544,315.7841796875,,96.088,96.08832
hf_gpu_fp16_bs1,hf,1,models/tiny-gpt2,hf,0.102714,prefill,1,3.9319999996223487,3.9319999996223487,4323.499491768257,4323.499491768257,633.5712890625,,0.103,0.102714
hf_gpu_fp16_bs1,hf,1,models/gpt2-5m,hf,5.03672,prefill,1,12.390500000037722,12.39050000003772,1372.0188854322464,1372.0188854322464,631.6650390625,,5.037,5.03672
hf_gpu_fp16_bs1,hf,1,models/gpt2-25m,hf,25.016064,prefill,1,3.860400000121445,3.860400000121445,4403.688736779918,4403.688736779918,631.72314453125,,25.016,25.016064
hf_gpu_fp16_bs1,hf,1,models/gpt2-45m,hf,45.1712,prefill,1,6.871199999295642,6.871199999295641,2474.0947726368972,2474.0947726368972,409.03564453125,,45.171,45.1712
hf_gpu_fp16_bs1,hf,1,models/gpt2-50m,hf,51.475968,prefill,1,4.6091999993223,4.6091999993223,3688.2756232100014,3688.2756232100014,119.23681640625,,51.476,51.475968
hf_gpu_fp16_bs1,hf,1,models/gpt2-75m,hf,74.824704,prefill,1,5.9957000012218495,5.995700001221849,2835.3653445862215,2835.3653445862215,634.76806640625,,74.825,74.824704
hf_gpu_fp16_bs1,hf,1,models/gpt2-100m,hf,96.08832,prefill,1,5.165000000488363,5.165000000488362,3291.384317210576,3291.384317210576,315.7841796875,,96.088,96.08832
hf_gpu_fp16_bs8,hf,8,models/tiny-gpt2,hf,0.102714,e2e_kv,1,195.40859999870008,195.40859999870008,3316.1283587534576,3316.1283587534576,646.6240234375,,0.103,0.102714
hf_gpu_fp16_bs8,hf,8,models/gpt2-5m,hf,5.03672,e2e_kv,1,738.7967999984537,738.7967999984539,877.101795786549,877.101795786549,646.7919921875,,5.037,5.03672
hf_gpu_fp16_bs8,hf,8,models/gpt2-25m,hf,25.016064,e2e_kv,1,219.724499998847,219.72449999884705,2949.147682681722,2949.147682681722,625.66357421875,,25.016,25.016064
hf_gpu_fp16_bs8,hf,8,models/gpt2-45m,hf,45.1712,e2e_kv,1,425.8154999988621,425.8154999988619,1521.7858438730668,1521.7858438730668,428.79150390625,,45.171,45.1712
hf_gpu_fp16_bs8,hf,8,models/gpt2-50m,hf,51.475968,e2e_kv,1,525.6723999991666,525.6723999991664,1232.706910237303,1232.706910237303,654.60302734375,,51.476,51.475968
hf_gpu_fp16_bs8,hf,8,models/gpt2-75m,hf,74.824704,e2e_kv,1,331.52599999993987,331.5259999999398,1954.5978294315312,1954.5978294315312,580.705078125,,74.825,74.824704
hf_gpu_fp16_bs8,hf,8,models/gpt2-100m,hf,96.08832,e2e_kv,1,514.5864999994956,514.5864999994956,1259.263505748082,1259.263505748082,436.4248046875,,96.088,96.08832
hf_gpu_fp16_bs8,hf,8,models/tiny-gpt2,hf,0.102714,kv_decode,1,191.23589999981044,191.2358999998105,2677.3215698543386,2677.3215698543386,646.6240234375,,0.103,0.102714
hf_gpu_fp16_bs8,hf,8,models/gpt2-5m,hf,5.03672,kv_decode,1,725.8516999991115,725.8516999991116,705.3782473756369,705.3782473756369,646.7919921875,,5.037,5.03672
hf_gpu_fp16_bs8,hf,8,models/gpt2-25m,hf,25.016064,kv_decode,1,214.4285999984277,214.42859999842767,2387.7411875270113,2387.7411875270113,625.66357421875,,25.016,25.016064
hf_gpu_fp16_bs8,hf,8,models/gpt2-45m,hf,45.1712,kv_decode,1,414.44729999966495,414.4472999996651,1235.3802280782472,1235.3802280782472,428.79150390625,,45.171,45.1712
hf_gpu_fp16_bs8,hf,8,models/gpt2-50m,hf,51.475968,kv_decode,1,515.0475999998888,515.0475999998889,994.0828770003207,994.0828770003207,654.60302734375,,51.476,51.475968
hf_gpu_fp16_bs8,hf,8,models/gpt2-75m,hf,74.824704,kv_decode,1,323.89359999979195,323.89359999979206,1580.7660293390443,1580.7660293390443,580.705078125,,74.825,74.824704
hf_gpu_fp16_bs8,hf,8,models/gpt2-100m,hf,96.08832,kv_decode,1,504.5358000006671,504.5358000006672,1014.79419299745,1014.79419299745,436.4248046875,,96.088,96.08832
hf_gpu_fp16_bs8,hf,8,models/tiny-gpt2,hf,0.102714,prefill,1,4.129200000534183,4.129200000534183,32936.16196415915,32936.16196415915,646.6240234375,,0.103,0.102714
hf_gpu_fp16_bs8,hf,8,models/gpt2-5m,hf,5.03672,prefill,1,12.933899999552525,12.933899999552525,10515.003208986092,10515.003208986092,646.7919921875,,5.037,5.03672
hf_gpu_fp16_bs8,hf,8,models/gpt2-25m,hf,25.016064,prefill,1,5.295900000419351,5.295900000419351,25680.24320497574,25680.24320497574,625.66357421875,,25.016,25.016064
hf_gpu_fp16_bs8,hf,8,models/gpt2-45m,hf,45.1712,prefill,1,9.412800000063724,9.412800000063726,14448.410674727962,14448.410674727962,428.79150390625,,45.171,45.1712
hf_gpu_fp16_bs8,hf,8,models/gpt2-50m,hf,51.475968,prefill,1,9.417799999937415,9.417799999937415,14440.73987565076,14440.73987565076,654.60302734375,,51.476,51.475968
hf_gpu_fp16_bs8,hf,8,models/gpt2-75m,hf,74.824704,prefill,1,7.7615000009245705,7.76150000092457,17522.38613461307,17522.38613461307,580.705078125,,74.825,74.824704
hf_gpu_fp16_bs8,hf,8,models/gpt2-100m,hf,96.08832,prefill,1,10.558300000411693,10.558300000411691,12880.861501822925,12880.861501822925,436.4248046875,,96.088,96.08832
