backend,backend_kind,batch_size,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_per_s_compute_median,tokens_total_median,tokens_total_compute_median,prompt_tokens_median,prompt_tokens_raw_median,prompt_tokens_compute_median,gen_tokens_median,gen_tokens_raw_median,gen_tokens_target_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,e2e_kv,5,121.53020000000001,122.7803,123.07648,123.10073600000001,724.8719867926694,724.8719867926695,89.0,89.0,,25.0,,64.0,64.0,64.0,,,152.2907,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,medium,e2e_kv,5,258.96538,258.4562,264.22104,264.42324800000006,348.221478146007,348.2214781460069,90.0,90.0,,26.0,,64.0,64.0,64.0,,,150.6252,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,medium,e2e_kv,5,518.5142,517.3203,523.02676,523.037912,172.0404167398805,172.0404167398805,89.0,89.0,,25.0,,64.0,64.0,64.0,,,290.4847,4300.0,4300.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,e2e_kv,5,125.97114000000002,125.8678,129.21542666666664,129.84020533333333,643.5323410753186,643.5323410753186,81.0,81.0,,17.0,,64.0,48.0,64.0,,,143.1737,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,short,e2e_kv,5,261.42890117647056,258.4018117647059,269.614754117647,270.95727552941173,317.3352363127667,317.3352363127667,82.0,82.0,,18.0,,64.0,34.0,64.0,,,141.1498,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,short,e2e_kv,5,522.2087034146341,520.1974219512196,528.8508351219513,529.2720811707317,155.71011424119592,155.71011424119592,81.0,81.0,,17.0,,64.0,41.0,64.0,,,312.1603,4300.0,4300.0
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,kv_decode,5,119.48166,120.4924,120.82726,120.869132,531.1538321089131,531.1538321089131,64.0,64.0,,25.0,,64.0,64.0,64.0,,,152.2907,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,medium,kv_decode,5,254.4139,254.1821,259.50966,259.805292,251.7879897915707,251.7879897915707,64.0,64.0,,26.0,,64.0,64.0,64.0,,,150.6252,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,medium,kv_decode,5,509.14457999999996,507.9475,514.12816,514.247952,125.99727334025664,125.99727334025663,64.0,64.0,,25.0,,64.0,64.0,64.0,,,290.4847,4300.0,4300.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,kv_decode,5,123.41159999999999,123.4968,126.33658666666666,126.81835733333334,518.2320513567963,518.2320513567963,64.0,64.0,,17.0,,64.0,48.0,64.0,,,143.1737,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,short,kv_decode,5,256.95902117647057,254.43821176470587,265.167774117647,266.5541195294117,251.53454568052305,251.53454568052302,64.0,64.0,,18.0,,64.0,34.0,64.0,,,141.1498,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,short,kv_decode,5,513.3405034146342,511.9775219512195,520.0088351219512,520.4327211707317,125.00548804581663,125.00548804581665,64.0,64.0,,17.0,,64.0,41.0,64.0,,,312.1603,4300.0,4300.0
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,prefill,5,2.04854,2.1624,2.41568,2.453376,11561.228264890862,11561.228264890862,25.0,25.0,,25.0,,0.0,64.0,64.0,,,152.2907,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,medium,prefill,5,4.55148,4.5946,5.0988,5.16256,5658.816871980151,5658.816871980151,26.0,26.0,,26.0,,0.0,64.0,64.0,,,150.6252,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,medium,prefill,5,9.369620000000001,9.4418,9.70078,9.735676,2647.800207587536,2647.800207587536,25.0,25.0,,25.0,,0.0,64.0,64.0,,,290.4847,4300.0,4300.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,prefill,5,2.5595399999999997,2.371,3.01904,3.0498879999999997,7169.970476592156,7169.970476592156,17.0,17.0,,17.0,,0.0,48.0,64.0,,,143.1737,268.1,268.1
ollama,ollama,1,gemma3:1b-it-qat,ollama,999.89,short,prefill,5,4.46988,4.3922,5.00306,5.0704519999999995,4098.17403579072,4098.17403579072,18.0,18.0,,18.0,,0.0,34.0,64.0,,,141.1498,999.9,999.89
ollama,ollama,1,gemma3:latest,ollama,4300.0,short,prefill,5,8.8682,8.8552,9.34662,9.417564,1919.775950853736,1919.7759508537356,17.0,17.0,,17.0,,0.0,41.0,64.0,,,312.1603,4300.0,4300.0
