backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,2.1819783452084263,0.7286070112349073,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,medium,scenario,2,True,2.292690052618726,0.6571055024967113,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,micro,scenario,2,True,2.3339827069345547,0.6449889831035852,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,short,scenario,2,True,1.9192622760719982,0.8837265481044244,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,2.1836236803910944,0.7250426567066,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,medium,scenario,2,True,2.30064803487439,0.6492615119469182,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,micro,scenario,2,True,2.330262189961155,0.6454050811596425,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,short,scenario,2,True,1.9199608163377417,0.8804613770132372,1.0,,,,,,
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.236040136553456,0.9409074366485471,1.0,,,,,,
hf_cpu_fp32,hf,prefill,medium,scenario,2,True,-0.3584639868385757,1.0078227373104858,1.0,,,,,,
hf_cpu_fp32,hf,prefill,micro,scenario,2,True,0.028581649293140138,0.7423446919952346,1.0,,,,,,
hf_cpu_fp32,hf,prefill,short,scenario,2,True,-0.3782380721149334,1.0725548806399212,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.8671870677243922,0.4285372509486249,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,medium,scenario,2,True,2.509420871090251,0.1074113294754022,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,micro,scenario,2,True,1.4783946108217432,0.6260393474801677,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,short,scenario,2,True,1.61374572126119,0.5521610758903011,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.8635049794370282,0.428269644109919,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,medium,scenario,2,True,2.507631048287005,0.10607544931275054,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,micro,scenario,2,True,1.4735407313276485,0.6264115780481622,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,short,scenario,2,True,1.6093431586964266,0.5523219049688468,1.0,,,,,,
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.04872916163629327,0.37470539965316974,1.0,,,,,,
hf_gpu_fp16,hf,prefill,medium,scenario,2,True,0.5346063080244184,0.08175374240917196,1.0,,,,,,
hf_gpu_fp16,hf,prefill,micro,scenario,2,True,-0.4331936813160004,0.5668723917311178,1.0,,,,,,
hf_gpu_fp16,hf,prefill,short,scenario,2,True,-0.24760011161729853,0.47549006481921935,1.0,,,,,,
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.6777321864338014,0.6984387653505854,0.9174253538147124,0.4070500899890479,1.6193674684196582,-3.125092238403111,1.935406058069569,1000.0,1000.0
ollama,ollama,e2e_kv,medium,scenario,3,True,0.7027114510820318,0.6929815557345325,0.9174848596136939,0.4077816795482031,1.6063557250540803,-3.0689177624804254,1.9353869786425948,1000.0,1000.0
ollama,ollama,e2e_kv,micro,scenario,3,True,0.5971194536957583,0.7179812254066797,0.9201616879600594,0.40616101842930935,1.6474747511292447,-3.2410720051716413,1.9381299611905498,1000.0,1000.0
ollama,ollama,e2e_kv,short,scenario,3,True,0.733365654523611,0.6843535149105445,0.9144575278899011,0.40720757198963137,1.6042719290756478,-3.065286947557258,1.9327012343755603,1000.0,1000.0
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.6733017479588173,0.6986222143378026,0.9175379219500372,0.40658517574420605,1.619108237287841,-3.127694701744467,1.933544868193208,1000.0,1000.0
ollama,ollama,kv_decode,medium,scenario,3,True,0.6984717782088531,0.6931190329068763,0.9176705521187395,0.4073342699539539,1.6055535576229278,-3.0692773266796842,1.9334744562187,1000.0,1000.0
ollama,ollama,kv_decode,micro,scenario,3,True,0.5930313797549742,0.718097064131738,0.9201546564300127,0.4056860083068279,1.6477850429750325,-3.24596304146394,1.9363546961269948,1000.0,1000.0
ollama,ollama,kv_decode,short,scenario,3,True,0.7284020859126175,0.6846505459747954,0.9146244257280881,0.4067352489718363,1.6039861112655607,-3.0678437370897678,1.9308054522339286,1000.0,1000.0
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.2258379521477123,0.6561245937245733,0.892087943364008,0.08757377119764365,1.6590696641180942,-5.36733554881475,0.9000440495122739,1000.0,1000.0
ollama,ollama,prefill,medium,scenario,3,True,-1.3027034873894483,0.6755812736845532,0.8961915145538966,0.08156531216212096,1.6861207830765528,-5.475561077528406,0.9043636807072132,1000.0,1000.0
ollama,ollama,prefill,micro,scenario,3,True,-1.177262439515913,0.6429184528645191,0.8928720344900993,0.09068516889172797,1.6216698400102119,-5.21885617904939,0.8934973787845167,1000.0,1000.0
ollama,ollama,prefill,short,scenario,3,True,-1.1975479295377767,0.6498740546246482,0.8869816207097081,0.09047083253908199,1.669418369267516,-5.407589389866448,0.9022710890450921,1000.0,1000.0
