task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,0,0,True,0,,prefill,ok,,1766546639.5353823,46,23.7272,,84.1841,84.1841,10.5230125,,0,8,7330.050699999902,7308.7089,7191.2057,length,7600.0,23.7272,,46,1938.7032603931352,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,0,1,True,0,,kv_decode,ok,,1766546639.5353823,46,23.7272,,84.1841,84.1841,10.5230125,,8,8,7330.050699999902,7308.7089,7191.2057,length,7600.0,84.1841,,8,95.02982154587387,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,0,2,True,0,,e2e_kv,ok,,1766546639.5353823,46,23.7272,,84.1841,84.1841,10.5230125,,8,8,7330.050699999902,7308.7089,7191.2057,length,7600.0,107.9113,,54,500.4109856891725,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,3,False,,0,prefill,ok,,1766546646.8655362,46,11.75,,79.2889,79.2889,9.9111125,,0,8,349.9317999999221,346.5961,244.6654,length,7600.0,11.75,,46,3914.8936170212764,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,4,False,,0,kv_decode,ok,,1766546646.8655362,46,11.75,,79.2889,79.2889,9.9111125,,8,8,349.9317999999221,346.5961,244.6654,length,7600.0,79.2889,,8,100.89684684741496,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,5,False,,0,e2e_kv,ok,,1766546646.8655362,46,11.75,,79.2889,79.2889,9.9111125,,8,8,349.9317999999221,346.5961,244.6654,length,7600.0,91.0389,,54,593.1530367787836,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,2,6,False,,1,prefill,ok,,1766546647.2155542,46,11.6414,,78.9401,78.9401,9.8675125,,0,8,354.1144999999233,350.7482,250.1351,length,7600.0,11.6414,,46,3951.4147782912705,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,2,7,False,,1,kv_decode,ok,,1766546647.2155542,46,11.6414,,78.9401,78.9401,9.8675125,,8,8,354.1144999999233,350.7482,250.1351,length,7600.0,78.9401,,8,101.34266361456345,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,2,8,False,,1,e2e_kv,ok,,1766546647.2155542,46,11.6414,,78.9401,78.9401,9.8675125,,8,8,354.1144999999233,350.7482,250.1351,length,7600.0,90.5815,,54,596.1482201111705,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,8,3,9,False,,2,prefill,ok,,1766546647.570027,46,11.3169,,81.2175,81.2175,10.1521875,,0,8,361.9570000000749,346.6229,244.3237,length,7600.0,11.3169,,46,4064.7173695976808,,
