backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,1751.5112999996443,1756.9808999996894,1781.5526999992471,1783.7368599992078,82.52793186313274,145.0,17.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,1174.36449999938,1219.50089999973,1243.2934799995564,1245.408375999541,118.90110126202624,145.0,17.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,2825.9737333334365,2633.1245000001218,3200.2147700000023,3250.6227939999917,55.067658213652,145.0,17.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,2701.494966666966,2554.023400000005,2970.1633300005597,3007.153546000609,56.77316817065955,145.0,17.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,2040.4778666667578,2042.00739999942,2055.0463300004594,2056.205346000552,71.00855755960589,145.0,17.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,5218.539800000144,5679.590900000221,5786.637440000504,5796.152688000529,25.53000780390615,145.0,17.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,1156.2996333332194,1163.0740999999034,1164.442190000409,1164.563798000454,117.79129119977082,137.0,9.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,1105.2147333339235,1176.4837000000623,1195.9029100005864,1197.629062000633,116.44870217920804,137.0,9.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,3393.7133666665127,3607.066800001121,4096.3540499999,4139.846249999791,37.98099885479177,137.0,9.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,3342.057533333294,3362.6925999997184,3382.5585700002193,3384.324434000264,40.74116081856887,137.0,9.0,128.0,,,,51.476,51.475968
