backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,e2e_kv,2,1429.5100485775397,1460.0274999997964,98.59549510096855,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,2,1197.7992031159017,1197.9922999998962,117.66851290656123,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,e2e_kv,2,3081.859173327035,3120.0956500006214,45.73318995596941,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,e2e_kv,2,2930.596455912369,2958.357999999862,48.09370826439252,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,e2e_kv,2,2064.2275554068483,2064.3484499996703,68.27893108109058,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,2,5576.097370228603,5577.04030000059,25.276325292277626,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,kv_decode,2,1413.08421295754,1442.9400999997597,90.58200411998095,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,2,1189.1412570296416,1189.3247499997415,107.64070226587833,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,kv_decode,2,3047.0887684239506,3084.470750000037,42.00730918193945,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,kv_decode,2,2899.0281238084985,2926.7659999995885,44.152727925883106,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,kv_decode,2,2043.4413328364174,2043.5795499997766,62.6394298398224,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,2,5518.381234730326,5519.16970000002,23.19520789800146,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,prefill,2,17.134652241326798,17.81985000025088,721.8889944564861,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,2,8.64551510802723,8.667550000154733,1430.7206363410626,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,prefill,2,35.05135639588695,35.258450000128505,352.891247264384,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,prefill,2,35.380717397067905,35.4114000001573,349.6061636635456,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,prefill,2,20.81859781251828,20.861299999978655,594.1474535530573,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,2,56.32999827859554,56.358950000230834,219.58667237440895,,,96.088,96.08832
