task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,gen_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gpu_peak_mb,hf_load_ms,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,kv_decode_ms_equiv,kv_decode_ms_per_token,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,0,True,0,,prefill,ok,,1766547823.8236904,17,0,106.85929999999644,,2733.126099999936,,,7553.77210000006,45.1712,106.85929999999644,,17,159.0876975611909,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,1,True,0,,kv_decode,ok,,1766547823.8236904,17,128,106.85929999999644,,2733.126099999936,,,7553.77210000006,45.1712,2733.126099999936,,128,46.832819019950456,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,2,True,0,,e2e_kv,ok,,1766547823.8236904,17,128,106.85929999999644,,2733.126099999936,,,7553.77210000006,45.1712,2839.9853999999323,,145,51.056600502243235,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,3,False,,0,prefill,ok,,1766547834.2200282,17,0,31.442600000445964,,2550.129299999753,,,,45.1712,31.442600000445964,,17,540.6677564755739,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,4,False,,0,kv_decode,ok,,1766547834.2200282,17,128,31.442600000445964,,2550.129299999753,,,,45.1712,2550.129299999753,,128,50.193533323981804,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,5,False,,0,e2e_kv,ok,,1766547834.2200282,17,128,31.442600000445964,,2550.129299999753,,,,45.1712,2581.571900000199,,145,56.16732968002511,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,6,False,,1,prefill,ok,,1766547836.8022704,17,0,27.41240000068501,,2605.7120999994368,,,,45.1712,27.41240000068501,,17,620.1573010599285,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,7,False,,1,kv_decode,ok,,1766547836.8022704,17,128,27.41240000068501,,2605.7120999994368,,,,45.1712,2605.7120999994368,,128,49.12284822257519,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,8,False,,1,e2e_kv,ok,,1766547836.8022704,17,128,27.41240000068501,,2605.7120999994368,,,,45.1712,2633.1245000001218,,145,55.067658213651995,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,3,9,False,,2,prefill,ok,,1766547839.4359882,17,0,32.98240000003716,,3230.242399999952,,,,45.1712,32.98240000003716,,17,515.4264092358605,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,3,10,False,,2,kv_decode,ok,,1766547839.4359882,17,128,32.98240000003716,,3230.242399999952,,,,45.1712,3230.242399999952,,128,39.62550921875148,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,128,3,11,False,,2,e2e_kv,ok,,1766547839.4359882,17,128,32.98240000003716,,3230.242399999952,,,,45.1712,3263.224799999989,,145,44.43457281888777,,,,,,,
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,4,12,True,0,,prefill,ok,,1766547842.6999204,92,0,822.2523,,6081.896,,,,20900.0,822.2523,,92,111.8877989152478,6081.896,47.5148125,128,16432.816800000182,16304.7145,9219.5129,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,4,13,True,0,,kv_decode,ok,,1766547842.6999204,92,128,822.2523,,6081.896,,,,20900.0,6081.896,,128,21.04606852862989,6081.896,47.5148125,128,16432.816800000182,16304.7145,9219.5129,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,4,14,True,0,,e2e_kv,ok,,1766547842.6999204,92,128,822.2523,,6081.896,,,,20900.0,6904.1483,,220,31.86490070035141,6081.896,47.5148125,128,16432.816800000182,16304.7145,9219.5129,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,5,15,False,,0,prefill,ok,,1766547859.132899,92,0,61.7148,,7333.5018,,,,20900.0,61.7148,,92,1490.7283180047573,7333.5018,57.2929828125,128,7743.8867999999275,7729.2166,290.3372,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,5,16,False,,0,kv_decode,ok,,1766547859.132899,92,128,61.7148,,7333.5018,,,,20900.0,7333.5018,,128,17.454144485244417,7333.5018,57.2929828125,128,7743.8867999999275,7729.2166,290.3372,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,5,17,False,,0,e2e_kv,ok,,1766547859.132899,92,128,61.7148,,7333.5018,,,,20900.0,7395.2166,,220,29.748959618032014,7333.5018,57.2929828125,128,7743.8867999999275,7729.2166,290.3372,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,6,18,False,,1,prefill,ok,,1766547866.876959,92,0,65.1733,,7151.1204,,,,20900.0,65.1733,,92,1411.6210165819436,7151.1204,55.868128125,128,7484.897000000274,7481.5839,235.5268,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,6,19,False,,1,kv_decode,ok,,1766547866.876959,92,128,65.1733,,7151.1204,,,,20900.0,7151.1204,,128,17.89929309538684,7151.1204,55.868128125,128,7484.897000000274,7481.5839,235.5268,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,6,20,False,,1,e2e_kv,ok,,1766547866.876959,92,128,65.1733,,7151.1204,,,,20900.0,7216.2937,,220,30.486564037713705,7151.1204,55.868128125,128,7484.897000000274,7481.5839,235.5268,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,7,21,False,,2,prefill,ok,,1766547874.3629224,92,0,59.5824,,7143.8398,,,,20900.0,59.5824,,92,1544.0801310454094,7143.8398,55.8112484375,128,7492.379100000107,7478.0901,237.119,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,7,22,False,,2,kv_decode,ok,,1766547874.3629224,92,128,59.5824,,7143.8398,,,,20900.0,7143.8398,,128,17.91753504886826,7143.8398,55.8112484375,128,7492.379100000107,7478.0901,237.119,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,128,7,23,False,,2,e2e_kv,ok,,1766547874.3629224,92,128,59.5824,,7143.8398,,,,20900.0,7203.4222,,220,30.541039229937123,7143.8398,55.8112484375,128,7492.379100000107,7478.0901,237.119,length
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,8,24,True,0,,prefill,ok,,1766547881.8555298,9,0,742.0178000002124,,4313.73480000002,,,289.5338999996966,96.08832,742.0178000002124,,9,12.129089086538656,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,8,25,True,0,,kv_decode,ok,,1766547881.8555298,9,128,742.0178000002124,,4313.73480000002,,,289.5338999996966,96.08832,4313.73480000002,,128,29.672663233724847,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,8,26,True,0,,e2e_kv,ok,,1766547881.8555298,9,128,742.0178000002124,,4313.73480000002,,,289.5338999996966,96.08832,5055.752600000233,,137,27.097844938060003,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,9,27,False,,0,prefill,ok,,1766547887.2020254,9,0,48.608400000375696,,5425.881300000583,,,,96.08832,48.608400000375696,,9,185.15318339896888,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,9,28,False,,0,kv_decode,ok,,1766547887.2020254,9,128,48.608400000375696,,5425.881300000583,,,,96.08832,5425.881300000583,,128,23.590637708935184,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,9,29,False,,0,e2e_kv,ok,,1766547887.2020254,9,128,48.608400000375696,,5425.881300000583,,,,96.08832,5474.489700000959,,137,25.02516353258935,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,10,30,False,,1,prefill,ok,,1766547892.679267,9,0,54.55270000038581,,5366.496200000256,,,,96.08832,54.55270000038581,,9,164.97808540982115,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,10,31,False,,1,kv_decode,ok,,1766547892.679267,9,128,54.55270000038581,,5366.496200000256,,,,96.08832,5366.496200000256,,128,23.85168930148388,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,10,32,False,,1,e2e_kv,ok,,1766547892.679267,9,128,54.55270000038581,,5366.496200000256,,,,96.08832,5421.048900000642,,137,25.27186205606516,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,11,33,False,,2,prefill,ok,,1766547898.1008809,9,0,56.604099999276514,,5482.255500000065,,,,96.08832,56.604099999276514,,9,158.99908310731968,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,11,34,False,,2,kv_decode,ok,,1766547898.1008809,9,128,56.604099999276514,,5482.255500000065,,,,96.08832,5482.255500000065,,128,23.348054464079336,,,,,,,
2,short,hf_cpu_fp32,hf,models/gpt2-100m,hf,96.088,96.088,Summarize RLHF in one sentence.,31,128,11,35,False,,2,e2e_kv,ok,,1766547898.1008809,9,128,56.604099999276514,,5482.255500000065,,,,96.08832,5538.859599999341,,137,24.734333399607436,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,12,36,True,0,,prefill,ok,,1766547903.6402159,17,0,878.1260999994629,749.0723876953125,689.0714999999545,688.9953002929688,209.9267578125,426.0260000000926,96.08832,878.1260999994629,749.0723876953125,17,19.35940635406509,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,12,37,True,0,,kv_decode,ok,,1766547903.6402159,17,128,878.1260999994629,749.0723876953125,689.0714999999545,688.9953002929688,209.9267578125,426.0260000000926,96.08832,689.0714999999545,688.9953002929688,128,185.75721097158777,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,12,38,True,0,,e2e_kv,ok,,1766547903.6402159,17,128,878.1260999994629,749.0723876953125,689.0714999999545,688.9953002929688,209.9267578125,426.0260000000926,96.08832,1567.1975999994174,1438.0676879882812,145,92.52183642959503,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,13,39,False,,0,prefill,ok,,1766547905.6398225,17,0,13.469500000610424,13.34067153930664,516.2523999997575,516.2247314453125,209.9267578125,,96.08832,13.469500000610424,13.34067153930664,17,1262.1106944748935,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,13,40,False,,0,kv_decode,ok,,1766547905.6398225,17,128,13.469500000610424,13.34067153930664,516.2523999997575,516.2247314453125,209.9267578125,,96.08832,516.2523999997575,516.2247314453125,128,247.94073596570232,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,13,41,False,,0,e2e_kv,ok,,1766547905.6398225,17,128,13.469500000610424,13.34067153930664,516.2523999997575,516.2247314453125,209.9267578125,,96.08832,529.7219000003679,529.5654029846191,145,273.7285356710744,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,14,42,False,,1,prefill,ok,,1766547906.1706176,17,0,5.222499999945285,5.174272060394287,519.0452000006189,519.0113525390625,209.9267578125,,96.08832,5.222499999945285,5.174272060394287,17,3255.1460029062914,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,14,43,False,,1,kv_decode,ok,,1766547906.1706176,17,128,5.222499999945285,5.174272060394287,519.0452000006189,519.0113525390625,209.9267578125,,96.08832,519.0452000006189,519.0113525390625,128,246.6066539096159,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,14,44,False,,1,e2e_kv,ok,,1766547906.1706176,17,128,5.222499999945285,5.174272060394287,519.0452000006189,519.0113525390625,209.9267578125,,96.08832,524.2677000005642,524.1856245994568,145,276.5762605627697,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,15,45,False,,2,prefill,ok,,1766547906.6956465,17,0,4.994099999748869,4.943871974945068,513.9717999991262,513.9353637695312,209.9267578125,,96.08832,4.994099999748869,4.943871974945068,17,3404.0167399240813,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,15,46,False,,2,kv_decode,ok,,1766547906.6956465,17,128,4.994099999748869,4.943871974945068,513.9717999991262,513.9353637695312,209.9267578125,,96.08832,513.9717999991262,513.9353637695312,128,249.04090068797083,,,,,,,
3,medium,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,128,15,47,False,,2,e2e_kv,ok,,1766547906.6956465,17,128,4.994099999748869,4.943871974945068,513.9717999991262,513.9353637695312,209.9267578125,,96.08832,518.9658999988751,518.8792357444763,145,279.40178728566616,,,,,,,
4,medium,hf_gpu_fp16,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,128,16,48,True,0,,prefill,ok,,1766547907.2154398,17,0,10.625699999764038,10.532575607299805,559.5582999994804,559.5349731445312,317.77099609375,363.0558999993809,51.475968,10.625699999764038,10.532575607299805,17,1599.89459521514,,,,,,,
