backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
hf_cpu_fp32,models/gpt2-100m,medium,e2e_kv,1,429.67589999989286,3,475.5666000000929,0.9035031055583149,-45.89070000020001
hf_cpu_fp32,models/gpt2-25m,medium,e2e_kv,1,136.22309999982463,3,134.38639999958468,1.0136673056220393,1.8367000002399436
hf_cpu_fp32,models/gpt2-45m,medium,e2e_kv,1,434.9591000000146,3,180.2520999999615,2.4130598201081015,254.70700000005309
hf_cpu_fp32,models/gpt2-50m,medium,e2e_kv,1,362.5927000002776,3,282.6700999999048,1.282741612927578,79.92260000037282
hf_cpu_fp32,models/gpt2-5m,medium,e2e_kv,1,206.53230000016265,3,162.82730000011725,1.2684132206332348,43.7050000000454
hf_cpu_fp32,models/gpt2-75m,medium,e2e_kv,1,388.3442999999716,3,384.0221000000384,1.0112550814131083,4.322199999933218
hf_cpu_fp32,models/gpt2-100m,short,e2e_kv,1,521.2492000000566,3,486.3662000002478,1.071721678027361,34.88299999980882
hf_cpu_fp32,models/gpt2-25m,short,e2e_kv,1,167.93170000028113,3,143.19670000077167,1.1727344275348257,24.734999999509455
hf_cpu_fp32,models/gpt2-45m,short,e2e_kv,1,256.90020000001823,3,270.01749999999447,0.9514205560751562,-13.11729999997624
hf_cpu_fp32,models/gpt2-50m,short,e2e_kv,1,436.7828999997983,3,322.0219999998335,1.3563759618908775,114.7608999999648
hf_cpu_fp32,models/gpt2-5m,short,e2e_kv,1,274.25329999960013,3,170.39939999995113,1.6094733901626344,103.853899999649
hf_cpu_fp32,models/gpt2-75m,short,e2e_kv,1,865.5047999995986,3,358.88089999980366,2.411676965812536,506.62389999979496
hf_cpu_fp32,models/gpt2-100m,medium,kv_decode,1,355.7267999999567,3,394.77860000033616,0.9010792378301504,-39.051800000379444
hf_cpu_fp32,models/gpt2-25m,medium,kv_decode,1,114.13319999974192,3,113.16999999962718,1.0085110895123965,0.9632000001147389
hf_cpu_fp32,models/gpt2-45m,medium,kv_decode,1,149.26869999999326,3,141.64419999997335,1.0538285365727742,7.624500000019907
hf_cpu_fp32,models/gpt2-50m,medium,kv_decode,1,260.2217000003293,3,224.60840000030657,1.1585572934938058,35.61330000002272
hf_cpu_fp32,models/gpt2-5m,medium,kv_decode,1,136.66220000004614,3,135.44020000017554,1.009022432039151,1.2219999998706044
hf_cpu_fp32,models/gpt2-75m,medium,kv_decode,1,327.7839000002132,3,332.83769999979995,0.9848160229457487,-5.053799999586772
hf_cpu_fp32,models/gpt2-100m,short,kv_decode,1,296.02139999997235,3,432.24129999998695,0.6848521878866765,-136.2199000000146
hf_cpu_fp32,models/gpt2-25m,short,kv_decode,1,125.86460000011355,3,122.8268000004391,1.024732387391543,3.037799999674448
hf_cpu_fp32,models/gpt2-45m,short,kv_decode,1,212.15699999993376,3,225.24250000014945,0.9419048358981675,-13.085500000215688
hf_cpu_fp32,models/gpt2-50m,short,kv_decode,1,294.42199999994045,3,275.8890000000065,1.067175566985032,18.532999999933963
hf_cpu_fp32,models/gpt2-5m,short,kv_decode,1,212.58259999967777,3,136.4664000002449,1.5577651348558785,76.11619999943287
hf_cpu_fp32,models/gpt2-75m,short,kv_decode,1,314.94359999987864,3,314.5245000000614,1.0013324876116716,0.41909999981726287
hf_cpu_fp32,models/gpt2-100m,medium,prefill,1,73.94909999993615,3,80.78799999975672,0.9153475763746948,-6.838899999820569
hf_cpu_fp32,models/gpt2-25m,medium,prefill,1,22.089900000082707,3,21.216399999957503,1.0411709809452572,0.8735000001252047
hf_cpu_fp32,models/gpt2-45m,medium,prefill,1,285.6904000000213,3,36.58730000006472,7.8084581261671655,249.1030999999566
hf_cpu_fp32,models/gpt2-50m,medium,prefill,1,102.37099999994824,3,56.11700000008568,1.8242422082397836,46.25399999986256
hf_cpu_fp32,models/gpt2-5m,medium,prefill,1,69.87010000011651,3,31.22499999972206,2.237633306668965,38.64510000039445
hf_cpu_fp32,models/gpt2-75m,medium,prefill,1,60.56039999975837,3,64.48409999984506,0.9391524422284545,-3.92370000008669
hf_cpu_fp32,models/gpt2-100m,short,prefill,1,225.22780000008424,3,53.635400000075606,4.199237816810665,171.59240000000864
hf_cpu_fp32,models/gpt2-25m,short,prefill,1,42.06710000016756,3,22.2806000001583,1.888059567510241,19.786500000009255
hf_cpu_fp32,models/gpt2-45m,short,prefill,1,44.74320000008447,3,44.40389999990657,1.0076412207076093,0.3393000001779001
hf_cpu_fp32,models/gpt2-50m,short,prefill,1,142.3608999998578,3,46.22670000026119,3.07962497861741,96.1341999995966
hf_cpu_fp32,models/gpt2-5m,short,prefill,1,61.67069999992236,3,33.932999999706226,1.8174255149988587,27.737700000216137
hf_cpu_fp32,models/gpt2-75m,short,prefill,1,550.56119999972,3,44.35639999974228,12.412215599167626,506.2047999999777
hf_gpu_fp16,models/gpt2-100m,medium,e2e_kv,1,323.05760000008377,3,42.888200000106735,7.532552077244552,280.16939999997703
hf_gpu_fp16,models/gpt2-25m,medium,e2e_kv,1,46.94040000003952,3,42.14139999976396,1.1138785137727374,4.799000000275555
hf_gpu_fp16,models/gpt2-45m,medium,e2e_kv,1,42.406600000049366,3,41.37460000038118,1.0249428393182938,1.0319999996681872
hf_gpu_fp16,models/gpt2-50m,medium,e2e_kv,1,104.70019999957005,3,43.082399999548215,2.430231370598388,61.61780000002183
hf_gpu_fp16,models/gpt2-5m,medium,e2e_kv,1,153.62400000003618,3,121.6604000001098,1.2627280528413314,31.963599999926373
hf_gpu_fp16,models/gpt2-75m,medium,e2e_kv,1,75.92970000041532,3,24.13139999998748,3.1465103558208276,51.798300000427844
hf_gpu_fp16,models/gpt2-100m,short,e2e_kv,1,36.46070000013424,3,38.1614000002628,0.9554340249540937,-1.7007000001285633
hf_gpu_fp16,models/gpt2-25m,short,e2e_kv,1,17.333000000235188,3,19.92359999985638,0.8699732980164295,-2.5905999996211904
hf_gpu_fp16,models/gpt2-45m,short,e2e_kv,1,59.89420000014434,3,30.83699999979217,1.9422836203440024,29.057200000352168
hf_gpu_fp16,models/gpt2-50m,short,e2e_kv,1,36.1932999999226,3,35.82929999993212,1.010159283044636,0.36399999999048305
hf_gpu_fp16,models/gpt2-5m,short,e2e_kv,1,181.5074999999524,3,152.63789999971775,1.1891378222596618,28.86960000023464
hf_gpu_fp16,models/gpt2-75m,short,e2e_kv,1,79.31439999993017,3,81.2036000002081,0.9767350215966647,-1.8892000002779241
hf_gpu_fp16,models/gpt2-100m,medium,kv_decode,1,77.66979999996693,3,35.27140000005602,2.2020617270605523,42.39839999991091
hf_gpu_fp16,models/gpt2-25m,medium,kv_decode,1,41.18040000003021,3,37.084000000049855,1.1104627332535555,4.096399999980356
hf_gpu_fp16,models/gpt2-45m,medium,kv_decode,1,35.73679999999513,3,35.7970000000023,0.9983182948289754,-0.060200000007171184
