backend,backend_kind,batch_size,model,model_kind,kv_decode_latency_ms,e2e_kv_latency_ms,gen_tokens_target,decode_fraction
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,1258.28534567079,1271.230131811459,128,0.9898171182253028
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,899.3326004810413,908.0745042671678,128,0.9903731425725014
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,1378.5821939729806,1394.694320782191,128,0.988447556881013
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,1665.2245630721634,1683.3042085818734,128,0.9892594306973536
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,1751.2711888930914,1769.9418671836795,128,0.9894512477292281
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,2561.6739418060024,2591.494223591186,128,0.9884930163016687
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,805.2772839401717,812.374016176851,128,0.9912642057779278
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,238.2971023959998,240.74342684698368,128,0.9898384579673747
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,435.3752919504637,439.482634673799,128,0.9906541410302049
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,581.1267850066913,586.9441581185743,128,0.9900887111126034
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,393.0284513522246,397.0003430422914,128,0.9899952436825887
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,550.2777423142278,556.1866970478134,128,0.9893759509802199
ollama,ollama,1,gemma3:270m,ollama,257.3822248296101,259.6942010758423,128,0.9910973127753554
ollama,ollama,1,qwen2.5:7b,ollama,1446.6004051561831,1458.556186848331,128,0.9918030023114968
ollama,ollama,1,gpt-oss-20b:latest,ollama,6589.598707987667,6647.373597499053,128,0.9913086140467382
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,355.61137140762315,373.08705737458695,32,0.9531592275273761
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,200.82544074625855,208.1474955316246,32,0.9648227581760475
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,551.37736246729,577.9704928313029,32,0.9539887750432706
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,393.57463756657353,412.8554092316193,32,0.9532989728754433
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,477.4309134984843,498.1435587247682,32,0.9584203291129416
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,639.405094227531,669.5718989521179,32,0.9549461308459958
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,220.26335852844068,227.6714220784064,32,0.9674616010989094
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,66.5196514023254,69.03933350741944,32,0.9635036728038044
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,115.61010335542586,120.0208470890454,32,0.9632501866084386
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,146.32376291774915,152.38177243419,32,0.9602445264963881
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,106.11571102491678,110.22047182730056,32,0.962758635176092
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,146.22909196045094,152.3007764227139,32,0.960133594818907
ollama,ollama,1,gemma3:270m,ollama,63.39990528478725,65.90409981784143,32,0.9620024468891047
ollama,ollama,1,qwen2.5:7b,ollama,366.3272870150816,378.4348572110002,32,0.9680061971956038
ollama,ollama,1,gpt-oss-20b:latest,ollama,1457.492692129185,1514.5070375795422,32,0.9623545193018868
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,623.6576995176584,637.1739539986447,64,0.9787871830036935
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,417.8275631381719,425.5373821656662,64,0.9818821580650398
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,658.4976663539301,673.3889364076621,64,0.9778860785370596
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,769.9180852649631,787.2718109356581,64,0.9779571357317235
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,924.5546929557528,942.7132012338982,64,0.9807380354339177
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,1246.031769435455,1271.1932301137062,64,0.9802064233177198
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,393.364895720252,400.192589590997,64,0.9829389797604123
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,123.77786810299332,126.14521761544286,64,0.9812331410005057
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,215.94992511994792,219.9481674086104,64,0.9818218886032603
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,295.2671032196337,300.9071875364176,64,0.9812563988153281
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,195.35521996572,199.47011644612,64,0.9793708623942601
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,277.4638740037053,283.0198994448588,64,0.9803687816579272
ollama,ollama,1,gemma3:270m,ollama,127.17145722579944,129.57770216350238,64,0.9814301002600995
ollama,ollama,1,qwen2.5:7b,ollama,719.5750699996689,731.2319983941148,64,0.984058508899985
ollama,ollama,1,gpt-oss-20b:latest,ollama,3132.2756720282714,3186.549136388562,64,0.9829679499554804
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,155.19275009377972,185.9820821643316,8,0.834450008773712
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,97.84866494831743,114.77098536401104,8,0.8525557625734216
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,175.2994218939641,211.18199669701687,8,0.8300869611791125
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,168.61265883623415,196.6432926703025,8,0.8574544117247606
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,280.46443325585534,326.3528031076857,8,0.8593902996546694
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,234.0568035496833,279.69997445514696,8,0.8368138181121534
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,89.03165112591572,101.24373909496376,8,0.8793793267789779
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,26.447310500398054,30.46310177075127,8,0.8681752337442892
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,36.512241833232125,42.349284622240994,8,0.8621690344695133
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,49.06493332124448,56.09648053221123,8,0.8746526137779864
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,40.18231255240881,45.99726585613261,8,0.8735804575447713
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,46.66971993167143,53.66989975471312,8,0.8695697242768381
ollama,ollama,1,gemma3:270m,ollama,12.066908871786508,14.535868792404536,8,0.8301470688901553
ollama,ollama,1,qwen2.5:7b,ollama,79.99511022493809,91.89649908456794,8,0.8704913791255794
ollama,ollama,1,gpt-oss-20b:latest,ollama,219.3804872411172,260.10843416331204,8,0.8434193529586844
