backend,backend_kind,gen_tokens_target,n_models,decode_fraction_median,decode_fraction_p25,decode_fraction_p75
hf_cpu_fp32,hf,8,6,0.8446847903427874,0.8350409611083224,0.8562297494369258
hf_cpu_fp32,hf,32,6,0.9544674529446332,0.9534714234174001,0.9575517795462052
hf_cpu_fp32,hf,64,6,0.9794968031607066,0.978164647549716,0.9806051324048682
hf_cpu_fp32,hf,128,6,0.9893553392132908,0.98868461990059,0.9897256506012841
hf_gpu_fp16,hf,8,6,0.8715750909108047,0.8685238563774265,0.8743845747196827
hf_gpu_fp16,hf,32,6,0.9630044108922653,0.9608730536663141,0.963440301254963
hf_gpu_fp16,hf,64,6,0.981244769907917,0.9805848714935719,0.9816805161562772
hf_gpu_fp16,hf,128,6,0.9900419773975961,0.9898776543961783,0.9905127835508045
ollama,ollama,8,3,0.8434193529586844,0.8367832109244199,0.8569553660421318
ollama,ollama,32,3,0.9623545193018868,0.9621784830954958,0.9651803582487453
ollama,ollama,64,3,0.9829679499554804,0.9821990251077899,0.9835132294277327
ollama,ollama,128,3,0.9913086140467382,0.9912029634110469,0.9915558081791175
