backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
hf_cpu_fp32,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.0333795778851336,0.1831643331408504,0.2886432973803053,0.8285714285714287,0.0415626822157433,0.3722763721303662,1.6825401120220025,-0.5459318666741295,1.0318814227645654,0.0170898985430325,0.956341967882356,0.7230824916610266,2.2435004733520683,1000,1000,8
hf_cpu_fp32,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,1.9532925291145289,0.1876475330493379,0.3026545145833507,0.8285714285714287,0.0415626822157433,0.3829693401984912,1.5907086701530333,-0.2976638275468539,0.98668549697916,0.0250288387190701,0.9654117041953818,0.6392418651889465,2.1609730274634376,1000,1000,8
hf_cpu_fp32,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,1.3002623611094684,0.1286088032093264,0.1684093864547444,0.6571428571428573,0.1561749271137023,0.1445374051202962,1.282335697733045,-0.7339819659708515,1.1093185120044649,-0.0108011150562963,0.906037821597185,-0.0183083672368144,1.4827996329852051,1000,1000,8
hf_gpu_fp16,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.036402141860367,-0.2103304390582905,0.3170136466867994,-0.0285714285714285,0.9571545189504372,0.1637256390392377,1.4206429898570303,-0.5306780337261991,0.8461190993052417,-0.382041337792694,0.5590961065093274,0.7043014699199381,2.2292435288902093,1000,1000,8
hf_gpu_fp16,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,1.9814378043748488,-0.2134832076620956,0.3183517249859755,-0.0285714285714285,0.9571545189504372,0.1897791169187695,1.3170925744814996,-0.5339573161891804,0.8564201668884625,-0.3871342970489331,0.5665660578591094,0.6593347799415825,2.177108098022896,1000,1000,8
hf_gpu_fp16,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,1.1103099697645702,-0.1917400381412471,0.3191840394281954,-0.0285714285714285,0.9571545189504372,0.0395755086975101,0.7314481336505017,-0.4494537494635993,0.770877846891377,-0.3466233446045484,0.6476576946812533,-0.3041739798015571,1.283808947229688,1000,1000,8
ollama,ollama,1.0,e2e_kv,__all__,geomean_across_scenarios,3,True,-0.4009098844105586,0.6344398525630973,0.9804185313702396,1.0,0.0,0.6621633797790278,-0.6064336778631445,0.5513588445161735,1.028504079756572,0.2393531522747775,1.0285040797565723,-2.028133645741659,1.2075772173343826,1000,1000,8
ollama,ollama,1.0,kv_decode,__all__,geomean_across_scenarios,3,True,-0.4948401253518335,0.6407200469431885,0.9842208281340834,1.0,0.0,0.6658045379798742,-0.6807998596429519,0.5655476208142961,0.9972728224223892,0.2227067191218517,0.9972728224223903,-1.967166483317464,1.170598998355057,1000,1000,8
ollama,ollama,1.0,prefill,__all__,geomean_across_scenarios,3,True,-1.1517270628581833,0.6099870899038801,0.9519363102584824,1.0,0.0,0.6523676219439875,-1.4659081425447795,0.482982423577228,1.2123870470362028,0.0750050232518649,1.2123870470362044,-3.6392391393839287,0.7992251295993383,1000,1000,8
hf_cpu_fp32,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.320406262411636,0.2004171666090277,0.2673072009742656,0.7714285714285715,0.0723965014577259,0.1995305197044133,2.320719878795624,-0.364099253320176,1.1824349702005583,0.0092172074216633,1.009128020368632,0.9827994922560962,2.532774685385725,1000,1000,32
hf_cpu_fp32,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.3005667657729854,0.2007343479555559,0.2724972240640245,0.7714285714285715,0.0723965014577259,0.1999270795521549,2.300444947186281,-0.3565108304450006,1.1679158912359644,0.0135259801594456,1.0000767422847954,0.9788479201800964,2.5120491403830023,1000,1000,32
