backend,backend_kind,batch_size,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_per_s_compute_median,tokens_total_median,tokens_total_compute_median,prompt_tokens_median,prompt_tokens_raw_median,prompt_tokens_compute_median,gen_tokens_median,gen_tokens_raw_median,gen_tokens_target_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,1341.2993333325478,1326.390399999582,1409.5301499988636,1416.9203499987998,109.31924718397066,109.31924718397063,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,912.8830333332493,884.076999998797,1030.8441400013178,1043.8901080015419,164.0128631331856,164.0128631331856,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,1327.4397000004683,1332.2624000011274,1334.179579999909,1334.3499959998007,108.83741821421764,108.83741821421764,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,1727.4261333344232,1746.5716000006068,1759.4549200011895,1760.6001040012413,83.01978573334733,83.01978573334733,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,1794.6489333341258,1788.2464000012988,1812.1650700002644,1814.2911740001725,81.08502273506308,81.08502273506308,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,2654.161266667264,2710.109900001044,2711.903689999963,2712.0631379998667,53.50336530630886,53.50336530630885,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,1229.6418333329104,1218.3637999987695,1252.1501600009287,1255.1533920011207,112.4458884941742,112.4458884941742,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,942.4970666659647,932.723399999304,961.9447800001581,964.542236000234,146.8817014777395,146.8817014777395,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,1461.2419666676335,1460.0519000014174,1466.0854100002325,1466.6217220001272,93.83228089348536,93.83228089348536,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,1620.93939999977,1622.328600000401,1630.1934300006906,1630.8925260007163,84.44651718521521,84.44651718521521,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,1751.0982666669104,1751.824700000725,1761.4999699990221,1762.3599939988708,78.20417191283083,78.20417191283083,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,2478.2132333330082,2478.070099999968,2518.7392099993303,2522.3542419992737,55.28495743522419,55.28495743522419,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,medium,kv_decode,3,1327.3820333330757,1313.8245999998617,1393.8742899998033,1400.989817999798,97.42548586775852,97.42548586775851,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,medium,kv_decode,3,904.4610333336701,875.6885999991937,1021.9358100011959,1034.935562001374,146.17068213531368,146.17068213531368,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,medium,kv_decode,3,1311.3689999997102,1315.4131999999663,1317.761929999142,1317.9707059990687,97.30782692465247,97.30782692465247,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,medium,kv_decode,3,1706.0268666670406,1724.4055999999546,1737.6419000001988,1738.8184600002205,74.22847617753234,74.22847617753234,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,medium,kv_decode,3,1774.6388666667674,1766.949900000327,1791.0864600000423,1793.231932000017,72.44121635818668,72.44121635818668,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,medium,kv_decode,3,2622.533766666796,2673.913200000243,2681.53538999959,2682.212917999532,47.86991589704122,47.869915897041224,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,short,kv_decode,3,1216.5267000000313,1205.093900000065,1238.8950200000181,1241.899564000014,106.2157894915849,106.21578949158491,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,short,kv_decode,3,933.0162333329403,923.6149999996996,951.8184799997472,954.3254559997514,138.58588264595272,138.58588264595272,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,short,kv_decode,3,1446.8689666670496,1444.784700001037,1452.569339999718,1453.2613079996008,88.59451515503184,88.59451515503184,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,short,kv_decode,3,1606.7085999996682,1608.0746000006911,1616.132299999481,1616.8485399993733,79.59829724314095,79.59829724314095,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,short,kv_decode,3,1735.6190333333263,1735.7315999997809,1745.8948499992403,1746.7982499991922,73.7441203467265,73.7441203467265,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,short,kv_decode,3,2455.7917666667586,2454.146000000037,2497.037569999702,2500.8501539996723,52.15663615775022,52.15663615775022,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,medium,prefill,3,13.917299999472258,13.186899999709569,15.717969999059278,15.942953999001475,1289.1581797370432,1289.158179737043,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,medium,prefill,3,8.42199999957908,8.38839999960328,8.908330000122078,8.954546000168193,2026.6081732873963,2026.6081732873965,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,medium,prefill,3,16.070700000758126,16.369700000723242,16.801250001117296,16.839610001152323,1038.504065392091,1038.504065392091,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,medium,prefill,3,21.399266667382715,21.773800001028576,22.126780000689905,22.1581560006598,780.7548521248902,780.7548521248902,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,medium,prefill,3,20.010066667358235,21.05440000013914,21.27229000088846,21.291658000955067,807.4321756919054,807.4321756919054,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,medium,prefill,3,31.62750000046799,29.72070000032545,35.549100000753235,36.06718000079126,571.9919113551782,571.9919113551782,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,short,prefill,3,13.115133332879244,13.253500001155771,13.268259998949361,13.269571998753236,679.0659070596563,679.0659070596563,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,short,prefill,3,9.480833333024444,9.108399999604444,10.126300000410993,10.216780000482686,988.098897763696,988.098897763696,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,short,prefill,3,14.373000000584094,14.530300000842544,15.193510000426615,15.252462000389643,619.3953324761452,619.3953324761452,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,short,prefill,3,14.230800000101832,14.253999999709777,14.384229999268427,14.395805999229196,631.4017118130523,631.4017118130523,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,short,prefill,3,15.479233333583883,15.550899999652756,16.03888000081497,16.082256000918278,578.7446385868963,578.7446385868963,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,short,prefill,3,22.42146666624952,21.885599999222904,23.720249999860243,23.883329999916896,411.2293014730949,411.22930147309484,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,783.5421333323515,783.7692999983119,794.8210299986386,795.8034059986676,185.0034187359881,185.00341873598813,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,783.6426610946655,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,244.07899999823712,243.5977999975876,246.91474999908678,247.20958999922004,595.2434710060435,595.2434710060435,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,243.46054124832156,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,440.250566666388,438.0280000004859,451.0848399995666,452.2454479994849,331.0290666346424,331.0290666346424,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,437.9616222381592,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,579.8045999993823,580.6658000001335,582.7496599993538,582.9348919992844,249.71334630000024,249.71334630000024,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,580.5641956329346,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,362.47106666633044,360.33879999922647,370.11217000126635,370.9809140014477,402.3990755375532,402.3990755375532,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,360.26931619644165,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,561.4820333333531,563.2471999979316,565.7267000007778,565.9471000010308,257.43581148833493,257.43581148833493,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,563.1662578582764,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,842.3823999983142,842.02269999696,848.0301999990843,848.5641999992731,162.70345205716498,162.70345205716498,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,841.8810296058655,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,238.22350000045844,237.9225000004226,239.6548199994868,239.8088039994036,575.8177557807969,575.8177557807969,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,237.8279047012329,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,441.3005666671476,440.9421000018483,452.5634399995397,453.5964479993345,310.69838874406804,310.69838874406804,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,440.8782761096954,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,597.3940666669174,593.2904000019334,607.8476299988324,609.1416059985568,230.9155853517157,230.9155853517157,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,593.223482131958,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,437.0263000000705,437.39190000087547,440.290979999736,440.5486759996347,313.22024939127994,313.22024939127994,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,437.29179978370667,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,555.8377333333434,549.2147000004479,570.1756999997087,572.038899999643,249.4470741585909,249.44707415859094,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,549.1401748657227,411.03564453125,,96.088,96.08832
