backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_cpu_fp32,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.320406262411636,0.20041716660902778,0.26730720097426564,0.7714285714285715,0.07239650145772594,0.19953051970441332,2.3207198787956242,-0.36409925332017606,1.1824349702005585,0.00921720742166337,1.009128020368632,0.9827994922560962,2.532774685385725,1000,1000
hf_cpu_fp32,hf,1.0,e2e_kv,medium,scenario,6,True,2.2105763642133374,0.2860359539307433,0.3047852597196722,0.6,0.20799999999999985,0.4565046573685795,1.8975070068390913,-1.1086977309693709,1.3937753830001454,-0.3367644634151992,1.2471506667580072,0.6399468066499684,3.409764237062149,1000,1000
hf_cpu_fp32,hf,1.0,e2e_kv,short,scenario,6,True,2.4302361606099327,0.11479837928731283,0.13027403302153062,0.6571428571428573,0.15617492711370237,0.5315603112895364,1.7229126101602272,-0.057443617959751885,0.8685022341340857,-0.06602686261956944,0.768925132144889,1.283143304490264,2.6546245086379545,1000,1000
hf_cpu_fp32,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.3005667657729854,0.2007343479555559,0.27249722406402455,0.7714285714285715,0.07239650145772594,0.19992707955215497,2.300444947186281,-0.35651083044500065,1.1679158912359644,0.01352598015944569,1.0000767422847954,0.9788479201800963,2.5120491403830023,1000,1000
hf_cpu_fp32,hf,1.0,kv_decode,medium,scenario,6,True,2.1921267021411097,0.28427392751112973,0.30519614874844625,0.6,0.20799999999999985,0.45128187851618085,1.885561862983733,-1.0800602782945505,1.3565841807433765,-0.3224114174927267,1.2336383394099326,0.6299997528740984,3.353641714112326,1000,1000
hf_cpu_fp32,hf,1.0,kv_decode,short,scenario,6,True,2.409006829404855,0.1171947683999847,0.14009793735885057,0.6571428571428573,0.15617492711370237,0.529881665233641,1.7055195624455963,-0.051427719411869965,0.8510642276269164,-0.06034127243972477,0.7570886677400867,1.2872999331677213,2.629581191727907,1000,1000
hf_cpu_fp32,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.9638104044123563,0.19275164625076568,0.28690623165651774,0.7714285714285715,0.07239650145772594,0.24743761215682755,0.8857374976107242,-0.34640536019139795,1.3223882671624743,0.027084582471437097,0.9027239696825963,-0.2708913360428156,1.1534545195919212,1000,1000
hf_cpu_fp32,hf,1.0,prefill,medium,scenario,6,True,0.8081019333938911,0.3168812578599297,0.33333799227380134,0.7714285714285715,0.07239650145772594,0.30546661823705473,0.8361067495279296,-0.7248505251408943,1.8271565944417847,-0.024022365931911788,1.3909024679706927,-1.009081500558707,1.4798209444942712,1000,1000
hf_cpu_fp32,hf,1.0,prefill,short,scenario,6,True,1.1195188754308227,0.06862203464160077,0.08684191612036596,0.6571428571428573,0.15617492711370237,0.45530624244984863,0.4720976606779802,-0.11747995827780609,0.817619939883162,-0.08714292332929266,0.6727682496032146,0.04061780294711912,1.3071155587965106,1000,1000
hf_gpu_fp16,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.332390432069998,-0.14058846629753355,0.140580065957429,-0.14285714285714288,0.7871720116618075,-0.0008518344466323655,2.132413238406039,-0.7444812423209265,1.2928799552253,-0.3281572763284269,0.9357762582294625,0.5306764654811862,2.5595219770243496,1000,1000
hf_gpu_fp16,hf,1.0,e2e_kv,medium,scenario,6,True,2.3335775399026484,-0.14597382410920684,0.16495636918278733,-0.028571428571428574,0.9571545189504373,0.04540411758073257,2.0507785676293957,-0.685822396551327,1.6556034918621036,-0.34035340210249176,0.8415734888645905,0.6875447393128844,2.559425229568207,1000,1000
hf_gpu_fp16,hf,1.0,e2e_kv,short,scenario,6,True,2.3312033242373493,-0.13520310848586006,0.11594823717233671,-0.028571428571428574,0.9571545189504373,0.057227493207609455,2.0385452151609904,-0.6209389055761619,1.205369828890031,-0.33332330672690214,0.8297700326888234,0.5660288510059627,2.5590057994637867,1000,1000
hf_gpu_fp16,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.3196225203754324,-0.14294115293561527,0.144826752763192,-0.14285714285714288,0.7871720116618075,-0.0010369351061448328,2.115760189771479,-0.7470389724919921,1.2819639569772543,-0.3301036949954611,0.9353309983584845,0.5151524107761658,2.545292005343644,1000,1000
hf_gpu_fp16,hf,1.0,kv_decode,medium,scenario,6,True,2.3215582533523533,-0.14942104925387595,0.17235942788769054,-0.028571428571428574,0.9571545189504373,0.05119235487004609,2.022985093626967,-0.6889239334301538,1.568333470131224,-0.34274742015395215,0.8459738534754637,0.6646882000244931,2.545992239169735,1000,1000
hf_gpu_fp16,hf,1.0,kv_decode,short,scenario,6,True,2.31768678739851,-0.1364612566173541,0.11754121580542976,-0.028571428571428574,0.9571545189504373,0.06603655009610801,2.0080197104613275,-0.6228265615039357,1.208176480471102,-0.33484206997754073,0.8314200821795851,0.5741052347510424,2.545709172264471,1000,1000
hf_gpu_fp16,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.8678371516402928,-0.11314494497953635,0.1648366358799872,-0.028571428571428574,0.9571545189504373,0.18363835912094353,0.3761617636507851,-0.516899016288035,1.5127112535299223,-0.27287421725020844,0.4978108822799992,-0.1881956218602485,1.0470631131379555,1000,1000
hf_gpu_fp16,hf,1.0,prefill,medium,scenario,6,True,0.8246386537748104,-0.09628977179902182,0.0765852157173792,-0.028571428571428574,0.9571545189504373,0.24173020154657984,0.2713451131549635,-0.6113262081148079,1.8023022000093092,-0.30688372992639446,0.7082219742306871,-0.5561814997604847,1.0651004997628088,1000,1000
