task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,gen_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gpu_peak_mb,hf_load_ms,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens,kv_decode_ms_equiv,kv_decode_ms_per_token,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,0,0,True,0,,prefill,ok,,1766554200.0051112,1,17,17,8,282.568500000707,,133.2590000001801,,,7266.599099999439,45.1712,282.568500000707,,17,60.162403098567125,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,0,1,True,0,,kv_decode,ok,,1766554200.0051112,1,17,17,8,282.568500000707,,133.2590000001801,,,7266.599099999439,45.1712,133.2590000001801,,8,60.03346865869614,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,0,2,True,0,,e2e_kv,ok,,1766554200.0051112,1,17,17,8,282.568500000707,,133.2590000001801,,,7266.599099999439,45.1712,415.8275000008871,,25,60.12108386277163,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,1,3,False,,0,prefill,ok,,1766554207.695061,1,17,17,8,28.904000000693486,,131.43669999954,,,,45.1712,28.904000000693486,,17,588.1538887210118,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,1,4,False,,0,kv_decode,ok,,1766554207.695061,1,17,17,8,28.904000000693486,,131.43669999954,,,,45.1712,131.43669999954,,8,60.865800800141805,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,1,5,False,,0,e2e_kv,ok,,1766554207.695061,1,17,17,8,28.904000000693486,,131.43669999954,,,,45.1712,160.34070000023348,,25,155.91799212529068,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,2,6,False,,1,prefill,ok,,1766554207.8559918,1,17,17,8,30.530699999872013,,131.49700000030862,,,,45.1712,30.530699999872013,,17,556.8165813450482,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,2,7,False,,1,kv_decode,ok,,1766554207.8559918,1,17,17,8,30.530699999872013,,131.49700000030862,,,,45.1712,131.49700000030862,,8,60.83788983764819,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,2,8,False,,1,e2e_kv,ok,,1766554207.8559918,1,17,17,8,30.530699999872013,,131.49700000030862,,,,45.1712,162.02770000018063,,25,154.29460518153456,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,3,9,False,,2,prefill,ok,,1766554208.0188591,1,17,17,8,29.283400001077098,,93.5444999995525,,,,45.1712,29.283400001077098,,17,580.5336811768684,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,3,10,False,,2,kv_decode,ok,,1766554208.0188591,1,17,17,8,29.283400001077098,,93.5444999995525,,,,45.1712,93.5444999995525,,8,85.52079491619786,8,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,8,1,3,11,False,,2,e2e_kv,ok,,1766554208.0188591,1,17,17,8,29.283400001077098,,93.5444999995525,,,,45.1712,122.8279000006296,,25,203.53681858821858,8,,,,,,,
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,8,1,4,12,True,0,,prefill,ok,,1766554208.1422706,1,,92,8,649.6472,,218.5711,,,,20900.0,649.6472,,92,141.61532598000883,0,218.5711,27.3213875,8,10921.831100000418,10850.0888,9928.337,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,8,1,4,13,True,0,,kv_decode,ok,,1766554208.1422706,1,,92,8,649.6472,,218.5711,,,,20900.0,218.5711,,8,36.601362211198094,8,218.5711,27.3213875,8,10921.831100000418,10850.0888,9928.337,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,8,1,4,14,True,0,,e2e_kv,ok,,1766554208.1422706,1,,92,8,649.6472,,218.5711,,,,20900.0,868.2183,,100,115.17840616812614,8,218.5711,27.3213875,8,10921.831100000418,10850.0888,9928.337,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,8,1,5,15,False,,0,prefill,ok,,1766554219.064249,1,,92,8,43.5542,,229.9545,,,,20900.0,43.5542,,92,2112.310638239251,0,229.9545,28.7443125,8,514.3685999992158,491.3036,212.7454,length
1,short,ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,20900.0,Summarize RLHF in one sentence.,31,8,1,5,16,False,,0,kv_decode,ok,,1766554219.064249,1,,92,8,43.5542,,229.9545,,,,20900.0,229.9545,,8,34.789490964516894,8,229.9545,28.7443125,8,514.3685999992158,491.3036,212.7454,length
