task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,0,True,0,,prefill,ok,,1766548965.9276817,25,6.9533,,145.7034,145.7034,2.276615625,,0,64,2812.8195999997843,2717.3644,2498.5249,length,268.1,6.9533,,25,3595.4151266305207
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,1,True,0,,kv_decode,ok,,1766548965.9276817,25,6.9533,,145.7034,145.7034,2.276615625,,64,64,2812.8195999997843,2717.3644,2498.5249,length,268.1,145.7034,,64,439.24850072132847
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,2,True,0,,e2e_kv,ok,,1766548965.9276817,25,6.9533,,145.7034,145.7034,2.276615625,,64,64,2812.8195999997843,2717.3644,2498.5249,length,268.1,152.6567,,89,583.0074932839502
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,False,,0,prefill,ok,,1766548968.7406263,25,2.3489,,131.3086,131.3086,2.051696875,,0,64,502.63510000058886,465.5186,291.2856,length,268.1,2.3489,,25,10643.27983311337
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,False,,0,kv_decode,ok,,1766548968.7406263,25,2.3489,,131.3086,131.3086,2.051696875,,64,64,502.63510000058886,465.5186,291.2856,length,268.1,131.3086,,64,487.40143448334675
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,False,,0,e2e_kv,ok,,1766548968.7406263,25,2.3489,,131.3086,131.3086,2.051696875,,64,64,502.63510000058886,465.5186,291.2856,length,268.1,133.6575,,89,665.8810766324373
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,6,False,,1,prefill,ok,,1766548969.2433615,25,2.2774,,136.8678,136.8678,2.138559375,,0,64,520.3145000004952,469.1872,294.9559,length,268.1,2.2774,,25,10977.430403091244
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,7,False,,1,kv_decode,ok,,1766548969.2433615,25,2.2774,,136.8678,136.8678,2.138559375,,64,64,520.3145000004952,469.1872,294.9559,length,268.1,136.8678,,64,467.6045059539206
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,8,False,,1,e2e_kv,ok,,1766548969.2433615,25,2.2774,,136.8678,136.8678,2.138559375,,64,64,520.3145000004952,469.1872,294.9559,length,268.1,139.1452,,89,639.6196203677885
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,3,9,False,,2,prefill,ok,,1766548969.7640932,25,2.6579,,128.7116,128.7116,2.01111875,,0,64,491.69869999968796,462.2386,292.808,length,268.1,2.6579,,25,9405.921968471348
