backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
ollama,ollama,gemma3:270m,ollama,268.1,medium,e2e_kv,5,139.35834,139.6852,141.04216,141.122112,637.1469561556986,89.0,25.0,64.0,,,297.6124,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,e2e_kv,5,282.98269999999997,283.0813,287.90295999999995,288.67651199999995,317.9298667909184,90.0,26.0,64.0,,,290.8557,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,e2e_kv,5,154.59005333333334,154.9236,168.03759333333335,169.936372,522.8383538724894,81.0,17.0,64.0,,,295.9855,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,e2e_kv,5,280.50295647058823,280.5575705882353,284.5311917647059,284.7006477647059,292.27512851666575,82.0,18.0,64.0,,,292.4613,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,medium,kv_decode,5,136.5214,136.8664,138.08084000000002,138.084968,467.6092890585272,64.0,25.0,64.0,,,297.6124,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,kv_decode,5,277.91585999999995,277.7469,282.51034,283.256868,230.42561411126465,64.0,26.0,64.0,,,290.8557,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,kv_decode,5,151.69469333333333,151.9576,164.80917333333335,166.715328,421.1701158744281,64.0,17.0,64.0,,,295.9855,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,kv_decode,5,275.48517647058827,275.5700705882353,279.4462117647059,279.67917176470587,232.24583084579837,64.0,18.0,64.0,,,292.4613,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,medium,prefill,5,2.83694,2.8188,3.20498,3.234756,8869.022278983966,25.0,25.0,0.0,,,297.6124,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,prefill,5,5.06684,5.2575,5.408,5.42272,4945.316214931051,26.0,26.0,0.0,,,290.8557,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,prefill,5,2.89536,2.966,3.25608,3.2634559999999997,5731.625084288604,17.0,17.0,0.0,,,295.9855,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,prefill,5,5.01778,4.9875,5.32312,5.386624,3609.0225563909776,18.0,18.0,0.0,,,292.4613,999.9,999.89
