backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
ollama,gemma3:1b-it-qat,medium,e2e_kv,1,281.5494,5,283.0813,0.994588480411811,-1.5319000000000074
ollama,gemma3:270m,medium,e2e_kv,1,288.7573,5,139.6852,2.0672003905925607,149.07209999999998
ollama,gemma3:1b-it-qat,short,e2e_kv,1,297.43667647058817,5,280.5575705882353,1.060162717573306,16.87910588235286
ollama,gemma3:270m,short,e2e_kv,1,142.60607567567567,5,154.9236,0.9204929118331595,-12.317524324324324
ollama,gemma3:1b-it-qat,medium,kv_decode,1,271.3216,5,277.7469,0.9768663484632952,-6.425299999999993
ollama,gemma3:270m,medium,kv_decode,1,262.6356,5,136.8664,1.9189194718353082,125.76920000000001
ollama,gemma3:1b-it-qat,short,kv_decode,1,286.7875764705882,5,275.5700705882353,1.0407065464635106,11.217505882352896
ollama,gemma3:270m,short,kv_decode,1,136.09167567567567,5,151.9576,0.8955897939667096,-15.86592432432434
ollama,gemma3:1b-it-qat,medium,prefill,1,10.2278,5,5.2575,1.9453732762719924,4.9703
ollama,gemma3:270m,medium,prefill,1,26.1217,5,2.8188,9.266957570597418,23.3029
ollama,gemma3:1b-it-qat,short,prefill,1,10.6491,5,4.9875,2.1351578947368424,5.661600000000001
ollama,gemma3:270m,short,prefill,1,6.5144,5,2.966,2.196358732299393,3.5484
