backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
ollama,ollama,gemma3:270m,ollama,268.1,medium,e2e_kv,5,132.9554,132.1345,135.61264,135.998288,673.5561113865039,89.0,25.0,64.0,,,148.3116,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,e2e_kv,5,274.26930000000004,274.8523,278.42064,278.968528,327.44859693733696,90.0,26.0,64.0,,,139.4613,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,micro,e2e_kv,5,126.13819090909092,124.39664545454546,133.99620363636365,134.72529163636364,594.8713466476844,74.0,10.0,64.0,,,144.1941,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,micro,e2e_kv,5,272.71434,271.54170000000005,275.70140000000004,275.84756000000004,276.20067194099465,75.0,11.0,64.0,,,143.2413,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,e2e_kv,5,139.83096,139.1049,142.88054666666667,142.891256,582.2943692134498,81.0,17.0,64.0,,,149.3357,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,e2e_kv,5,281.0134505882353,279.9993294117647,287.2704788235294,287.3581945882353,292.85784423937486,82.0,18.0,64.0,,,146.9116,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,medium,kv_decode,5,129.70378,129.1385,132.69934,133.379708,495.5919419847683,64.0,25.0,64.0,,,148.3116,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,kv_decode,5,269.58032,269.8314,273.95522,274.541444,237.1851459837513,64.0,26.0,64.0,,,139.4613,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,micro,kv_decode,5,123.43005090909091,121.36494545454546,131.59668363636362,132.37594763636363,527.3351358607068,64.0,10.0,64.0,,,144.1941,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,micro,kv_decode,5,267.95266000000004,267.1462,270.5529,270.66938000000005,239.56919469563857,64.0,11.0,64.0,,,143.2413,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,kv_decode,5,137.20744,136.47119999999998,140.19314666666668,140.23382933333335,468.963414991588,64.0,17.0,64.0,,,149.3357,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,kv_decode,5,276.1460705882353,275.0443294117647,282.4009788235294,282.46389458823523,232.68976363510689,64.0,18.0,64.0,,,146.9116,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,medium,prefill,5,3.25162,2.837,4.444419999999999,4.5256039999999995,8812.125484666902,25.0,25.0,0.0,,,148.3116,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,medium,prefill,5,4.68898,4.6571,4.97286,5.011292,5582.873462025725,26.0,26.0,0.0,,,139.4613,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,micro,prefill,5,2.70814,2.6504,3.11882,3.136244,3773.0153939028073,10.0,10.0,0.0,,,144.1941,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,micro,prefill,5,4.76168,4.6714,5.1485,5.17818,2354.754463330051,11.0,11.0,0.0,,,143.2413,999.9,999.89
ollama,ollama,gemma3:270m,ollama,268.1,short,prefill,5,2.62352,2.583,2.8501,2.89338,6581.494386372435,17.0,17.0,0.0,,,149.3357,268.1,268.1
ollama,ollama,gemma3:1b-it-qat,ollama,999.89,short,prefill,5,4.86738,4.9005,4.9489,4.95378,3673.094582185491,18.0,18.0,0.0,,,146.9116,999.9,999.89
