num_gpu,num_ctx,temperature,config_name,ttft_s,tokens_s,load_s,prompt_eval_s,eval_s,eval_count,error
999,1024,0.2,g999_c1024_t0.2,6.4939222,181.3231010955639,6.2804632,0.213459,2.8733239,521,
999,1024,0.4,g999_c1024_t0.4,0.0742094,181.29801282325528,0.059306,0.0149034,2.9895529,542,
999,1024,0.8,g999_c1024_t0.8,0.0784282,182.97284623665092,0.062778,0.0156502,3.5415091,648,
999,2048,0.2,g999_c2048_t0.2,6.5178962,183.91704182697356,6.3052358,0.2126604,2.5718117,473,
999,2048,0.4,g999_c2048_t0.4,0.11175299999999999,185.42158909380282,0.0999017,0.0118513,2.7936337,518,
999,2048,0.8,g999_c2048_t0.8,0.0886222,184.28277701136759,0.0723722,0.01625,3.1364841,578,
999,4096,0.2,g999_c4096_t0.2,6.517688499999999,183.9892485548401,6.2880074,0.2296811,2.8425574,523,
999,4096,0.4,g999_c4096_t0.4,0.10174150000000001,183.74408321967408,0.083376,0.0183655,2.8300231,520,
999,4096,0.8,g999_c4096_t0.8,0.09462789999999999,185.09944446715147,0.0775582,0.0170697,2.3879056,442,
80,1024,0.2,g80_c1024_t0.2,6.5169367000000005,185.14269485698134,6.2984517,0.218485,2.3225329,430,
80,1024,0.4,g80_c1024_t0.4,0.0933019,183.81423266494687,0.0805578,0.0127441,2.9540694,543,
80,1024,0.8,g80_c1024_t0.8,0.1185145,186.59114375027005,0.0995192,0.0189953,2.2080362,412,
80,2048,0.2,g80_c2048_t0.2,6.4849238,185.66659561872274,6.2618218,0.223102,2.8168772,523,
80,2048,0.4,g80_c2048_t0.4,0.0832663,182.5550544859703,0.0677489,0.0155174,3.8728043,707,
80,2048,0.8,g80_c2048_t0.8,0.0755126,184.63085125799574,0.0539699,0.0215427,2.9789171,550,
80,4096,0.2,g80_c4096_t0.2,6.5116255,183.77403439358676,6.2910563,0.2205692,2.7152911,499,
80,4096,0.4,g80_c4096_t0.4,0.087872,184.02104961214152,0.0705824,0.0172896,3.005091,553,
80,4096,0.8,g80_c4096_t0.8,0.0915048,185.99960459107567,0.0770535,0.0144513,2.9731246,553,
60,1024,0.2,g60_c1024_t0.2,6.4716359,181.36801268864843,6.2560578,0.2155781,2.530766,459,
60,1024,0.4,g60_c1024_t0.4,0.0941341,187.1752905464622,0.0821953,0.0119388,2.1423768,401,
60,1024,0.8,g60_c1024_t0.8,0.0854753,184.17454648943706,0.07359,0.0118853,2.8559864,526,
60,2048,0.2,g60_c2048_t0.2,6.5163684,182.7739641845092,6.2957678,0.2206006,2.9489977,539,
60,2048,0.4,g60_c2048_t0.4,0.09092549999999999,185.41699048726224,0.0738047,0.0171208,2.7181975,504,
60,2048,0.8,g60_c2048_t0.8,0.10708419999999999,183.94902192360615,0.0915428,0.0155414,3.2400281,596,
60,4096,0.2,g60_c4096_t0.2,6.5383515999999995,180.56943919193895,6.2891888,0.2491628,2.2650566,409,
60,4096,0.4,g60_c4096_t0.4,0.09404799999999999,183.98570989398715,0.0802455,0.0138025,2.1849523,402,
60,4096,0.8,g60_c4096_t0.8,0.0900466,184.42666206220855,0.0806567,0.0093899,2.7382158,505,
40,1024,0.2,g40_c1024_t0.2,6.5139958,180.97767664382184,6.2744288,0.239567,3.121932,565,
40,1024,0.4,g40_c1024_t0.4,0.0861394,182.54979247355277,0.0655859,0.0205535,2.6020298,475,
40,1024,0.8,g40_c1024_t0.8,0.0976969,180.24992093660308,0.0849741,0.0127228,2.9403619,530,
40,2048,0.2,g40_c2048_t0.2,6.4795763,184.4379261083859,6.242865,0.2367113,2.9061268,536,
40,2048,0.4,g40_c2048_t0.4,0.0765491,185.08890862937326,0.0618805,0.0146686,2.8580859,529,
40,2048,0.8,g40_c2048_t0.8,0.0785887,185.37647343681817,0.0612177,0.017371,2.3681538,439,
40,4096,0.2,g40_c4096_t0.2,6.5370173000000005,181.7584283368162,6.2980529,0.2389644,2.5693444,467,
40,4096,0.4,g40_c4096_t0.4,0.092284,181.84434124389523,0.0806997,0.0115843,3.002568,546,
40,4096,0.8,g40_c4096_t0.8,0.1109943,185.0341073971359,0.0953943,0.0156,2.9940426,554,
