config_name,num_gpu,num_ctx,temperature,mean_tokens_s,mean_ttft_s,mean_load_s
g60_c1024_t0.4,60,1024,0.4,187.1752905464622,0.0941341,0.0821953
g80_c1024_t0.8,80,1024,0.8,186.59114375027005,0.1185145,0.0995192
g80_c4096_t0.8,80,4096,0.8,185.99960459107567,0.0915048,0.0770535
g80_c2048_t0.2,80,2048,0.2,185.66659561872274,6.4849238,6.2618218
g999_c2048_t0.4,999,2048,0.4,185.42158909380282,0.11175299999999999,0.0999017
g60_c2048_t0.4,60,2048,0.4,185.41699048726224,0.09092549999999999,0.0738047
g40_c2048_t0.8,40,2048,0.8,185.37647343681817,0.0785887,0.0612177
g80_c1024_t0.2,80,1024,0.2,185.14269485698134,6.5169367000000005,6.2984517
g999_c4096_t0.8,999,4096,0.8,185.09944446715147,0.09462789999999999,0.0775582
g40_c2048_t0.4,40,2048,0.4,185.08890862937326,0.0765491,0.0618805
g40_c4096_t0.8,40,4096,0.8,185.0341073971359,0.1109943,0.0953943
g80_c2048_t0.8,80,2048,0.8,184.63085125799574,0.0755126,0.0539699
g40_c2048_t0.2,40,2048,0.2,184.4379261083859,6.4795763,6.242865
g60_c4096_t0.8,60,4096,0.8,184.42666206220855,0.0900466,0.0806567
g999_c2048_t0.8,999,2048,0.8,184.28277701136759,0.0886222,0.0723722
g60_c1024_t0.8,60,1024,0.8,184.17454648943706,0.0854753,0.07359
g80_c4096_t0.4,80,4096,0.4,184.02104961214152,0.087872,0.0705824
g999_c4096_t0.2,999,4096,0.2,183.9892485548401,6.517688499999999,6.2880074
g60_c4096_t0.4,60,4096,0.4,183.98570989398715,0.09404799999999999,0.0802455
g60_c2048_t0.8,60,2048,0.8,183.94902192360615,0.10708419999999999,0.0915428
g999_c2048_t0.2,999,2048,0.2,183.91704182697356,6.5178962,6.3052358
g80_c1024_t0.4,80,1024,0.4,183.81423266494687,0.0933019,0.0805578
g80_c4096_t0.2,80,4096,0.2,183.77403439358676,6.5116255,6.2910563
g999_c4096_t0.4,999,4096,0.4,183.74408321967408,0.10174150000000001,0.083376
g999_c1024_t0.8,999,1024,0.8,182.97284623665092,0.0784282,0.062778
g60_c2048_t0.2,60,2048,0.2,182.7739641845092,6.5163684,6.2957678
g80_c2048_t0.4,80,2048,0.4,182.5550544859703,0.0832663,0.0677489
g40_c1024_t0.4,40,1024,0.4,182.54979247355277,0.0861394,0.0655859
g40_c4096_t0.4,40,4096,0.4,181.84434124389523,0.092284,0.0806997
g40_c4096_t0.2,40,4096,0.2,181.7584283368162,6.5370173000000005,6.2980529
g60_c1024_t0.2,60,1024,0.2,181.36801268864843,6.4716359,6.2560578
g999_c1024_t0.2,999,1024,0.2,181.3231010955639,6.4939222,6.2804632
g999_c1024_t0.4,999,1024,0.4,181.29801282325528,0.0742094,0.059306
g40_c1024_t0.2,40,1024,0.2,180.97767664382184,6.5139958,6.2744288
g60_c4096_t0.2,60,4096,0.2,180.56943919193895,6.5383515999999995,6.2891888
g40_c1024_t0.8,40,1024,0.8,180.24992093660308,0.0976969,0.0849741
