num_gpu,num_ctx,temperature,config_name,ttft_s,tokens_s,load_s,prompt_eval_s,eval_s,eval_count,error
999,1024,0.2,g999_c1024_t0.2,1.1485114,278.84860554273496,0.966329,0.1821824,1.4703319,410,
999,1024,0.4,g999_c1024_t0.4,0.0594542,290.7618057512173,0.0507368,0.0087174,2.3421233,681,
999,1024,0.8,g999_c1024_t0.8,0.06711729999999999,292.8059285710151,0.0561408,0.0109765,0.2937099,86,
999,2048,0.2,g999_c2048_t0.2,1.1909516,292.19274244976793,1.0028815,0.1880701,1.5845705,463,
999,2048,0.4,g999_c2048_t0.4,0.0582359,299.0640744016487,0.05004,0.0081959,1.3107559,392,
999,2048,0.8,g999_c2048_t0.8,0.0618823,297.0123606911686,0.0536162,0.0082661,1.2457394,370,
999,4096,0.2,g999_c4096_t0.2,1.1520291,292.4880653399221,0.9619036,0.1901255,1.5692948,459,
999,4096,0.4,g999_c4096_t0.4,0.056644,294.4856857355122,0.0484391,0.0082049,1.5043176,443,
999,4096,0.8,g999_c4096_t0.8,0.0648745,303.89820959263636,0.057025,0.0078495,0.6712774,204,
80,1024,0.2,g80_c1024_t0.2,1.2044553,284.3005879171767,0.9804687,0.2239866,2.0682335,588,
80,1024,0.4,g80_c1024_t0.4,0.061160099999999995,295.0991694935024,0.0499815,0.0111786,2.5042429,739,
80,1024,0.8,g80_c1024_t0.8,0.061106900000000006,298.1677460075207,0.0500437,0.0110632,0.3789813,113,
80,2048,0.2,g80_c2048_t0.2,1.172267,286.2497277236556,0.9767364,0.1955306,2.1379933,612,
80,2048,0.4,g80_c2048_t0.4,0.0629807,300.99437706384316,0.0522124,0.0107683,0.8305803,250,
80,2048,0.8,g80_c2048_t0.8,0.0535847,301.4526898097307,0.0457118,0.0078729,1.1212373,338,
80,4096,0.2,g80_c4096_t0.2,1.2292907000000002,284.0903856740945,1.0064706,0.2228201,1.6825631,478,
80,4096,0.4,g80_c4096_t0.4,0.06352970000000001,290.51836592549745,0.0553548,0.0081749,1.0842688,315,
80,4096,0.8,g80_c4096_t0.8,0.0669758,291.63391164692433,0.0572236,0.0097522,1.3167193,384,
60,1024,0.2,g60_c1024_t0.2,,,,,,,timed out
60,1024,0.4,g60_c1024_t0.4,,,,,,,timed out
60,1024,0.8,g60_c1024_t0.8,0.1590315,212.7214459564417,0.1055377,0.0534938,0.5970249,127,
60,2048,0.2,g60_c2048_t0.2,2.2786847,279.8722205929192,1.9477807,0.330904,1.5221232,426,
60,2048,0.4,g60_c2048_t0.4,0.06830420000000001,280.6055980596971,0.060082,0.0082222,11.371833,3191,
60,2048,0.8,g60_c2048_t0.8,0.1084494,263.33244396992,0.0517683,0.0566811,1.3519033,356,
60,4096,0.2,g60_c4096_t0.2,1.21306,278.7107927643308,1.0111368,0.2019232,1.5428179,430,
60,4096,0.4,g60_c4096_t0.4,0.0930452,285.70442288752633,0.0816307,0.0114145,1.5295528,437,
60,4096,0.8,g60_c4096_t0.8,0.065655,288.0700920155834,0.0566112,0.0090438,0.7671744,221,
40,1024,0.2,g40_c1024_t0.2,1.2204578,275.6494076366596,1.0148764,0.2055814,1.5200468,419,
40,1024,0.4,g40_c1024_t0.4,0.1071483,285.46432220013287,0.0960196,0.0111287,1.4502688,414,
40,1024,0.8,g40_c1024_t0.8,0.0859046,290.0032836280887,0.0756231,0.0102815,0.7586121,220,
40,2048,0.2,g40_c2048_t0.2,1.1596792,281.9234306716868,0.9654279,0.1942513,1.3017719,367,
40,2048,0.4,g40_c2048_t0.4,0.068183,286.53398983739856,0.0585749,0.0096081,2.0416426,585,
40,2048,0.8,g40_c2048_t0.8,0.06647,289.3528721539449,0.0552747,0.0111953,0.9642206,279,
40,4096,0.2,g40_c4096_t0.2,1.2297985,280.91634542250046,1.026837,0.2029615,1.0821727,304,
40,4096,0.4,g40_c4096_t0.4,0.0640863,293.33304991975854,0.0559739,0.0081124,0.470455,138,
40,4096,0.8,g40_c4096_t0.8,0.062504,296.15465393464905,0.0538772,0.0086268,0.4051937,120,
