config_name,num_gpu,num_ctx,temperature,mean_tokens_s,mean_ttft_s,mean_load_s
g999_c4096_t0.8,999,4096,0.8,303.89820959263636,0.0648745,0.057025
g80_c2048_t0.8,80,2048,0.8,301.4526898097307,0.0535847,0.0457118
g80_c2048_t0.4,80,2048,0.4,300.99437706384316,0.0629807,0.0522124
g999_c2048_t0.4,999,2048,0.4,299.0640744016487,0.0582359,0.05004
g80_c1024_t0.8,80,1024,0.8,298.1677460075207,0.061106900000000006,0.0500437
g999_c2048_t0.8,999,2048,0.8,297.0123606911686,0.0618823,0.0536162
g40_c4096_t0.8,40,4096,0.8,296.15465393464905,0.062504,0.0538772
g80_c1024_t0.4,80,1024,0.4,295.0991694935024,0.061160099999999995,0.0499815
g999_c4096_t0.4,999,4096,0.4,294.4856857355122,0.056644,0.0484391
g40_c4096_t0.4,40,4096,0.4,293.33304991975854,0.0640863,0.0559739
g999_c1024_t0.8,999,1024,0.8,292.8059285710151,0.06711729999999999,0.0561408
g999_c4096_t0.2,999,4096,0.2,292.4880653399221,1.1520291,0.9619036
g999_c2048_t0.2,999,2048,0.2,292.19274244976793,1.1909516,1.0028815
g80_c4096_t0.8,80,4096,0.8,291.63391164692433,0.0669758,0.0572236
g999_c1024_t0.4,999,1024,0.4,290.7618057512173,0.0594542,0.0507368
g80_c4096_t0.4,80,4096,0.4,290.51836592549745,0.06352970000000001,0.0553548
g40_c1024_t0.8,40,1024,0.8,290.0032836280887,0.0859046,0.0756231
g40_c2048_t0.8,40,2048,0.8,289.3528721539449,0.06647,0.0552747
g60_c4096_t0.8,60,4096,0.8,288.0700920155834,0.065655,0.0566112
g40_c2048_t0.4,40,2048,0.4,286.53398983739856,0.068183,0.0585749
g80_c2048_t0.2,80,2048,0.2,286.2497277236556,1.172267,0.9767364
g60_c4096_t0.4,60,4096,0.4,285.70442288752633,0.0930452,0.0816307
g40_c1024_t0.4,40,1024,0.4,285.46432220013287,0.1071483,0.0960196
g80_c1024_t0.2,80,1024,0.2,284.3005879171767,1.2044553,0.9804687
g80_c4096_t0.2,80,4096,0.2,284.0903856740945,1.2292907000000002,1.0064706
g40_c2048_t0.2,40,2048,0.2,281.9234306716868,1.1596792,0.9654279
g40_c4096_t0.2,40,4096,0.2,280.91634542250046,1.2297985,1.026837
g60_c2048_t0.4,60,2048,0.4,280.6055980596971,0.06830420000000001,0.060082
g60_c2048_t0.2,60,2048,0.2,279.8722205929192,2.2786847,1.9477807
g999_c1024_t0.2,999,1024,0.2,278.84860554273496,1.1485114,0.966329
g60_c4096_t0.2,60,4096,0.2,278.7107927643308,1.21306,1.0111368
g40_c1024_t0.2,40,1024,0.2,275.6494076366596,1.2204578,1.0148764
g60_c2048_t0.8,60,2048,0.8,263.33244396992,0.1084494,0.0517683
g60_c1024_t0.8,60,1024,0.8,212.7214459564417,0.1590315,0.1055377
